Episode,Epsilon,Total_Reward,Barracks,TechLabs,Marauders,End_Loop,Reason,Is_Bottom_Right
1,1.000,200,0,0,0,20160,Done,False
2,0.999,750,0,0,0,20160,Done,False
3,0.998,1080,0,0,0,20160,Done,False
4,0.997,2030,0,0,0,20160,Done,False
5,0.996,200,0,0,0,20160,Done,False
6,0.995,100,0,0,0,20160,Done,False
7,0.994,0,0,0,0,20160,Done,False
8,0.993,100,0,0,0,20160,Done,False
9,0.992,0,0,0,0,20160,Done,False
10,0.991,100,0,0,0,20160,Done,False
11,0.990,100,0,0,0,20160,Done,False
12,0.989,950,0,0,0,20160,Done,False
13,0.988,560,0,0,2,16752,Done,False
14,0.987,100,0,0,0,20160,Done,False
15,0.986,1400,0,0,0,20160,Done,False
16,0.985,360,0,0,0,20160,Done,False
17,0.984,200,0,0,0,20160,Done,False
18,0.983,1350,0,0,0,20160,Done,False
19,0.982,200,0,0,0,20160,Done,False
20,0.981,500,0,0,0,20160,Done,False
21,0.980,450,0,0,0,20160,Done,False
22,0.979,1560,0,0,2,20160,Done,False
23,0.978,880,0,0,0,20160,Done,False
24,0.977,200,0,0,0,20160,Done,False
25,0.976,100,0,0,0,20160,Done,False
26,0.975,1330,0,0,0,20160,Done,False
27,0.974,500,0,0,0,20160,Done,False
28,0.973,100,0,0,0,20160,Done,False
29,0.972,100,0,0,0,20160,Done,False
30,0.971,50,0,0,0,20160,Done,False
31,0.970,1400,0,0,0,20160,Done,False
32,0.969,100,0,0,0,20160,Done,False
33,0.968,200,0,0,0,20160,Done,False
34,0.968,100,0,0,0,20160,Done,False
35,0.967,100,0,0,0,20160,Done,False
36,0.966,750,0,0,0,20160,Done,False
37,0.965,1000,0,0,0,20160,Done,False
38,0.964,200,0,0,0,20160,Done,False
39,0.963,1480,0,0,0,20160,Done,False
40,0.962,1900,0,0,0,20160,Done,False
41,0.961,100,0,0,0,20160,Done,False
42,0.960,650,0,0,0,20160,Done,False
43,0.959,630,0,0,1,20160,Done,False
44,0.958,200,0,0,0,20160,Done,False
45,0.957,1480,0,0,1,20064,Done,False
46,0.956,1150,0,0,0,20160,Done,False
47,0.955,100,0,0,0,20160,Done,False
48,0.954,450,0,0,0,20160,Done,False
