1,掠奪者任務,1.000,0.7664,6688,5,6
2,掠奪者任務,0.990,0.7920,5584,5,3
3,掠奪者任務,0.980,0.7812,6048,5,7
4,掠奪者任務,0.970,0.7571,7088,5,7
5,掠奪者任務,0.961,-0.0156,13488,1,12
6,掠奪者任務,0.951,-0.0969,13440,0,12
7,掠奪者任務,0.941,0.7827,5984,5,4
8,掠奪者任務,0.932,-0.0969,13440,0,12
9,掠奪者任務,0.923,0.7917,5600,5,3
10,掠奪者任務,0.914,0.7567,7104,5,8
11,掠奪者任務,0.904,0.7846,5904,5,2
12,掠奪者任務,0.895,0.7381,7904,5,9
13,掠奪者任務,0.886,0.1094,13536,3,14
14,掠奪者任務,0.878,0.7686,6592,5,6
15,掠奪者任務,0.869,-0.0969,13472,0,13
16,掠奪者任務,0.860,0.7693,6560,5,3
17,掠奪者任務,0.851,-0.0781,13472,0,14
18,掠奪者任務,0.843,0.0469,13504,2,8
19,掠奪者任務,0.835,0.7645,6768,5,7
20,掠奪者任務,0.826,-0.0781,13472,0,13
21,掠奪者任務,0.818,-0.0969,13440,0,13
22,掠奪者任務,0.810,0.1094,13440,4,9
23,掠奪者任務,0.802,0.1094,13536,4,11
24,掠奪者任務,0.794,0.8211,7024,6,7
25,掠奪者任務,0.786,0.1094,13504,4,16
26,掠奪者任務,0.778,0.1094,13440,3,9
27,掠奪者任務,0.770,-0.0969,13440,0,16
28,掠奪者任務,0.762,0.0469,13456,2,11
29,掠奪者任務,0.755,0.7697,6544,5,8
30,掠奪者任務,0.747,0.8013,5184,5,2
31,掠奪者任務,0.740,0.0469,13536,2,12
32,掠奪者任務,0.732,-0.0781,13456,0,15
33,掠奪者任務,0.725,0.6987,6912,5,9
34,掠奪者任務,0.718,-0.0781,13440,0,13
35,掠奪者任務,0.711,-0.0969,13440,0,17
36,掠奪者任務,0.703,0.8084,4880,5,1
37,掠奪者任務,0.696,0.7560,7136,5,6
38,掠奪者任務,0.689,0.7597,6976,5,9
39,掠奪者任務,0.683,-0.0969,13440,0,16
40,掠奪者任務,0.676,0.1094,13520,4,9
41,掠奪者任務,0.669,0.7552,7168,5,6
42,掠奪者任務,0.662,0.7898,5680,5,2
43,掠奪者任務,0.656,-0.0156,13456,1,11
44,掠奪者任務,0.649,0.7623,6864,5,8
45,掠奪者任務,0.643,0.7597,6976,5,7
46,掠奪者任務,0.636,0.7645,6768,5,6
47,掠奪者任務,0.630,0.7329,8128,6,7
48,掠奪者任務,0.624,0.1094,13488,4,8
49,掠奪者任務,0.617,0.7470,7520,5,8
50,掠奪者任務,0.611,-0.0969,13520,0,13
