Episode,Reward,Loss,Entropy
227,36,8.1918,1.1388
228,21,1.6742,1.4439
229,46,2.5492,1.2265
230,81,7.2381,1.0503
231,11,10.4596,1.0871
232,36,6.5932,0.9698
233,11,8.7985,1.4517
234,11,8.4989,1.4836
235,36,7.9657,1.2879
236,1,14.2648,1.2437
237,36,6.5715,1.1335
238,36,3.3583,1.0766
239,1,19.3304,1.6259
240,35,5.6210,1.2730
241,11,5.7246,1.2043
242,1,8.8106,1.3010
243,11,4.3814,1.2500
244,46,5.8354,1.1323
245,36,4.9277,1.1871
246,1,7.0668,1.1606
247,11,3.3264,1.1397
248,1,10.0346,1.0818
249,46,7.6982,1.0889
250,26,5.5151,1.1994
251,71,7.5441,1.0744
252,36,4.0732,1.2444
253,21,7.3571,1.0737
254,36,5.4445,1.1219
255,61,12.2267,1.0277
256,-9,59.4126,1.5335
257,21,2.3678,1.3052
258,26,6.6746,0.9851
259,36,5.6368,1.2011
260,1,27.1195,1.6622
261,11,10.7299,1.3845
262,1,7.7108,1.1541
263,21,6.5113,1.0526
264,71,1.9219,0.9455
265,36,1.8006,1.0137
266,11,6.0636,1.2529
267,36,6.5885,1.2754
268,11,12.8060,1.0209
269,1,6.2140,0.9773
270,36,0.8907,1.0218
271,11,16.8549,1.2957
272,36,8.4358,0.9815
273,11,8.1268,1.2333
274,11,4.7167,0.9232
275,11,8.4662,1.0051
276,1,5.6518,1.1331
277,11,2.0898,1.1975
278,21,2.5677,1.0762
279,56,3.7520,1.2143
280,91,6.8899,0.9894
281,21,4.1971,1.5180
282,11,7.1287,1.3274
283,11,3.0708,1.3186
284,1,7.8017,1.1846
285,1,13.9645,1.3214
286,35,4.1526,1.1523
287,71,7.4105,1.2431
288,11,11.8997,1.1555
289,36,4.8941,1.2952
290,11,3.4558,1.1334
291,21,8.9688,1.3465
292,1,24.4266,1.3813
293,11,6.2436,1.2237
294,21,0.6133,1.4400
295,36,8.8419,1.1257
296,11,3.5753,1.1500
297,1,18.8049,1.3197
298,46,6.8519,1.1414
299,56,3.1337,1.0826
300,11,11.0216,1.0794
301,21,2.1330,1.3578
302,21,2.8537,1.1528
303,36,15.5496,1.1661
304,21,5.6196,1.1070
305,36,12.2039,0.9788
306,36,10.5879,1.0762
307,36,7.8907,1.1405
308,36,6.4034,1.3072
309,26,7.6066,1.3317
310,21,7.2662,1.0726
311,21,3.9386,1.0406
312,1,28.0389,1.3193
313,36,3.5332,0.9561
314,21,1.8537,1.2584
315,11,6.5828,1.1679
316,36,2.8968,0.9636
317,46,3.8418,1.0398
318,46,2.9310,1.1528
319,36,12.8858,1.1285
320,11,12.4148,1.0393
321,37,8.4005,1.1799
322,36,7.8715,1.3195
323,36,2.8631,1.1355
324,1,17.4989,1.6977
325,-9,26.8514,1.0864
326,1,6.4785,1.1767
327,-9,2.6247,1.1641
328,36,5.8221,1.2768
329,26,6.0334,1.2284
330,46,1.5713,1.2642
331,96,9.3922,1.1314
332,11,7.5418,1.4406
333,11,3.9891,1.1139
334,21,1.3311,1.5804
335,1,9.0817,1.2013
336,21,4.0564,1.2578
337,36,7.6207,1.1713
338,56,2.8536,1.0828
339,1,25.8534,1.0726
340,36,9.5256,1.1391
341,36,9.6099,1.1557
342,21,1.6555,1.3480
343,11,7.8904,1.2660
344,36,2.2234,1.3035
345,11,6.2286,1.2878
346,21,6.0547,1.2819
347,46,2.3737,1.2489
348,21,4.7521,1.3425
349,36,3.5142,0.9971
350,46,5.1973,1.2000
351,36,11.7395,1.3730
352,36,9.8938,1.1892
353,1,11.6590,1.2444
354,46,5.8841,1.1084
355,11,12.7844,0.9863
356,36,2.1136,1.1533
357,1,15.5965,1.6072
358,36,9.1585,1.1222
359,11,4.4873,1.3996
360,11,4.2637,1.2009
361,36,17.2399,1.0834
362,21,3.8260,1.5746
363,36,5.5873,1.0146
364,26,7.7350,1.1352
365,21,2.4495,1.2180
366,36,3.0142,1.2709
367,21,1.8306,1.4468
368,1,19.0010,1.4586
369,21,4.5044,1.1426
370,21,2.6649,1.1543
371,36,3.2310,1.2291
372,21,5.2213,1.1595
373,46,3.8923,1.1622
374,1,19.4066,1.4429
375,27,8.4991,1.1296
376,21,4.5513,1.4689
377,46,3.9729,1.0342
378,1,11.3329,1.2441
379,26,6.6786,1.0383
380,1,30.7339,1.5830
381,1,8.8019,1.3028
382,11,5.4499,1.1678
383,11,3.0966,1.0680
384,11,0.8980,1.2158
385,46,14.5112,0.9533
386,11,12.5773,1.1525
387,11,5.5321,1.2148
388,11,2.3239,0.9248
389,11,3.3829,1.1478
390,11,1.7823,0.9888
391,11,2.5710,1.2649
392,1,6.6351,1.1730
393,1,4.8651,1.0816
394,46,15.2520,1.0855
395,1,8.4650,1.3544
396,1,10.8536,1.4143
397,1,13.8823,1.1828
398,36,3.6170,1.3178
399,46,5.3819,1.3241
400,21,4.0904,1.1197
401,26,13.3055,1.2869
402,11,4.5368,1.2567
403,11,8.6123,1.1537
404,1,6.7683,1.2272
405,36,1.8740,1.2043
406,61,14.9356,1.2483
407,91,3.3834,1.2158
408,36,5.3338,1.0402
409,36,2.1995,1.2374
410,11,9.4932,1.1105
411,11,16.7217,1.4062
412,36,8.7735,1.0787
413,61,12.9940,1.1922
414,81,5.0798,1.1725
415,36,14.8645,1.3341
416,46,5.8057,1.0353
417,21,4.9617,0.9418
418,1,18.9352,1.4387
419,11,3.4892,1.0489
420,66,4.4373,1.1405
421,21,5.0817,1.2006
422,21,2.3937,1.2576
423,1,25.7281,1.2199
424,36,4.4977,0.9365
425,11,3.8475,0.7431
426,21,1.2657,0.8287
427,21,4.1175,0.8866
428,36,1.1603,0.9779
429,21,2.0519,1.0280
430,36,10.1492,0.9960
431,36,8.2585,0.9013
432,11,5.8027,1.0105
433,11,10.8478,1.0401
434,-9,22.7174,0.8615
435,71,4.2832,1.0593
436,21,5.4286,1.1005
437,21,1.5806,1.4107
438,1,4.5483,1.0242
439,11,1.4890,1.0236
440,36,2.9954,0.9992
441,1,15.6459,1.1914
442,1,8.7846,1.2717
443,1,4.8228,1.3483
444,11,2.0775,1.0624
445,1,3.8213,1.3347
446,36,4.4921,1.3140
447,71,13.8903,1.1741
448,11,2.4811,1.3436
449,36,4.2030,1.2697
450,11,3.6410,1.1389
451,1,7.5312,1.0521
452,26,4.3128,1.2082
453,46,7.6852,1.0754
454,36,2.7700,1.2773
455,1,13.4201,1.3309
456,21,1.7837,1.0928
457,36,2.9848,1.1364
458,36,3.3982,1.2444
459,21,6.7904,1.2212
460,46,4.4666,1.1303
461,36,7.0773,1.2224
462,1,13.6997,1.0243
463,11,10.8876,1.5244
464,1,16.3631,1.4053
465,11,4.1847,1.0426
466,11,2.6318,1.4570
467,-9,22.2654,1.2872
468,36,13.7629,1.1267
469,1,7.7126,1.1843
470,11,3.5270,1.4336
471,11,1.9546,1.2176
472,21,3.4075,1.5006
473,21,0.8563,1.1464
474,36,2.9216,1.2369
475,46,5.6131,1.1578
476,11,7.6292,1.1276
477,1,22.0001,1.4917
478,1,14.6889,1.1079
479,26,6.9211,1.0401
480,-9,12.1914,1.4987
481,36,6.1273,1.2555
482,21,2.4699,1.3882
483,26,3.8438,1.1293
484,21,2.2994,1.0960
485,21,7.3795,1.4223
486,11,5.4794,1.3386
487,11,2.4054,1.0923
488,21,0.9802,1.0804
489,26,2.9604,1.0472
490,35,4.6173,1.1831
491,36,20.0367,1.2516
492,11,7.0809,1.3136
493,11,4.8056,1.3950
494,11,3.7331,1.2665
495,46,3.4564,1.1261
496,21,5.3558,1.3238
497,11,8.1239,1.4786
498,26,5.5968,1.1198
499,11,6.7882,1.0924
500,1,7.1805,1.2940
501,1,4.5258,1.2426
502,36,6.7348,1.0805
503,36,4.2809,1.2704
504,21,5.8895,1.4411
505,1,11.6185,1.5153
506,21,1.4939,1.3167
507,26,4.9760,1.1772
508,46,2.2016,1.2876
509,1,9.0726,1.0945
510,46,2.0410,1.2614
511,36,7.6539,1.2232
512,1,11.3813,1.0946
513,1,12.0149,1.4438
514,-9,22.3878,1.3939
515,21,4.0566,1.3832
516,36,5.0558,1.3678
517,26,6.2635,1.1510
518,-9,12.9162,1.3486
519,61,8.5162,1.0750
520,36,13.1193,1.3546
521,1,20.5126,1.4311
522,21,5.4106,1.3327
523,46,6.0700,1.0017
524,1,20.2978,1.0596
525,11,2.7597,1.4890
526,36,6.5872,0.9406
527,1,10.3253,1.0963
528,46,5.3165,1.1049
529,1,8.5457,1.2002
530,11,3.8334,1.2095
531,36,10.6214,1.1393
532,1,11.5214,1.5500
533,11,2.3279,1.1909
534,21,3.8723,1.5151
535,26,13.4088,1.2545
536,1,14.9453,1.5312
537,21,1.0428,1.0801
538,26,11.9405,1.1230
539,21,5.1159,1.1038
540,56,3.3393,0.9472
541,21,4.8346,1.4964
542,21,4.7551,1.2107
543,36,5.5888,1.1103
544,36,4.8003,1.1765
545,46,4.0920,1.2241
546,1,12.0730,1.2596
547,36,5.8210,1.3328
548,36,2.9061,1.2157
549,11,3.8130,1.2239
550,36,5.4425,1.1403
551,36,4.2522,1.3209
552,36,4.7837,1.2116
553,-9,13.9949,1.0941
554,1,2.9871,1.1229
555,11,8.5126,1.5729
556,21,1.1182,1.2839
557,26,5.9003,1.1324
558,21,4.5732,1.5086
559,36,3.3950,1.0753
560,11,8.2661,1.5728
561,21,2.8060,1.0356
562,11,8.4034,1.4876
563,56,4.2913,1.1448
564,1,14.7008,1.3915
565,36,7.0961,1.1674
566,26,3.4336,1.0949
567,21,0.5711,1.4764
568,46,3.7168,1.1345
569,21,3.9562,1.3592
570,11,7.0294,1.0979
571,1,5.9203,1.0635
572,21,14.4877,1.3367
573,36,7.8562,1.0264
574,1,9.0423,1.5037
575,11,6.8539,0.9568
576,11,2.8322,1.1758
577,11,4.8421,1.3823
578,36,3.0789,1.0980
579,36,3.7049,1.1172
580,46,2.7895,1.2383
581,46,2.5060,1.0448
582,1,16.7367,1.4215
583,21,1.6850,1.2597
584,36,5.0291,1.3125
585,11,4.8821,1.2615
586,36,3.1720,1.0935
587,21,2.0727,1.1060
588,11,4.2263,1.1939
589,46,5.6099,1.3683
590,21,4.6180,1.4143
591,35,5.1646,1.1161
592,36,8.6080,1.0747
593,36,5.9091,1.2813
594,21,5.9342,1.1691
595,36,0.5130,1.2041
596,21,9.2706,1.2513
597,11,5.4771,1.2682
598,36,7.8638,1.1866
599,1,7.3571,1.3042
600,21,3.2469,1.0448
601,11,5.8903,1.1248
602,36,5.1990,1.1454
603,46,5.4351,1.2208
604,36,14.6923,1.0518
605,11,9.4745,1.1233
606,11,6.2171,1.5010
607,11,14.1153,1.3653
608,36,1.9278,1.1055
609,21,1.4463,1.3346
610,36,6.3932,1.1721
611,26,7.3894,1.2126
612,21,5.1355,1.3361
613,1,18.9674,1.5988
614,11,1.0565,1.4010
615,11,0.9037,1.1919
616,1,7.9596,1.2421
617,1,0.8085,1.5369
618,21,1.5102,1.5216
619,46,8.5916,1.3796
620,11,3.1064,1.2589
621,21,2.3108,1.0898
622,1,21.7271,1.5472
623,11,3.2647,1.2714
624,1,8.8149,1.5926
625,11,2.5119,1.5434
626,21,0.5478,1.4100
627,56,5.3955,1.1553
628,21,2.9360,1.1670
629,21,2.1442,1.1075
630,46,4.9368,1.1002
631,21,2.4284,1.0832
632,1,22.9501,1.3164
633,21,3.2473,1.4453
634,11,2.5089,1.1002
635,36,8.0469,1.2887
636,1,10.6760,1.6229
637,21,2.4661,1.4855
638,11,10.8194,1.0654
639,11,10.7529,1.3148
640,46,1.3019,1.1488
641,11,4.5349,1.1618
642,1,9.4408,1.2142
643,1,10.9555,1.4686
644,21,3.4616,1.3029
645,36,3.0770,1.1541
646,36,5.2390,1.1153
647,36,3.3585,1.3162
648,11,6.3383,1.3839
649,21,1.3122,1.2812
650,36,1.9197,1.1082
651,11,10.6952,1.1964
652,21,5.7308,1.3407
653,36,8.2214,1.1344
654,36,7.9423,1.1708
655,36,4.4588,1.0207
656,11,7.4840,1.2717
657,11,7.2671,1.3560
658,11,3.9487,1.1648
659,21,0.7440,1.2727
660,27,11.2586,1.0796
661,-9,13.8242,1.1050
662,11,2.8035,1.3079
663,36,3.0831,1.0307
664,11,1.8689,1.4787
665,21,1.4957,1.1912
666,35,0.8455,1.1921
667,1,12.7175,1.2648
668,21,1.2370,1.2187
669,46,3.1189,0.9758
670,11,5.0612,1.2200
671,21,0.6362,1.3585
672,36,11.6707,1.0051
673,11,4.1876,0.9691
674,46,1.7903,1.1729
675,11,3.3770,1.0325
676,35,10.2174,1.3055
677,36,8.3449,1.4010
678,11,10.2075,1.4942
679,11,2.9914,1.1674
680,26,5.8838,1.2110
681,46,2.8083,1.1927
682,11,3.9101,1.1032
683,36,1.8798,1.2833
684,36,2.8764,1.3191
685,36,3.1523,1.0953
686,1,8.1542,1.2812
687,-9,21.0641,1.5514
688,11,0.5265,1.0524
689,26,1.8160,1.1510
690,81,5.8136,1.1300
691,11,4.8342,1.1364
692,36,5.8942,1.0912
693,21,2.3748,1.2406
694,21,4.5167,1.0602
695,46,1.1649,1.2066
696,46,5.7707,1.0847
697,21,4.7585,1.3572
698,71,7.8389,1.0327
699,11,10.0379,1.1271
700,56,4.4157,1.1550
701,11,5.4865,1.5010
702,11,4.3173,1.0803
703,21,0.9217,1.1786
704,46,3.7601,1.3185
705,46,8.7729,1.2465
706,21,3.6907,1.3352
707,1,19.6413,1.1689
708,26,17.8824,1.3595
709,11,6.0625,1.4427
710,36,7.6609,1.2131
711,21,3.7278,1.1050
712,11,1.7539,1.1683
713,21,3.3857,1.2399
714,1,8.0326,1.2787
715,21,6.3111,1.4142
716,26,3.6856,1.1255
717,26,1.5211,1.0785
718,46,11.0063,1.3206
719,26,6.8597,1.2516
720,46,1.8066,0.9900
721,1,5.3327,1.1077
722,26,2.6124,1.0353
723,1,9.8403,1.2061
724,1,3.9092,1.0808
725,61,5.8010,1.1080
