Episode,Task,Epsilon,Total_Reward,End_Loop,Marauders,Marines
1,掠奪者任務,1.000,1.0000,5458,5,0
2,掠奪者任務,0.995,1.0000,4917,5,0
3,掠奪者任務,0.990,1.0000,5343,5,0
4,掠奪者任務,0.985,1.0000,5357,5,0
5,掠奪者任務,0.980,1.0000,6445,5,0
6,掠奪者任務,0.975,1.0000,6163,5,0
7,掠奪者任務,0.970,1.0000,5475,5,0
8,掠奪者任務,0.966,1.0000,6959,5,0
9,掠奪者任務,0.961,1.0000,5575,5,0
10,掠奪者任務,0.956,1.0000,5428,5,0
11,掠奪者任務,0.951,1.0000,5398,5,0
12,掠奪者任務,0.946,1.0000,6357,5,0
13,掠奪者任務,0.942,1.0000,6125,5,0
14,掠奪者任務,0.937,1.0000,5283,5,0
15,掠奪者任務,0.932,1.0000,5064,5,0
16,掠奪者任務,0.928,1.0000,5435,5,0
17,掠奪者任務,0.923,1.0000,5974,5,0
18,掠奪者任務,0.918,1.0000,6120,5,0
19,掠奪者任務,0.914,1.0000,7142,5,0
20,掠奪者任務,0.909,1.0000,5311,5,0
21,掠奪者任務,0.905,1.0000,5374,5,0
22,掠奪者任務,0.900,1.0000,6155,5,0
23,掠奪者任務,0.896,1.0000,5387,5,0
24,掠奪者任務,0.891,1.0000,5380,5,0
25,掠奪者任務,0.887,1.0000,5252,5,0
26,掠奪者任務,0.882,1.0000,5957,5,0
27,掠奪者任務,0.878,1.0000,5933,5,0
28,掠奪者任務,0.873,1.0000,5588,5,0
29,掠奪者任務,0.869,1.0000,6211,5,0
30,掠奪者任務,0.865,1.0000,5178,5,0
31,掠奪者任務,0.860,1.0000,6138,5,0
32,掠奪者任務,0.856,1.0000,5240,5,0
33,掠奪者任務,0.852,1.0000,6974,5,0
34,掠奪者任務,0.848,1.0000,5313,5,0
35,掠奪者任務,0.843,1.0000,5504,5,0
36,掠奪者任務,0.839,1.0000,5310,5,0
37,掠奪者任務,0.835,1.0000,6227,5,0
38,掠奪者任務,0.831,1.0000,5712,5,0
39,掠奪者任務,0.827,1.0000,11223,5,0
40,掠奪者任務,0.822,1.0000,5441,5,0
41,掠奪者任務,0.818,1.0000,6190,5,0
42,掠奪者任務,0.814,1.0000,5664,5,0
43,掠奪者任務,0.810,1.0000,5136,5,0
44,掠奪者任務,0.806,1.0000,5652,5,0
45,掠奪者任務,0.802,1.0000,5560,5,0
46,掠奪者任務,0.798,1.0000,5381,5,0
47,掠奪者任務,0.794,1.0000,5736,5,0
48,掠奪者任務,0.790,1.0000,5436,5,0
49,掠奪者任務,0.786,1.0000,5326,5,0
50,掠奪者任務,0.782,1.0000,5172,5,0
51,掠奪者任務,0.778,1.0000,5379,5,0
52,掠奪者任務,0.774,1.0000,5297,5,0
53,掠奪者任務,0.771,1.0000,5134,5,0
54,掠奪者任務,0.767,1.0000,6035,5,0
55,掠奪者任務,0.763,1.0000,5434,5,0
56,掠奪者任務,0.759,1.0000,5361,5,0
57,掠奪者任務,0.755,1.0000,7114,5,0
58,掠奪者任務,0.751,1.0000,5221,5,0
59,掠奪者任務,0.748,1.0000,5224,5,0
60,掠奪者任務,0.744,1.0000,6704,5,0
61,掠奪者任務,0.740,1.0000,5406,5,0
62,掠奪者任務,0.737,1.0000,5166,5,0
63,掠奪者任務,0.733,-1.0000,13440,0,0
64,掠奪者任務,0.729,1.0000,5798,5,0
65,掠奪者任務,0.726,1.0000,6088,5,0
66,掠奪者任務,0.722,1.0000,5643,5,0
67,掠奪者任務,0.718,1.0000,5604,5,0
68,掠奪者任務,0.715,1.0000,5633,5,0
69,掠奪者任務,0.711,1.0000,5405,5,0
70,掠奪者任務,0.708,-1.0000,1260,0,0
