Episode,Task,Epsilon,Total_Reward,End_Loop,Marauders,Marines
1,掠奪者任務,0.300,0.9879,9088,5,2
2,掠奪者任務,0.298,0.9897,7728,5,2
3,掠奪者任務,0.297,0.9858,10304,5,4
4,掠奪者任務,0.296,0.9884,9136,5,3
5,掠奪者任務,0.294,0.9898,7200,5,2
6,掠奪者任務,0.293,-0.2913,13440,3,14
7,掠奪者任務,0.291,0.9866,9792,5,6
8,掠奪者任務,0.290,0.9909,6336,5,2
9,掠奪者任務,0.288,0.9847,10240,5,2
10,掠奪者任務,0.287,0.9904,6944,5,5
11,掠奪者任務,0.285,0.9908,6544,5,8
12,掠奪者任務,0.284,0.9884,8704,5,10
13,掠奪者任務,0.282,0.9882,8944,5,1
14,掠奪者任務,0.281,0.9896,7264,5,2
15,掠奪者任務,0.280,-0.7163,13440,2,8
16,掠奪者任務,0.278,-0.9705,13440,0,7
17,掠奪者任務,0.277,-0.9705,13440,0,30
18,掠奪者任務,0.275,0.9872,9824,5,8
19,掠奪者任務,0.274,0.9816,12096,5,14
20,掠奪者任務,0.273,0.9877,8784,5,16
21,掠奪者任務,0.271,0.9899,7088,5,6
22,掠奪者任務,0.270,0.9819,12752,5,12
23,掠奪者任務,0.269,0.9856,10400,5,24
24,掠奪者任務,0.267,0.9854,10848,5,14
25,掠奪者任務,0.266,0.9852,11280,5,10
26,掠奪者任務,0.265,-0.9705,13440,0,11
27,掠奪者任務,0.263,0.9851,11792,5,12
28,掠奪者任務,0.262,0.9825,12000,5,13
29,掠奪者任務,0.261,0.9864,10288,5,10
30,掠奪者任務,0.259,0.2913,13440,4,2
31,掠奪者任務,0.258,0.9882,8896,5,5
32,掠奪者任務,0.257,0.9878,9088,5,10
33,掠奪者任務,0.256,0.9869,9424,5,8
34,掠奪者任務,0.254,0.9827,12784,5,20
35,掠奪者任務,0.253,-0.9705,13440,0,16
36,掠奪者任務,0.252,-0.7163,13440,2,8
37,掠奪者任務,0.250,-0.9705,13440,0,19
38,掠奪者任務,0.249,-0.9051,13440,1,17
39,掠奪者任務,0.248,0.9892,7888,5,7
40,掠奪者任務,0.247,-0.9705,13440,0,3
41,掠奪者任務,0.245,0.9894,7632,5,3
42,掠奪者任務,0.244,0.2913,13440,4,15
43,掠奪者任務,0.243,0.9840,11344,5,9
44,掠奪者任務,0.242,0.9885,8448,5,5
45,掠奪者任務,0.241,-0.9705,13440,0,14
46,掠奪者任務,0.239,0.9878,9232,5,17
47,掠奪者任務,0.238,0.9886,8192,5,16
48,掠奪者任務,0.237,0.9875,9216,5,7
49,掠奪者任務,0.236,0.9809,12864,5,17
50,掠奪者任務,0.235,0.9887,7904,5,5
51,掠奪者任務,0.233,0.9851,11408,5,12
52,掠奪者任務,0.232,0.2913,13440,4,19
53,掠奪者任務,0.231,-0.9705,13440,0,21
54,掠奪者任務,0.230,0.9882,9040,5,8
55,掠奪者任務,0.229,-0.7163,13440,2,24
56,掠奪者任務,0.228,0.9900,7120,5,8
57,掠奪者任務,0.227,-0.9051,13440,1,0
58,掠奪者任務,0.225,0.9873,9952,5,6
59,掠奪者任務,0.224,0.9867,9792,5,12
60,掠奪者任務,0.223,0.9894,7408,5,5
61,掠奪者任務,0.222,-0.9705,13440,0,9
62,掠奪者任務,0.221,0.9827,12704,5,17
63,掠奪者任務,0.220,0.9885,8496,5,11
64,掠奪者任務,0.219,0.2913,13440,4,23
65,掠奪者任務,0.218,-0.2913,13440,3,29
66,掠奪者任務,0.217,0.9831,12256,5,13
67,掠奪者任務,0.215,0.9886,8672,5,14
68,掠奪者任務,0.214,0.9883,8512,5,6
69,掠奪者任務,0.213,0.9874,9536,5,2
70,掠奪者任務,0.212,-0.9705,13440,0,18
71,掠奪者任務,0.211,0.9847,12112,5,26
72,掠奪者任務,0.210,-0.7163,13440,2,15
