Episode,Task,Epsilon,Total_Reward,End_Loop,Marauders,Marines
1,掠奪者任務,1.000,1.0000,7760,5,0
2,掠奪者任務,0.995,1.0000,6112,5,0
3,掠奪者任務,0.990,1.0000,6096,5,0
4,掠奪者任務,0.985,1.0000,5824,5,0
5,掠奪者任務,0.980,1.0000,5728,5,0
6,掠奪者任務,0.975,1.0000,6240,5,0
7,掠奪者任務,0.970,1.0000,5792,5,0
8,掠奪者任務,0.966,1.0000,5648,5,0
9,掠奪者任務,0.961,1.0000,5424,5,0
10,掠奪者任務,0.956,1.0000,7312,5,0
11,掠奪者任務,0.951,1.0000,8176,5,0
12,掠奪者任務,0.946,1.0000,5472,5,0
13,掠奪者任務,0.942,1.0000,7088,5,0
14,掠奪者任務,0.937,1.0000,5728,5,0
15,掠奪者任務,0.932,1.0000,6416,5,0
16,掠奪者任務,0.928,1.0000,6576,5,0
17,掠奪者任務,0.923,1.0000,6016,5,0
18,掠奪者任務,0.918,1.0000,6496,5,0
19,掠奪者任務,0.914,1.0000,6960,5,0
20,掠奪者任務,0.909,1.0000,7472,5,0
21,掠奪者任務,0.905,-0.6500,960,0,0
