Episode,Epsilon,Total_Reward,Barracks,TechLabs,Marauders,End_Loop,Reason,Is_Bottom_Right
1,1.000,750,0,0,0,20160,Done,False
2,0.999,200,0,0,0,20160,Done,False
3,0.998,530,0,0,1,20160,Done,False
4,0.997,330,0,0,1,13488,Done,False
5,0.996,360,0,0,0,20160,Done,False
6,0.995,330,0,0,0,20160,Done,False
7,0.994,910,0,0,2,20160,Done,False
8,0.993,1530,0,0,0,20160,Done,False
9,0.992,100,0,0,0,20160,Done,False
10,0.991,200,0,0,0,20160,Done,False
11,0.990,200,0,0,0,20160,Done,False
12,0.989,100,0,0,0,20160,Done,False
13,0.988,100,0,0,0,20160,Done,False
14,0.987,100,0,0,0,20160,Done,False
15,0.986,700,0,0,0,20160,Done,False
16,0.985,750,0,0,0,20160,Done,False
17,0.984,880,0,0,0,20160,Done,False
18,0.983,1480,0,0,1,20160,Done,False
19,0.982,450,0,0,0,20160,Done,False
20,0.981,200,0,0,0,20160,Done,False
21,0.980,200,0,0,0,20160,Done,False
22,0.979,200,0,0,0,20160,Done,False
23,0.978,50,0,0,0,20160,Done,False
24,0.977,700,0,0,0,20160,Done,False
25,0.976,200,0,0,0,20160,Done,False
26,0.975,950,0,0,0,20160,Done,False
27,0.974,0,0,0,0,20160,Done,False
28,0.973,630,0,0,1,20160,Done,False
29,0.972,750,0,0,0,20160,Done,False
30,0.971,330,0,0,1,20160,Done,False
31,0.970,200,0,0,0,20160,Done,False
32,0.969,1400,0,0,0,20160,Done,False
33,0.968,200,0,0,0,20160,Done,False
34,0.968,200,0,0,0,20160,Done,False
35,0.967,1400,0,0,0,20160,Done,False
36,0.966,1780,0,0,0,20160,Done,False
37,0.965,0,0,0,0,20160,Done,False
38,0.964,200,0,0,0,20160,Done,False
39,0.963,1280,0,0,0,20160,Done,False
40,0.962,2030,0,0,1,20160,Done,False
41,0.961,0,0,0,0,20160,Done,False
42,0.960,200,0,0,0,20160,Done,False
43,0.959,100,0,0,0,20160,Done,False
44,0.958,400,0,0,0,20160,Done,False
45,0.957,100,0,0,0,20160,Done,False
46,0.956,500,0,0,0,20160,Done,False
47,0.955,200,0,0,0,20160,Done,False
48,0.954,1650,0,0,0,20160,Done,False
49,0.953,100,0,0,0,20160,Done,False
50,0.952,0,0,0,0,20160,Done,False
51,0.951,610,0,0,0,20160,Done,False
52,0.950,1280,0,0,0,20160,Done,False
53,0.949,1400,0,0,0,20160,Done,False
54,0.948,500,0,0,0,20160,Done,False
55,0.947,100,0,0,0,20160,Done,False
56,0.946,200,0,0,0,20160,Done,False
57,0.946,1330,0,0,1,20160,Done,False
58,0.945,200,0,0,0,20160,Done,False
59,0.944,200,0,0,0,20160,Done,False
60,0.943,100,0,0,0,20160,Done,False
61,0.942,1560,0,0,1,20160,Done,False
62,0.941,100,0,0,0,20160,Done,False
63,0.940,1130,0,0,1,20160,Done,False
64,0.939,830,0,0,0,20160,Done,False
65,0.938,1400,0,0,0,20160,Done,False
66,0.937,100,0,0,0,20160,Done,False
67,0.936,450,0,0,0,20160,Done,False
68,0.935,100,0,0,0,20160,Done,False
69,0.934,1150,0,0,0,20160,Done,False
70,0.933,580,0,0,0,20160,Done,False
71,0.932,330,0,0,1,20160,Done,False
72,0.931,450,0,0,0,20160,Done,False
73,0.930,1900,0,0,0,20160,Done,False
74,0.930,880,0,0,0,20160,Done,False
75,0.929,200,0,0,0,20160,Done,False
76,0.928,0,0,0,0,20160,Done,False
77,0.927,1030,0,0,0,20160,Done,False
78,0.926,1780,0,0,0,20160,Done,False
79,0.925,150,0,0,0,20160,Done,False
80,0.924,0,0,0,0,20160,Done,False
81,0.923,100,0,0,0,20160,Done,False
82,0.922,330,0,0,0,20160,Done,False
83,0.921,400,0,0,0,20160,Done,False
84,0.920,670,0,0,0,20160,Done,False
