Game_Loop,Minerals,Vespene,Workers,Ideal,Action_ID
0.0,50,0,12,16,7
32.0,50,0,12,16,0
128.0,60,0,12,16,4
160.0,75,0,12,16,2
192.0,110,0,12,16,6
224.0,110,0,12,16,6
320.0,170,0,12,16,4
352.0,170,0,12,16,3
384.0,120,0,12,16,5
544.0,195,0,12,19,6
576.0,210,0,12,19,3
608.0,225,0,12,19,5
640.0,235,0,12,19,6
672.0,255,0,12,19,1
704.0,275,0,12,19,7
736.0,280,0,12,19,6
768.0,290,0,12,19,0
800.0,325,0,12,19,7
896.0,355,0,12,19,8
928.0,375,0,12,19,2
960.0,390,4,12,19,8
1024.0,420,4,12,19,5
1056.0,435,8,12,19,4
1088.0,450,8,12,19,3
1120.0,455,8,12,19,8
1152.0,475,12,12,16,3
1184.0,495,12,12,16,1
1216.0,510,12,12,16,7
1248.0,520,16,12,16,3
1280.0,530,16,12,16,8
1344.0,575,20,12,19,2
1376.0,480,20,12,19,6
1408.0,500,24,12,19,7
1440.0,510,24,12,19,7
1472.0,525,24,12,19,0
1504.0,535,28,12,19,2
1536.0,455,28,12,19,0
1568.0,470,28,12,19,8
1600.0,475,32,12,19,7
1632.0,490,32,12,19,7
1664.0,505,36,12,19,8
1696.0,520,36,12,16,9
1760.0,540,40,12,19,4
1792.0,565,40,12,19,3
1824.0,575,40,12,19,8
1856.0,585,44,12,16,5
1888.0,600,44,12,16,5
1920.0,620,44,12,16,5
1952.0,630,48,12,16,1
1984.0,635,48,12,16,6
2016.0,650,52,12,16,3
2048.0,680,52,12,16,6
2080.0,680,52,12,16,3
2112.0,695,56,12,16,2
2208.0,735,60,12,19,2
2240.0,755,60,12,19,8
2272.0,765,60,12,19,5
2304.0,625,64,12,19,5
2336.0,640,64,12,19,3
2368.0,650,68,12,19,8
2432.0,680,68,12,19,4
2464.0,690,72,12,19,8
2496.0,700,72,12,16,3
2528.0,710,72,12,16,0
2560.0,730,76,12,16,8
2624.0,745,76,12,19,4
2656.0,775,80,12,19,7
2688.0,775,80,12,19,7
2784.0,820,84,12,19,4
2816.0,825,88,12,19,0
2848.0,830,88,12,19,6
2944.0,870,92,12,19,6
3040.0,915,96,12,19,1
3136.0,945,100,12,19,3
3168.0,965,104,12,19,0
3200.0,975,104,12,19,3
3232.0,985,104,12,19,4
3264.0,995,108,12,19,3
3296.0,1010,108,12,19,3
3328.0,1020,108,12,19,2
3360.0,1035,112,12,19,1
3392.0,1045,112,12,19,1
3424.0,1015,116,12,19,1
3456.0,965,116,12,19,8
3488.0,985,116,12,19,4
