Episode,Epsilon,Total_Reward,Barracks,TechLabs,Marauders,End_Loop,Reason,Is_Bottom_Right
144,0.867,100,0,0,0,20160,Done,False
145,0.866,150,0,0,0,11488,Done,False
146,0.865,200,0,0,0,20160,Done,False
147,0.864,200,0,0,0,20160,Done,False
148,0.863,200,0,0,0,20160,Done,False
149,0.862,100,0,0,0,20160,Done,False
150,0.862,200,0,0,0,20160,Done,False
151,0.861,200,0,0,0,20160,Done,False
152,0.860,200,0,0,0,20160,Done,False
153,0.859,400,0,0,0,20160,Done,False
154,0.858,100,0,0,0,20160,Done,False
155,0.857,100,0,0,0,20160,Done,False
156,0.856,200,0,0,0,20160,Done,False
157,0.855,100,0,0,0,20160,Done,False
158,0.855,200,0,0,0,20160,Done,False
159,0.854,200,0,0,0,20160,Done,False
160,0.853,200,0,0,0,20160,Done,False
161,0.852,200,0,0,0,20160,Done,False
162,0.851,200,0,0,0,20160,Done,False
163,0.850,100,0,0,0,20160,Done,False
164,0.850,100,0,0,0,20160,Done,False
165,0.849,100,0,0,0,20160,Done,False
166,0.848,100,0,0,0,20160,Done,False
167,0.847,200,0,0,0,20160,Done,False
168,0.846,100,0,0,0,20160,Done,False
169,0.845,200,0,0,0,20160,Done,False
170,0.844,200,0,0,0,20160,Done,False
171,0.844,200,0,0,0,20160,Done,False
172,0.843,200,0,0,0,20160,Done,False
173,0.842,200,0,0,0,20160,Done,False
174,0.841,200,0,0,0,20160,Done,False
175,0.840,200,0,0,0,20160,Done,False
176,0.839,200,0,0,0,20160,Done,False
177,0.839,100,0,0,0,20160,Done,False
178,0.838,200,0,0,0,20160,Done,False
179,0.837,200,0,0,0,20160,Done,False
180,0.836,0,0,0,0,20160,Done,False
181,0.835,200,0,0,0,20160,Done,False
182,0.834,100,0,0,0,20160,Done,False
183,0.834,200,0,0,0,20160,Done,False
184,0.833,200,0,0,0,20160,Done,False
185,0.832,200,0,0,0,20160,Done,False
186,0.831,200,0,0,0,20160,Done,False
187,0.830,200,0,0,0,20160,Done,False
188,0.829,100,0,0,0,20160,Done,False
189,0.829,200,0,0,0,20160,Done,False
190,0.828,0,0,0,0,20160,Done,False
191,0.827,100,0,0,0,20160,Done,False
192,0.826,200,0,0,0,20160,Done,False
193,0.825,200,0,0,0,20160,Done,False
194,0.824,200,0,0,0,20160,Done,False
195,0.824,100,0,0,0,20160,Done,False
196,0.823,200,0,0,0,20160,Done,False
197,0.822,200,0,0,0,20160,Done,False
198,0.821,100,0,0,0,20160,Done,False
199,0.820,0,0,0,0,20160,Done,False
200,0.819,200,0,0,0,20160,Done,False
201,0.819,200,0,0,0,20160,Done,False
