Episode,Total_Reward,Marauders,End_Loop,Reason
1,90.79,0,[13440],Timeout
2,590.79,0,[13440],Timeout
3,300.79,1,[13440],Timeout
4,185.79,0,[13440],Timeout
5,130.79,0,[13440],Timeout
6,150.79,0,[13440],Timeout
7,30.79,0,[13440],Timeout
8,200.79,0,[13440],Timeout
9,150.79,0,[13440],Timeout
10,90.79,0,[13440],Timeout
11,220.79,0,[13440],Timeout
12,160.79,0,[13440],Timeout
13,410.79,0,[13440],Timeout
14,295.79,1,[13440],Timeout
15,180.79,0,[13440],Timeout
16,220.79,0,[13440],Timeout
17,820.97,5,[12864],Finished
