Episode,Epsilon,Total_Reward,Marauders,End_Loop,Reason,Is_Bottom_Right
1,1.000,185,0,13440,Timeout,False
2,0.995,35,0,13440,Timeout,False
3,0.990,185,0,13440,Timeout,True
4,0.985,635,0,13440,Timeout,True
5,0.980,485,3,13440,Timeout,False
6,0.975,225,1,13440,Timeout,True
7,0.970,-4,0,13440,Timeout,False
8,0.966,35,0,13440,Timeout,False
9,0.961,35,0,13440,Timeout,True
10,0.956,115,0,13440,Timeout,False
11,0.951,35,0,13440,Timeout,False
12,0.946,35,0,13440,Timeout,True
13,0.942,200,1,13440,Timeout,True
14,0.937,185,0,13440,Timeout,False
15,0.932,185,0,13440,Timeout,False
16,0.928,-4,0,13440,Timeout,False
17,0.923,35,0,13440,Timeout,False
18,0.918,185,1,13440,Timeout,True
19,0.914,265,0,13440,Timeout,False
20,0.909,485,3,13440,Timeout,True
21,0.905,185,0,13440,Timeout,True
