Episode,Total_Reward,Marauders,End_Loop,Reason
1,370.79,0,[13440],Timeout
2,160.79,0,[13440],Timeout
3,170.79,0,[13440],Timeout
4,65.79,0,[13440],Timeout
5,590.79,3,[13440],Timeout
6,220.79,1,[13440],Timeout
7,130.79,0,[13440],Timeout
8,30.79,0,[13440],Timeout
9,190.79,0,[13440],Timeout
10,555.79,3,[13440],Timeout
11,205.79,0,[13440],Timeout
12,105.79,0,[13440],Timeout
13,220.79,1,[13440],Timeout
14,280.79,1,[13440],Timeout
15,70.79,0,[13440],Timeout
16,160.79,0,[13440],Timeout
17,190.79,0,[13440],Timeout
18,595.79,3,[13440],Timeout
19,315.79,1,[13440],Timeout
20,720.79,4,[13440],Timeout
21,110.79,0,[13440],Timeout
22,560.79,0,[13440],Timeout
23,370.79,2,[13440],Timeout
24,180.79,0,[13440],Timeout
25,125.79,0,[13440],Timeout
26,390.79,0,[13440],Timeout
27,860.91,5,[13056],Finished
