Episode,Total_Reward,Marauders,End_Loop,Reason,Is_Bottom_Right
1,185,1,13440,Timeout,False
2,335,2,13440,Timeout,True
3,335,0,13440,Timeout,True
4,1285,5,12992,Target_Reached,True
5,35,0,13440,Timeout,True
6,-4,0,13440,Timeout,False
7,-4,0,13440,Timeout,False
8,75,0,13440,Timeout,False
9,335,2,13440,Timeout,True
10,75,0,13440,Timeout,True
11,35,0,13440,Timeout,False
12,335,2,13440,Timeout,True
13,335,2,13440,Timeout,True
14,75,0,13440,Timeout,False
15,335,2,13440,Timeout,True
16,35,0,13440,Timeout,True
17,225,1,13440,Timeout,False
18,335,0,13440,Timeout,False
19,415,0,13440,Timeout,False
20,35,0,13440,Timeout,False
21,375,2,13440,Timeout,False
22,-4,0,13440,Timeout,False
23,35,0,13440,Timeout,False
24,35,0,13440,Timeout,True
25,75,0,13440,Timeout,False
26,35,0,13440,Timeout,True
27,225,0,13440,Timeout,False
28,335,0,13440,Timeout,False
29,35,0,13440,Timeout,True
30,35,0,13440,Timeout,True
31,185,1,13440,Timeout,False
32,35,0,13440,Timeout,True
33,75,0,13440,Timeout,True
34,185,1,13440,Timeout,True
35,35,0,13440,Timeout,False
36,35,0,13440,Timeout,False
37,-4,0,13440,Timeout,False
38,185,1,13440,Timeout,False
39,185,0,13440,Timeout,False
40,335,2,13440,Timeout,False
41,35,0,13440,Timeout,True
42,-4,0,13440,Timeout,False
43,335,2,13440,Timeout,False
44,35,0,13440,Timeout,True
45,635,4,13440,Timeout,True
46,75,0,13440,Timeout,False
47,415,2,13440,Timeout,True
48,185,1,13440,Timeout,True
49,185,0,13440,Timeout,True
50,1286,5,12416,Target_Reached,False
51,565,0,13440,Timeout,False
52,185,1,13440,Timeout,False
53,-4,0,13440,Timeout,True
54,635,0,13440,Timeout,True
55,35,0,13440,Timeout,True
56,115,0,13440,Timeout,True
57,35,0,13440,Timeout,True
58,35,0,13440,Timeout,True
59,485,0,13440,Timeout,True
60,35,0,13440,Timeout,False
61,75,0,13440,Timeout,False
62,185,0,13440,Timeout,False
63,185,0,13440,Timeout,False
64,35,0,13440,Timeout,False
65,335,2,13440,Timeout,False
66,35,0,13440,Timeout,True
67,155,0,13440,Timeout,True
68,185,0,13440,Timeout,False
69,35,0,13440,Timeout,True
70,35,0,13440,Timeout,True
71,335,2,13440,Timeout,False
72,185,1,13440,Timeout,False
73,115,0,13440,Timeout,True
74,35,0,13440,Timeout,False
75,485,3,13440,Timeout,False
76,35,0,13440,Timeout,True
77,1286,5,9792,Target_Reached,True
78,-4,0,13440,Timeout,True
79,185,1,13440,Timeout,True
80,-4,0,13440,Timeout,False
81,335,2,13440,Timeout,True
82,185,0,13440,Timeout,False
83,635,0,13440,Timeout,False
84,185,0,13440,Timeout,True
85,185,1,13440,Timeout,True
86,35,0,13440,Timeout,True
87,-4,0,13440,Timeout,False
88,-4,0,13440,Timeout,True
89,635,4,13440,Timeout,True
90,225,1,13440,Timeout,False
91,115,0,13440,Timeout,True
92,35,0,13440,Timeout,False
93,265,0,13440,Timeout,True
94,-4,0,13440,Timeout,False
95,75,0,13440,Timeout,False
96,35,0,13440,Timeout,True
97,35,0,13440,Timeout,True
98,35,0,13440,Timeout,False
99,35,0,13440,Timeout,False
100,-4,0,13440,Timeout,True
101,185,1,13440,Timeout,True
102,35,0,13440,Timeout,True
103,35,0,13440,Timeout,False
104,-4,0,13440,Timeout,False
105,75,0,13440,Timeout,False
106,115,0,13440,Timeout,False
107,335,2,13440,Timeout,True
108,35,0,13440,Timeout,False
109,75,0,13440,Timeout,False
110,-4,0,13440,Timeout,False
111,185,1,13440,Timeout,False
112,-4,0,13440,Timeout,False
113,35,0,13440,Timeout,True
114,35,0,13440,Timeout,True
115,35,0,13440,Timeout,True
116,35,0,13440,Timeout,False
117,35,0,13440,Timeout,True
118,635,0,13440,Timeout,False
119,75,0,13440,Timeout,False
120,-4,0,13440,Timeout,False
121,35,0,13440,Timeout,False
122,35,0,13440,Timeout,True
123,75,0,13440,Timeout,False
124,1285,5,13184,Target_Reached,False
125,35,0,13440,Timeout,False
126,35,0,13440,Timeout,True
127,35,0,13440,Timeout,False
128,35,0,13440,Timeout,False
129,485,3,13440,Timeout,True
130,-4,0,13440,Timeout,False
131,35,0,13440,Timeout,False
132,-4,0,13440,Timeout,False
133,-4,0,13440,Timeout,True
134,185,1,13440,Timeout,True
135,-4,0,13440,Timeout,True
136,35,0,13440,Timeout,True
137,-4,0,13440,Timeout,True
138,415,2,13440,Timeout,True
139,185,1,13440,Timeout,False
140,115,0,13440,Timeout,True
141,-4,0,13440,Timeout,True
142,35,0,13440,Timeout,False
143,-4,0,13440,Timeout,False
144,485,3,13440,Timeout,False
145,-4,0,13440,Timeout,False
146,35,0,13440,Timeout,True
147,75,0,13440,Timeout,False
148,35,0,13440,Timeout,False
149,35,0,13440,Timeout,True
150,455,0,13440,Timeout,False
151,75,0,13440,Timeout,False
152,-4,0,13440,Timeout,False
153,35,0,13440,Timeout,True
154,-4,0,13440,Timeout,True
155,35,0,13440,Timeout,False
156,-4,0,13440,Timeout,True
157,335,0,13440,Timeout,True
158,50,0,13440,Timeout,True
159,75,0,13440,Timeout,True
160,-4,0,13440,Timeout,True
161,-4,0,13440,Timeout,True
162,35,0,13440,Timeout,True
163,485,0,13440,Timeout,True
164,-4,0,13440,Timeout,False
165,185,0,13440,Timeout,True
166,265,1,13440,Timeout,False
167,225,0,13440,Timeout,False
168,185,1,13440,Timeout,False
169,185,0,13440,Timeout,True
170,-4,0,13440,Timeout,False
171,335,0,13440,Timeout,False
172,225,1,13440,Timeout,False
173,375,3,13440,Timeout,True
174,1366,5,12224,Target_Reached,False
175,35,0,13440,Timeout,False
176,35,0,13440,Timeout,False
177,335,2,13440,Timeout,False
178,155,0,13440,Timeout,False
179,185,1,13440,Timeout,True
180,75,0,13440,Timeout,True
181,35,0,13440,Timeout,False
182,35,0,13440,Timeout,True
183,-4,0,13440,Timeout,False
184,-4,0,13440,Timeout,False
185,35,0,13440,Timeout,True
186,-4,0,13440,Timeout,True
187,-4,0,13440,Timeout,False
188,75,0,13440,Timeout,False
189,-4,0,13440,Timeout,True
190,-4,0,13440,Timeout,True
191,35,0,13440,Timeout,False
192,115,0,13440,Timeout,False
193,35,0,13440,Timeout,False
194,-4,0,13440,Timeout,True
195,35,0,13440,Timeout,False
196,35,0,13440,Timeout,True
197,-4,0,13440,Timeout,False
198,-4,0,13440,Timeout,False
199,35,0,13440,Timeout,False
200,-4,0,13440,Timeout,False
