Episode,Total_Reward,Marauders,End_Loop,Reason
1,-4.21,0,[13440],GameTime_Limit
2,-4.21,0,[13440],GameTime_Limit
3,-4.21,0,[13440],GameTime_Limit
4,-4.21,0,[13440],GameTime_Limit
5,-4.21,0,[13440],GameTime_Limit
6,-4.21,0,[13440],GameTime_Limit
7,195.79,2,[13440],GameTime_Limit
8,-4.21,0,[13440],GameTime_Limit
9,95.79,1,[13440],GameTime_Limit
10,-4.21,0,[13440],GameTime_Limit
11,195.79,2,[13440],GameTime_Limit
12,-4.21,0,[13440],GameTime_Limit
13,-4.21,0,[13440],GameTime_Limit
14,-4.21,0,[13440],GameTime_Limit
15,-4.21,0,[13440],GameTime_Limit
16,95.79,1,[13440],GameTime_Limit
17,-4.21,0,[13440],GameTime_Limit
18,-4.21,0,[13440],GameTime_Limit
19,-4.21,0,[13440],GameTime_Limit
20,195.79,2,[13440],GameTime_Limit
21,-4.21,0,[13440],GameTime_Limit
22,-4.21,0,[13440],GameTime_Limit
23,195.79,2,[13440],GameTime_Limit
24,95.79,1,[13440],GameTime_Limit
25,-4.21,0,[13440],GameTime_Limit
26,95.79,1,[13440],GameTime_Limit
27,-4.21,0,[13440],GameTime_Limit
28,-4.21,0,[13440],GameTime_Limit
29,95.79,1,[13440],GameTime_Limit
30,-4.21,0,[13440],GameTime_Limit
31,-4.21,0,[13440],GameTime_Limit
32,-4.21,0,[13440],GameTime_Limit
33,-4.21,0,[13440],GameTime_Limit
34,-4.21,0,[13440],GameTime_Limit
35,95.79,1,[13440],GameTime_Limit
36,-4.21,0,[13440],GameTime_Limit
37,-4.21,0,[13440],GameTime_Limit
38,-4.21,0,[13440],GameTime_Limit
39,-4.21,0,[13440],GameTime_Limit
40,-4.21,0,[13440],GameTime_Limit
41,-4.21,0,[13440],GameTime_Limit
42,-4.21,0,[13440],GameTime_Limit
43,-4.21,0,[13440],GameTime_Limit
44,-4.21,0,[13440],GameTime_Limit
45,-4.21,0,[13440],GameTime_Limit
46,-4.21,0,[13440],GameTime_Limit
47,-4.21,0,[13440],GameTime_Limit
48,95.79,1,[13440],GameTime_Limit
49,-4.21,0,[13440],GameTime_Limit
50,-4.21,0,[13440],GameTime_Limit
51,-4.21,0,[13440],GameTime_Limit
52,-4.21,0,[13440],GameTime_Limit
53,-4.21,0,[13440],GameTime_Limit
54,-4.21,0,[13440],GameTime_Limit
55,-4.21,0,[13440],GameTime_Limit
56,-4.21,0,[13440],GameTime_Limit
57,95.79,1,[13440],GameTime_Limit
58,-4.21,0,[13440],GameTime_Limit
59,-4.21,0,[13440],GameTime_Limit
60,-4.21,0,[13440],GameTime_Limit
61,-4.21,0,[13440],GameTime_Limit
62,-4.21,0,[13440],GameTime_Limit
63,95.79,1,[13440],GameTime_Limit
64,-4.21,0,[13440],GameTime_Limit
65,-4.21,0,[13440],GameTime_Limit
66,-4.21,0,[13440],GameTime_Limit
67,-4.21,0,[13440],GameTime_Limit
68,-4.21,0,[13440],GameTime_Limit
69,-4.21,0,[13440],GameTime_Limit
70,-4.21,0,[13440],GameTime_Limit
71,-4.21,0,[13440],GameTime_Limit
72,-4.21,0,[13440],GameTime_Limit
73,-4.21,0,[13440],GameTime_Limit
74,-4.21,0,[13440],GameTime_Limit
75,-4.21,0,[13440],GameTime_Limit
76,-4.21,0,[13440],GameTime_Limit
77,-4.21,0,[13440],GameTime_Limit
78,-4.21,0,[13440],GameTime_Limit
79,-4.21,0,[13440],GameTime_Limit
80,-4.21,0,[13440],GameTime_Limit
81,-4.21,0,[13440],GameTime_Limit
82,-4.21,0,[13440],GameTime_Limit
83,-4.21,0,[13440],GameTime_Limit
84,-4.21,0,[13440],GameTime_Limit
85,-4.21,0,[13440],GameTime_Limit
86,-4.21,0,[13440],GameTime_Limit
87,95.79,1,[13440],GameTime_Limit
88,-4.21,0,[13440],GameTime_Limit
89,-4.21,0,[13440],GameTime_Limit
90,-4.21,0,[13440],GameTime_Limit
91,-4.21,0,[13440],GameTime_Limit
92,-4.21,0,[13440],GameTime_Limit
93,95.79,1,[13440],GameTime_Limit
94,-4.21,0,[13440],GameTime_Limit
95,-4.21,0,[13440],GameTime_Limit
96,-4.21,0,[13440],GameTime_Limit
97,-4.21,0,[13440],GameTime_Limit
98,-4.21,0,[13440],GameTime_Limit
99,-4.21,0,[13440],GameTime_Limit
