Episode,Total_Reward,Marauders,End_Loop,Reason,Is_Bottom_Right
1,185,1,13440,Timeout,True
2,185,1,13440,Timeout,True
3,35,0,13440,Timeout,False
4,185,1,13440,Timeout,False
5,185,1,13440,Timeout,True
6,1286,5,11968,Target_Reached,True
7,35,0,13440,Timeout,False
8,35,0,13440,Timeout,False
9,185,1,13440,Timeout,True
10,185,0,13440,Timeout,True
11,335,0,13440,Timeout,True
12,335,0,13440,Timeout,True
13,35,0,13440,Timeout,True
14,335,2,13440,Timeout,True
15,75,0,13440,Timeout,False
16,225,1,13440,Timeout,True
17,335,2,13440,Timeout,False
18,185,1,13440,Timeout,True
19,35,0,13440,Timeout,True
20,35,0,13440,Timeout,True
21,485,3,13440,Timeout,True
22,185,1,13440,Timeout,False
23,185,1,13440,Timeout,False
24,635,0,13440,Timeout,False
25,375,0,13440,Timeout,False
26,185,1,13440,Timeout,True
27,-4,0,13440,Timeout,False
28,675,4,13440,Timeout,True
29,75,0,13440,Timeout,False
30,485,3,13440,Timeout,True
31,185,1,13440,Timeout,False
32,75,0,13440,Timeout,False
33,485,0,13440,Timeout,False
34,635,4,13440,Timeout,False
35,335,2,13440,Timeout,False
36,485,3,13440,Timeout,False
37,35,0,13440,Timeout,False
38,185,0,13440,Timeout,False
39,485,3,13440,Timeout,False
40,335,0,13440,Timeout,False
41,265,0,13440,Timeout,False
42,485,3,13440,Timeout,True
43,185,1,13440,Timeout,False
44,35,0,13440,Timeout,False
45,35,0,13440,Timeout,True
46,115,0,13440,Timeout,False
47,185,0,13440,Timeout,False
48,225,1,13440,Timeout,False
49,335,2,13440,Timeout,True
50,115,0,13440,Timeout,True
51,335,2,13440,Timeout,True
52,185,1,13440,Timeout,True
53,35,0,13440,Timeout,False
54,185,0,13440,Timeout,False
55,335,2,13440,Timeout,True
56,35,0,13440,Timeout,True
57,35,0,13440,Timeout,True
58,485,3,13440,Timeout,False
59,225,1,13440,Timeout,True
60,-4,0,13440,Timeout,False
61,35,0,13440,Timeout,False
62,375,2,13440,Timeout,False
63,-4,0,13440,Timeout,False
64,265,0,13440,Timeout,True
65,35,0,13440,Timeout,False
66,375,2,13440,Timeout,False
67,35,0,13440,Timeout,False
68,185,0,13440,Timeout,True
69,185,1,13440,Timeout,True
70,635,0,13440,Timeout,False
71,635,4,13440,Timeout,False
72,35,0,13440,Timeout,True
73,335,2,13440,Timeout,True
74,485,0,13440,Timeout,False
75,-4,0,13440,Timeout,False
76,415,0,13440,Timeout,True
77,35,0,13440,Timeout,False
78,185,1,13440,Timeout,True
79,75,0,13440,Timeout,False
80,225,0,13440,Timeout,True
81,225,1,13440,Timeout,False
82,335,2,13440,Timeout,True
83,225,1,13440,Timeout,False
84,35,0,13440,Timeout,False
85,335,2,13440,Timeout,True
86,35,0,13440,Timeout,False
87,335,0,13440,Timeout,True
88,185,1,13440,Timeout,True
89,185,1,13440,Timeout,False
90,635,4,13440,Timeout,True
91,185,1,13440,Timeout,True
92,115,0,13440,Timeout,True
93,375,2,13440,Timeout,True
94,335,0,13440,Timeout,False
95,75,0,13440,Timeout,False
96,35,0,13440,Timeout,False
97,335,2,13440,Timeout,False
98,375,2,13440,Timeout,True
99,565,0,13440,Timeout,True
100,75,0,13440,Timeout,True
101,35,0,13440,Timeout,False
102,185,0,13440,Timeout,True
103,185,0,13440,Timeout,False
104,335,2,13440,Timeout,False
105,185,1,13440,Timeout,True
106,415,2,13440,Timeout,True
107,35,0,13440,Timeout,True
108,35,0,13440,Timeout,False
109,485,3,13440,Timeout,False
110,185,1,13440,Timeout,True
111,335,2,13440,Timeout,True
112,225,0,13440,Timeout,True
113,35,0,13440,Timeout,False
114,565,3,13440,Timeout,True
115,50,0,13440,Timeout,True
116,225,0,13440,Timeout,False
117,35,0,13440,Timeout,False
118,185,1,13440,Timeout,False
119,185,0,13440,Timeout,False
120,35,0,13440,Timeout,False
121,-4,0,13440,Timeout,False
122,185,1,13440,Timeout,True
123,35,0,13440,Timeout,False
124,335,2,13440,Timeout,False
125,525,0,13440,Timeout,True
126,35,0,13440,Timeout,False
127,35,0,13440,Timeout,False
128,265,0,13440,Timeout,False
129,-4,0,13440,Timeout,False
130,75,0,13440,Timeout,False
131,185,1,13440,Timeout,True
132,335,1,13440,Timeout,False
133,225,1,13440,Timeout,True
134,115,0,13440,Timeout,False
135,185,0,13440,Timeout,False
136,185,1,13440,Timeout,True
137,485,3,13440,Timeout,True
138,35,0,13440,Timeout,True
139,-4,0,13440,Timeout,False
140,525,3,13440,Timeout,True
141,185,0,13440,Timeout,True
142,715,4,13440,Timeout,True
143,155,0,13440,Timeout,False
144,225,0,13440,Timeout,False
145,75,0,13440,Timeout,False
146,75,0,13440,Timeout,False
147,185,1,13440,Timeout,True
148,185,0,13440,Timeout,False
149,35,0,13440,Timeout,False
150,155,0,13440,Timeout,False
151,75,0,13440,Timeout,False
152,185,0,13440,Timeout,True
153,335,2,13440,Timeout,True
154,185,1,13440,Timeout,True
155,185,1,13440,Timeout,True
156,115,0,13440,Timeout,True
157,335,2,13440,Timeout,True
158,185,1,13440,Timeout,True
159,35,0,13440,Timeout,True
160,485,3,13440,Timeout,False
161,225,1,13440,Timeout,True
162,565,3,13440,Timeout,False
163,185,0,13440,Timeout,False
164,485,0,13440,Timeout,True
165,-4,0,13440,Timeout,False
166,335,2,13440,Timeout,False
167,35,0,13440,Timeout,False
168,225,0,13440,Timeout,False
169,375,2,13440,Timeout,True
170,35,0,13440,Timeout,False
171,115,0,13440,Timeout,True
172,185,1,13440,Timeout,True
173,185,1,13440,Timeout,True
174,-4,0,13440,Timeout,False
175,35,0,13440,Timeout,False
176,485,0,13440,Timeout,True
177,185,1,13440,Timeout,True
178,485,0,13440,Timeout,False
179,35,0,13440,Timeout,True
180,-4,0,13440,Timeout,False
181,635,4,13440,Timeout,True
182,225,0,13440,Timeout,False
183,185,1,13440,Timeout,True
184,35,0,13440,Timeout,True
185,225,1,13440,Timeout,False
186,185,0,13440,Timeout,False
187,35,0,13440,Timeout,False
188,185,1,13440,Timeout,True
189,115,0,13440,Timeout,False
190,1285,5,13248,Target_Reached,True
191,35,0,13440,Timeout,True
192,335,2,13440,Timeout,True
193,75,0,13440,Timeout,False
194,335,2,13440,Timeout,True
195,375,0,13440,Timeout,False
196,335,2,13440,Timeout,False
197,335,0,13440,Timeout,True
198,185,0,13440,Timeout,True
199,-4,0,13440,Timeout,False
200,335,2,13440,Timeout,True
