Episode,Epsilon,Total_Reward,Barracks,TechLabs,Marauders,End_Loop,Reason,Is_Bottom_Right
1,1.000,200,0,0,0,20160,Done,False
2,0.999,0,0,0,0,20160,Done,False
3,0.998,50,0,0,0,20160,Done,False
4,0.997,0,0,0,0,20160,Done,False
5,0.996,0,0,0,0,20160,Done,False
6,0.995,100,0,0,0,20160,Done,False
7,0.994,50,0,0,0,20160,Done,False
8,0.993,50,0,0,0,20160,Done,False
9,0.992,200,0,0,0,20160,Done,False
10,0.991,150,0,0,0,20160,Done,False
11,0.990,0,0,0,0,20160,Done,False
12,0.989,0,0,0,0,20160,Done,False
13,0.988,50,0,0,0,20160,Done,False
14,0.987,100,0,0,0,20160,Done,False
15,0.986,50,0,0,0,20160,Done,False
16,0.985,0,0,0,0,20160,Done,False
17,0.984,200,0,0,0,20160,Done,False
18,0.983,200,0,0,0,20160,Done,False
19,0.982,50,0,0,0,20160,Done,False
20,0.981,100,0,0,0,20160,Done,False
21,0.980,50,0,0,0,20160,Done,False
22,0.979,50,0,0,0,20160,Done,False
23,0.978,50,0,0,0,20160,Done,False
24,0.977,200,0,0,0,20160,Done,False
25,0.976,0,0,0,0,20160,Done,False
26,0.975,200,0,0,0,20160,Done,False
27,0.974,0,0,0,0,20160,Done,False
28,0.973,200,0,0,0,20160,Done,False
29,0.972,0,0,0,0,20160,Done,False
30,0.971,100,0,0,0,20160,Done,False
31,0.970,50,0,0,0,20160,Done,False
32,0.969,100,0,0,0,20160,Done,False
33,0.968,50,0,0,0,20160,Done,False
34,0.968,0,0,0,0,20160,Done,False
35,0.967,50,0,0,0,20160,Done,False
36,0.966,100,0,0,0,20160,Done,False
37,0.965,0,0,0,0,20160,Done,False
38,0.964,0,0,0,0,20160,Done,False
39,0.963,100,0,0,0,20160,Done,False
40,0.962,0,0,0,0,20160,Done,False
41,0.961,0,0,0,0,20160,Done,False
42,0.960,50,0,0,0,20160,Done,False
43,0.959,0,0,0,0,20160,Done,False
44,0.958,100,0,0,0,20160,Done,False
45,0.957,200,0,0,0,20160,Done,False
46,0.956,0,0,0,0,20160,Done,False
47,0.955,200,0,0,0,20160,Done,False
48,0.954,200,0,0,0,20160,Done,False
49,0.953,200,0,0,0,20160,Done,False
50,0.952,50,0,0,0,20160,Done,False
51,0.951,100,0,0,0,20160,Done,False
52,0.950,50,0,0,0,20160,Done,False
53,0.949,0,0,0,0,20160,Done,False
54,0.948,0,0,0,0,20160,Done,False
55,0.947,200,0,0,0,20160,Done,False
56,0.946,100,0,0,0,20160,Done,False
57,0.946,200,0,0,0,20160,Done,False
58,0.945,0,0,0,0,20160,Done,False
59,0.944,0,0,0,0,20160,Done,False
60,0.943,100,0,0,0,20160,Done,False
61,0.942,200,0,0,0,20160,Done,False
62,0.941,0,0,0,0,20160,Done,False
63,0.940,100,0,0,0,20160,Done,False
64,0.939,0,0,0,0,20160,Done,False
65,0.938,100,0,0,0,20160,Done,False
66,0.937,100,0,0,0,20160,Done,False
67,0.936,50,0,0,0,20160,Done,False
68,0.935,100,0,0,0,20160,Done,False
69,0.934,150,0,0,0,20160,Done,False
70,0.933,100,0,0,0,20160,Done,False
71,0.932,100,0,0,0,20160,Done,False
72,0.931,100,0,0,0,20160,Done,False
