Episode,Total_Reward,Marauders,End_Loop,Reason
1,-4.21,0,[13440],Timeout
2,335.79,2,[13440],Timeout
3,185.79,0,[13440],Timeout
4,35.79,0,[13440],Timeout
5,305.79,1,[13440],Timeout
6,635.79,4,[13440],Timeout
7,635.79,4,[13440],Timeout
8,185.79,1,[13440],Timeout
9,35.79,0,[13440],Timeout
10,185.79,0,[13440],Timeout
11,375.79,2,[13440],Timeout
12,75.79,0,[13440],Timeout
13,185.79,0,[13440],Timeout
14,185.79,1,[13440],Timeout
15,485.79,0,[13440],Timeout
16,75.79,0,[13440],Timeout
17,-4.21,0,[13440],Timeout
18,485.79,3,[13440],Timeout
19,335.79,0,[13440],Timeout
20,35.79,0,[13440],Timeout
21,75.79,0,[13440],Timeout
22,75.79,0,[13440],Timeout
23,35.79,0,[13440],Timeout
24,75.79,0,[13440],Timeout
25,635.79,4,[13440],Timeout
26,35.79,0,[13440],Timeout
27,-4.21,0,[13440],Timeout
28,-4.21,0,[13440],Timeout
29,35.79,0,[13440],Timeout
30,35.79,0,[13440],Timeout
31,185.79,1,[13440],Timeout
32,185.79,0,[13440],Timeout
33,75.79,0,[13440],Timeout
34,75.79,0,[13440],Timeout
35,75.79,0,[13440],Timeout
36,-4.21,0,[13440],Timeout
37,35.79,0,[13440],Timeout
38,35.79,0,[13440],Timeout
39,75.79,0,[13440],Timeout
40,75.79,0,[13440],Timeout
41,35.79,0,[13440],Timeout
42,185.79,1,[13440],Timeout
43,-4.21,0,[13440],Timeout
44,185.79,1,[13440],Timeout
45,185.79,1,[13440],Timeout
46,225.79,1,[13440],Timeout
47,35.79,0,[13440],Timeout
48,115.79,0,[13440],Timeout
49,75.79,0,[13440],Timeout
50,35.79,0,[13440],Timeout
51,-4.21,0,[13440],Timeout
52,185.79,1,[13440],Timeout
53,35.79,0,[13440],Timeout
54,35.79,0,[13440],Timeout
55,115.79,0,[13440],Timeout
56,35.79,0,[13440],Timeout
57,35.79,0,[13440],Timeout
58,75.79,0,[13440],Timeout
59,115.79,0,[13440],Timeout
60,185.79,0,[13440],Timeout
61,185.79,1,[13440],Timeout
62,-4.21,0,[13440],Timeout
63,75.79,0,[13440],Timeout
64,485.79,3,[13440],Timeout
65,185.79,1,[13440],Timeout
66,35.79,0,[13440],Timeout
67,75.79,0,[13440],Timeout
68,335.79,2,[13440],Timeout
69,35.79,0,[13440],Timeout
70,35.79,0,[13440],Timeout
71,35.79,0,[13440],Timeout
72,225.79,0,[13440],Timeout
73,-4.21,0,[13440],Timeout
74,185.79,0,[13440],Timeout
75,35.79,0,[13440],Timeout
76,35.79,0,[13440],Timeout
77,35.79,0,[13440],Timeout
78,-4.21,0,[13440],Timeout
79,485.79,0,[13440],Timeout
80,-4.21,0,[13440],Timeout
81,35.79,0,[13440],Timeout
82,-4.21,0,[13440],Timeout
83,-4.21,0,[13440],Timeout
84,75.79,0,[13440],Timeout
85,75.79,0,[13440],Timeout
86,335.79,0,[13440],Timeout
87,185.79,1,[13440],Timeout
88,35.79,0,[13440],Timeout
89,185.79,1,[13440],Timeout
90,635.79,0,[13440],Timeout
91,185.79,0,[13440],Timeout
92,335.79,2,[13440],Timeout
93,35.79,0,[13440],Timeout
94,35.79,0,[13440],Timeout
95,35.79,0,[13440],Timeout
96,35.79,0,[13440],Timeout
97,75.79,0,[13440],Timeout
98,525.79,0,[13440],Timeout
99,225.79,1,[13440],Timeout
100,115.79,0,[13440],Timeout
101,75.79,0,[13440],Timeout
102,-4.21,0,[13440],Timeout
