Episode,Total_Reward,Marauders,End_Loop,Reason
1,210.79,0,[13440],Timeout
2,250.79,0,[13440],Timeout
3,90.79,0,[13440],Timeout
4,110.79,0,[13440],Timeout
5,425.79,2,[13440],Timeout
6,270.79,1,[13440],Timeout
7,330.79,1,[13440],Timeout
8,220.79,1,[13440],Timeout
9,120.79,0,[13440],Timeout
10,90.79,0,[13440],Timeout
11,70.79,0,[13440],Timeout
12,170.79,0,[13440],Timeout
13,105.79,0,[13440],Timeout
14,90.79,0,[13440],Timeout
15,260.79,1,[13440],Timeout
16,610.79,3,[13440],Timeout
17,290.79,1,[13440],Timeout
18,140.79,0,[13440],Timeout
19,170.79,0,[13440],Timeout
20,560.79,3,[13440],Timeout
21,165.79,0,[13440],Timeout
22,590.79,3,[13440],Timeout
23,170.79,0,[13440],Timeout
24,220.79,1,[13440],Timeout
25,210.79,0,[13440],Timeout
26,280.79,1,[13440],Timeout
27,405.79,2,[13440],Timeout
28,470.79,2,[13440],Timeout
29,110.79,0,[13440],Timeout
30,70.79,0,[13440],Timeout
31,300.79,1,[13440],Timeout
32,630.79,3,[13440],Timeout
33,355.79,1,[13440],Timeout
34,350.79,1,[13440],Timeout
35,255.79,1,[13440],Timeout
36,140.79,0,[13440],Timeout
37,180.79,0,[13440],Timeout
38,260.79,1,[13440],Timeout
39,445.79,2,[13440],Timeout
40,210.79,0,[13440],Timeout
41,180.79,0,[13440],Timeout
42,335.79,1,[13440],Timeout
43,145.79,0,[13440],Timeout
44,165.79,0,[13440],Timeout
45,230.79,0,[13440],Timeout
46,180.79,0,[13440],Timeout
47,150.79,0,[13440],Timeout
48,235.79,1,[13440],Timeout
49,160.79,0,[13440],Timeout
50,530.79,2,[13440],Timeout
51,140.79,0,[13440],Timeout
52,290.79,1,[13440],Timeout
53,150.79,0,[13440],Timeout
54,70.79,0,[13440],Timeout
55,250.79,0,[13440],Timeout
56,110.79,0,[13440],Timeout
57,170.79,0,[13440],Timeout
58,70.79,0,[13440],Timeout
59,70.79,0,[13440],Timeout
60,275.79,1,[13440],Timeout
61,105.79,0,[13440],Timeout
62,180.79,0,[13440],Timeout
63,320.79,1,[13440],Timeout
64,160.79,0,[13440],Timeout
65,125.79,0,[13440],Timeout
66,580.79,3,[13440],Timeout
67,130.79,0,[13440],Timeout
68,921.56,5,[10976],Finished
69,90.79,0,[13440],Timeout
70,165.79,0,[13440],Timeout
71,120.79,0,[13440],Timeout
72,290.79,1,[13440],Timeout
73,540.79,3,[13440],Timeout
74,280.79,1,[13440],Timeout
75,70.79,0,[13440],Timeout
76,125.79,0,[13440],Timeout
77,105.79,0,[13440],Timeout
78,110.79,0,[13440],Timeout
79,140.79,0,[13440],Timeout
80,105.79,0,[13440],Timeout
81,110.79,0,[13440],Timeout
82,280.79,1,[13440],Timeout
83,120.79,0,[13440],Timeout
84,120.79,0,[13440],Timeout
85,270.79,1,[13440],Timeout
86,70.79,0,[13440],Timeout
87,125.79,0,[13440],Timeout
88,90.79,0,[13440],Timeout
89,105.79,0,[13440],Timeout
90,120.79,0,[13440],Timeout
91,300.79,1,[13440],Timeout
92,220.79,1,[13440],Timeout
93,90.79,0,[13440],Timeout
94,140.79,0,[13440],Timeout
95,145.79,0,[13440],Timeout
96,140.79,0,[13440],Timeout
97,70.79,0,[13440],Timeout
98,850.79,4,[13440],Timeout
99,150.79,0,[13440],Timeout
100,200.79,0,[13440],Timeout
