Game_Loop,Minerals,Vespene,Workers,Ideal,Action_ID
0.0,50,0,12,16,8
32.0,50,0,12,16,0
128.0,60,0,12,16,1
160.0,75,0,12,16,7
192.0,110,0,12,16,7
224.0,110,0,12,16,7
256.0,135,0,12,16,8
320.0,170,0,12,16,4
352.0,170,0,12,16,7
384.0,200,0,12,16,6
480.0,240,0,12,16,1
512.0,210,0,12,16,7
544.0,230,0,12,16,6
576.0,245,0,12,16,7
608.0,260,0,12,16,3
640.0,275,0,12,16,0
672.0,295,0,12,16,8
704.0,315,0,12,16,8
768.0,335,0,13,16,4
800.0,370,0,13,16,3
832.0,300,0,13,19,1
864.0,315,0,13,19,8
960.0,365,0,13,19,4
992.0,375,0,13,19,8
1056.0,415,0,13,19,0
1088.0,430,0,13,19,1
1120.0,440,0,13,19,0
1184.0,480,0,13,16,9
1216.0,495,0,13,16,9
1280.0,520,0,13,19,1
1312.0,495,0,13,19,4
1376.0,525,0,13,16,8
1408.0,545,4,13,16,5
1440.0,560,4,13,16,4
1472.0,575,4,13,16,1
1504.0,590,8,13,16,4
1536.0,610,8,13,16,0
1632.0,655,12,14,19,2
1664.0,670,16,14,19,7
1696.0,690,16,14,19,2
1728.0,610,16,14,19,8
1824.0,655,20,14,19,6
1856.0,670,24,14,19,0
1888.0,680,24,14,19,8
1952.0,720,28,14,19,8
1984.0,730,28,14,16,8
2048.0,770,32,14,19,6
2080.0,780,32,14,19,1
2112.0,795,36,14,19,5
2272.0,875,40,14,19,7
2304.0,885,44,14,19,1
2336.0,910,44,14,19,2
2368.0,920,48,14,19,2
2400.0,835,48,14,19,7
2432.0,845,48,14,19,8
2528.0,885,52,14,19,0
2560.0,915,56,14,19,0
2592.0,925,56,14,19,1
2624.0,935,56,14,19,0
2656.0,955,60,14,19,7
2688.0,970,60,14,19,5
2720.0,985,64,14,19,0
2752.0,990,64,14,19,0
2784.0,1010,64,14,19,0
2816.0,1030,68,14,19,5
2848.0,885,68,14,19,6
2880.0,905,68,14,19,3
