Episode,Total_Reward,Marauders,End_Loop,Reason
1,145.79,0,[13440],Timeout
2,205.79,0,[13440],Timeout
3,300.79,0,[13440],Timeout
4,410.79,2,[13440],Timeout
5,350.79,1,[13440],Timeout
6,125.79,0,[13440],Timeout
7,460.79,2,[13440],Timeout
8,120.79,0,[13440],Timeout
9,180.79,0,[13440],Timeout
10,260.79,1,[13440],Timeout
11,240.79,1,[13440],Timeout
12,360.79,1,[13440],Timeout
13,280.79,0,[13440],Timeout
14,240.79,1,[13440],Timeout
15,315.79,1,[13440],Timeout
16,130.79,0,[13440],Timeout
17,120.79,0,[13440],Timeout
18,295.79,0,[13440],Timeout
19,180.79,0,[13440],Timeout
20,425.79,2,[13440],Timeout
21,170.79,0,[13440],Timeout
22,340.79,0,[13440],Timeout
23,295.79,1,[13440],Timeout
24,370.79,2,[13440],Timeout
25,110.79,0,[13440],Timeout
26,430.79,1,[13440],Timeout
27,90.79,0,[13440],Timeout
28,310.79,1,[13440],Timeout
29,370.79,0,[13440],Timeout
30,255.79,1,[13440],Timeout
31,150.79,0,[13440],Timeout
32,110.79,0,[13440],Timeout
33,255.79,1,[13440],Timeout
34,140.79,0,[13440],Timeout
35,90.79,0,[13440],Timeout
36,710.79,4,[13440],Timeout
37,690.92,5,[13024],Finished
