Episode,Total_Reward,Marauders,End_Loop,Reason,Is_Bottom_Right
1,335,2,13440,Timeout,True
2,35,0,13440,Timeout,False
3,35,0,13440,Timeout,True
4,35,0,13440,Timeout,False
5,265,1,13440,Timeout,True
6,185,1,13440,Timeout,False
7,185,1,13440,Timeout,True
8,485,3,13440,Timeout,True
9,115,0,13440,Timeout,False
10,185,1,13440,Timeout,False
11,115,0,13440,Timeout,True
12,35,0,13440,Timeout,False
13,35,0,13440,Timeout,True
14,265,1,13440,Timeout,False
15,485,2,13440,Timeout,False
16,35,0,13440,Timeout,False
17,335,2,13440,Timeout,True
18,115,0,13440,Timeout,False
19,1286,5,12128,Target_Reached,True
20,-4,0,13440,Timeout,True
21,35,0,13440,Timeout,False
22,635,4,13440,Timeout,True
23,185,0,13440,Timeout,True
24,635,4,13440,Timeout,True
25,335,2,13440,Timeout,True
26,185,0,13440,Timeout,False
27,35,0,13440,Timeout,False
28,335,0,13440,Timeout,False
29,335,2,13440,Timeout,True
30,185,0,13440,Timeout,False
31,35,0,13440,Timeout,False
32,-4,0,13440,Timeout,False
33,185,0,13440,Timeout,False
34,185,0,13440,Timeout,True
35,185,1,13440,Timeout,False
36,-4,0,13440,Timeout,False
37,635,0,13440,Timeout,False
38,1286,5,10688,Target_Reached,False
39,1287,5,8960,Target_Reached,False
40,485,0,13440,Timeout,True
41,35,0,13440,Timeout,False
42,185,0,13440,Timeout,False
43,-4,0,13440,Timeout,False
44,35,0,13440,Timeout,True
45,335,2,13440,Timeout,True
46,635,0,13440,Timeout,False
47,35,0,13440,Timeout,True
48,35,0,13440,Timeout,True
49,225,0,13440,Timeout,False
50,335,2,13440,Timeout,True
51,1286,5,12384,Target_Reached,False
