Episode,Epsilon,Total_Reward,Marauders,End_Loop,Reason,Is_Bottom_Right
155,0.857,631,4,13440,Timeout,True
156,0.856,181,0,13440,Timeout,True
157,0.855,181,0,13440,Timeout,True
158,0.855,711,4,13440,Timeout,True
159,0.854,521,0,13440,Timeout,True
160,0.853,111,0,13440,Timeout,True
161,0.852,331,2,13440,Timeout,True
162,0.851,1322,5,12576,Target_Reached,False
163,0.850,331,2,13440,Timeout,True
164,0.850,331,0,13440,Timeout,True
165,0.849,481,3,13440,Timeout,True
166,0.848,31,0,13440,Timeout,False
167,0.847,301,0,13440,Timeout,False
168,0.846,1282,5,12672,Target_Reached,False
169,0.845,631,4,13440,Timeout,True
170,0.844,631,4,13440,Timeout,True
171,0.844,181,0,13440,Timeout,False
172,0.843,371,0,13440,Timeout,False
173,0.842,521,0,13440,Timeout,True
174,0.841,1282,5,12544,Target_Reached,True
175,0.840,181,0,13440,Timeout,False
176,0.839,481,0,13440,Timeout,False
177,0.839,331,2,13440,Timeout,True
178,0.838,631,4,13440,Timeout,True
179,0.837,561,3,13440,Timeout,True
180,0.836,371,2,13440,Timeout,True
181,0.835,31,0,13440,Timeout,False
182,0.834,111,0,13440,Timeout,False
183,0.834,331,0,13440,Timeout,False
184,0.833,331,2,13440,Timeout,True
185,0.832,181,0,13440,Timeout,True
186,0.831,221,1,13440,Timeout,False
187,0.830,181,1,13440,Timeout,False
188,0.829,1282,5,12576,Target_Reached,True
189,0.829,331,2,13440,Timeout,False
190,0.828,71,0,13440,Timeout,False
191,0.827,71,0,13440,Timeout,True
192,0.826,631,4,13440,Timeout,True
193,0.825,111,0,13440,Timeout,True
194,0.824,181,0,13440,Timeout,True
195,0.824,181,0,13440,Timeout,False
196,0.823,561,0,13440,Timeout,False
197,0.822,31,0,13440,Timeout,True
198,0.821,331,2,13440,Timeout,False
199,0.820,371,0,13440,Timeout,False
200,0.819,671,1,13440,Timeout,False
201,0.819,481,0,13440,Timeout,True
202,0.818,411,2,13440,Timeout,True
203,0.817,1322,5,12096,Target_Reached,True
204,0.816,631,0,13440,Timeout,False
205,0.815,561,2,13440,Timeout,True
206,0.815,711,0,13440,Timeout,True
207,0.814,481,0,13440,Timeout,True
208,0.813,671,0,13440,Timeout,False
209,0.812,111,0,13440,Timeout,False
210,0.811,261,1,13440,Timeout,True
211,0.810,31,0,13440,Timeout,False
212,0.810,1363,5,11120,Target_Reached,True
213,0.809,111,0,13440,Timeout,False
214,0.808,371,0,13440,Timeout,False
215,0.807,481,1,13440,Timeout,False
216,0.806,31,0,13440,Timeout,True
217,0.806,71,0,13440,Timeout,True
218,0.805,331,2,13440,Timeout,True
219,0.804,561,0,13440,Timeout,True
220,0.803,1282,5,11648,Target_Reached,True
221,0.802,481,2,13440,Timeout,False
222,0.802,1281,5,13328,Target_Reached,True
223,0.801,181,1,13440,Timeout,True
224,0.800,561,3,13440,Timeout,True
225,0.799,671,0,13440,Timeout,True
226,0.798,331,1,13440,Timeout,False
227,0.798,71,0,13440,Timeout,False
228,0.797,481,3,13440,Timeout,True
229,0.796,711,0,13440,Timeout,False
230,0.795,631,0,13440,Timeout,True
231,0.794,221,1,13440,Timeout,False
232,0.794,371,2,13440,Timeout,True
233,0.793,521,0,13440,Timeout,False
234,0.792,481,0,13440,Timeout,False
235,0.791,331,2,13440,Timeout,True
236,0.790,521,0,13440,Timeout,True
237,0.790,1281,5,12816,Target_Reached,True
238,0.789,71,0,13440,Timeout,False
239,0.788,331,0,13440,Timeout,False
240,0.787,31,0,13440,Timeout,False
241,0.787,71,0,13440,Timeout,False
242,0.786,331,0,13440,Timeout,False
243,0.785,31,0,13440,Timeout,False
244,0.784,31,0,13440,Timeout,False
245,0.783,1361,5,13072,Target_Reached,True
246,0.783,631,0,13440,Timeout,True
247,0.782,491,2,13440,Timeout,False
248,0.781,371,2,13440,Timeout,True
249,0.780,331,2,13440,Timeout,True
250,0.779,371,0,13440,Timeout,False
251,0.779,1282,5,11904,Target_Reached,False
252,0.778,181,0,13440,Timeout,True
253,0.777,331,2,13440,Timeout,True
254,0.776,631,0,13440,Timeout,True
255,0.776,331,0,13440,Timeout,False
256,0.775,261,1,13440,Timeout,False
257,0.774,31,0,13440,Timeout,False
258,0.773,221,0,13440,Timeout,False
259,0.772,1282,5,12768,Target_Reached,True
260,0.772,1282,5,11456,Target_Reached,True
261,0.771,71,0,13440,Timeout,False
262,0.770,521,3,13440,Timeout,True
263,0.769,411,2,13440,Timeout,False
264,0.769,331,0,13440,Timeout,False
265,0.768,371,0,13440,Timeout,True
266,0.767,331,0,13440,Timeout,True
267,0.766,221,0,13440,Timeout,False
268,0.766,331,0,13440,Timeout,True
269,0.765,221,1,13440,Timeout,False
270,0.764,1321,5,13072,Target_Reached,True
271,0.763,671,4,13440,Timeout,True
272,0.763,221,1,13440,Timeout,False
273,0.762,671,0,13440,Timeout,True
274,0.761,561,3,13440,Timeout,False
275,0.760,221,1,13440,Timeout,False
276,0.759,-8,0,13440,Timeout,False
277,0.759,671,4,13440,Timeout,True
278,0.758,331,0,13440,Timeout,True
279,0.757,1282,5,12480,Target_Reached,True
280,0.756,301,1,13440,Timeout,True
281,0.756,411,0,13440,Timeout,True
282,0.755,331,2,13440,Timeout,True
283,0.754,481,3,13440,Timeout,False
284,0.753,371,2,13440,Timeout,True
285,0.753,31,0,13440,Timeout,False
286,0.752,631,2,13440,Timeout,False
287,0.751,1282,5,12080,Target_Reached,False
288,0.750,711,4,13440,Timeout,True
289,0.750,481,0,13440,Timeout,False
290,0.749,181,0,13440,Timeout,True
291,0.748,181,0,13440,Timeout,False
292,0.747,671,4,13440,Timeout,True
293,0.747,181,0,13440,Timeout,False
294,0.746,331,0,13440,Timeout,False
295,0.745,481,3,13440,Timeout,False
296,0.744,1281,5,12864,Target_Reached,True
297,0.744,111,0,13440,Timeout,False
298,0.743,221,0,13440,Timeout,False
299,0.742,371,2,13440,Timeout,False
300,0.741,71,0,13440,Timeout,False
301,0.741,181,0,13440,Timeout,False
302,0.740,71,0,13440,Timeout,False
303,0.739,181,0,13440,Timeout,False
304,0.738,221,1,13440,Timeout,False
305,0.738,261,1,13440,Timeout,True
306,0.737,151,0,13440,Timeout,False
307,0.736,-8,0,13440,Timeout,True
308,0.736,71,0,13440,Timeout,False
309,0.735,181,1,13440,Timeout,True
310,0.734,371,0,13440,Timeout,False
311,0.733,631,1,13440,Timeout,False
312,0.733,1284,5,8400,Target_Reached,False
313,0.732,181,0,13440,Timeout,False
314,0.731,631,4,13440,Timeout,False
315,0.730,31,0,13440,Timeout,False
316,0.730,261,0,13440,Timeout,False
317,0.729,371,0,13440,Timeout,False
318,0.728,71,0,13440,Timeout,True
319,0.727,331,2,13440,Timeout,False
320,0.727,411,0,13440,Timeout,True
321,0.726,331,0,13440,Timeout,True
322,0.725,331,2,13440,Timeout,False
323,0.725,71,0,13440,Timeout,False
324,0.724,31,0,13440,Timeout,False
325,0.723,71,0,13440,Timeout,False
326,0.722,1281,5,13072,Target_Reached,True
327,0.722,631,0,13440,Timeout,True
328,0.721,181,1,13440,Timeout,False
329,0.720,371,0,13440,Timeout,True
330,0.720,671,4,13440,Timeout,True
331,0.719,371,0,13440,Timeout,True
332,0.718,71,0,13440,Timeout,False
333,0.717,71,0,13440,Timeout,False
334,0.717,1282,5,11744,Target_Reached,True
335,0.716,111,0,13440,Timeout,False
336,0.715,31,0,13440,Timeout,False
337,0.715,371,0,13440,Timeout,True
338,0.714,631,4,13440,Timeout,True
339,0.713,521,0,13440,Timeout,False
340,0.712,31,0,13440,Timeout,False
341,0.712,331,0,13440,Timeout,False
342,0.711,31,0,13440,Timeout,True
343,0.710,1401,5,13312,Target_Reached,True
344,0.710,261,0,13440,Timeout,False
345,0.709,631,4,13440,Timeout,True
346,0.708,301,1,13440,Timeout,False
347,0.707,71,0,13440,Timeout,False
348,0.707,71,0,13440,Timeout,False
349,0.706,631,4,13440,Timeout,True
350,0.705,371,0,13440,Timeout,True
351,0.705,631,3,13440,Timeout,True
352,0.704,561,3,13440,Timeout,True
353,0.703,261,0,13440,Timeout,False
354,0.702,481,3,13440,Timeout,True
355,0.702,561,3,13440,Timeout,True
356,0.701,561,3,13440,Timeout,True
357,0.700,711,4,13440,Timeout,True
358,0.700,481,3,13440,Timeout,True
359,0.699,221,0,13440,Timeout,False
360,0.698,181,1,13440,Timeout,True
361,0.698,261,1,13440,Timeout,True
362,0.697,1281,5,13136,Target_Reached,True
363,0.696,261,1,13440,Timeout,False
364,0.695,71,0,13440,Timeout,False
365,0.695,1284,5,8144,Target_Reached,False
366,0.694,331,2,13440,Timeout,True
367,0.693,561,2,13440,Timeout,True
368,0.693,1283,5,10624,Target_Reached,False
369,0.692,331,2,13440,Timeout,False
370,0.691,711,3,13440,Timeout,True
371,0.691,371,2,13440,Timeout,True
372,0.690,411,2,13440,Timeout,False
373,0.689,371,2,13440,Timeout,False
374,0.689,151,0,13440,Timeout,False
375,0.688,371,0,13440,Timeout,True
376,0.687,671,0,13440,Timeout,True
377,0.686,631,4,13440,Timeout,False
378,0.686,1282,5,12208,Target_Reached,True
379,0.685,181,1,13440,Timeout,False
380,0.684,411,2,13440,Timeout,True
381,0.684,481,0,13440,Timeout,True
382,0.683,481,3,13440,Timeout,False
383,0.682,71,0,13440,Timeout,False
384,0.682,631,4,13440,Timeout,True
385,0.681,411,2,13440,Timeout,True
386,0.680,181,0,13440,Timeout,False
387,0.680,631,0,13440,Timeout,False
388,0.679,181,0,13440,Timeout,False
389,0.678,181,0,13440,Timeout,False
390,0.678,1282,5,12368,Target_Reached,False
391,0.677,301,1,13440,Timeout,False
392,0.676,631,4,13440,Timeout,True
393,0.676,1213,5,10352,Target_Reached,True
394,0.675,561,3,13440,Timeout,True
395,0.674,31,0,13440,Timeout,False
396,0.674,1282,5,12432,Target_Reached,True
397,0.673,331,0,13440,Timeout,False
398,0.672,151,0,13440,Timeout,False
399,0.672,181,0,13440,Timeout,False
400,0.671,31,0,13440,Timeout,False
401,0.670,31,0,13440,Timeout,True
402,0.670,1362,5,11872,Target_Reached,True
403,0.669,631,4,13440,Timeout,False
404,0.668,1323,5,11184,Target_Reached,True
405,0.668,1282,5,12048,Target_Reached,True
406,0.667,331,0,13440,Timeout,False
407,0.666,181,1,13440,Timeout,True
408,0.666,261,1,13440,Timeout,True
409,0.665,181,1,13440,Timeout,False
410,0.664,1282,5,11840,Target_Reached,True
411,0.664,31,0,13440,Timeout,False
412,0.663,31,0,13440,Timeout,False
413,0.662,181,0,13440,Timeout,False
414,0.662,601,3,13440,Timeout,False
415,0.661,221,1,13440,Timeout,True
416,0.660,481,3,13440,Timeout,False
417,0.660,221,1,13440,Timeout,True
418,0.659,631,4,13440,Timeout,True
419,0.658,301,0,13440,Timeout,True
420,0.658,481,2,13440,Timeout,False
421,0.657,371,0,13440,Timeout,False
422,0.656,181,1,13440,Timeout,False
423,0.656,331,0,13440,Timeout,False
424,0.655,631,0,13440,Timeout,True
425,0.654,181,1,13440,Timeout,False
426,0.654,631,4,13440,Timeout,False
427,0.653,671,3,13440,Timeout,True
428,0.652,221,0,13440,Timeout,False
429,0.652,631,4,13440,Timeout,True
430,0.651,521,2,13440,Timeout,True
431,0.650,331,0,13440,Timeout,False
432,0.650,1361,5,12896,Target_Reached,True
433,0.649,631,4,13440,Timeout,True
434,0.648,31,0,13440,Timeout,False
435,0.648,481,0,13440,Timeout,False
