Episode,Epsilon,Total_Reward,Marauders,End_Loop,Reason,Is_Bottom_Right
1,1.000,371,0,13440,Timeout,False
2,0.999,331,2,13440,Timeout,False
3,0.998,1284,5,8912,Target_Reached,False
4,0.997,111,0,13440,Timeout,True
5,0.996,1282,5,11216,Target_Reached,True
6,0.995,711,3,13440,Timeout,True
7,0.994,1284,5,8400,Target_Reached,False
8,0.993,1284,5,8560,Target_Reached,True
9,0.992,1284,5,8512,Target_Reached,True
10,0.991,561,2,13440,Timeout,False
11,0.990,31,0,13440,Timeout,False
12,0.989,71,0,13440,Timeout,False
13,0.988,1281,5,13168,Target_Reached,True
14,0.987,31,0,13440,Timeout,False
15,0.986,561,0,13440,Timeout,True
16,0.985,1282,5,11952,Target_Reached,True
17,0.984,31,0,13440,Timeout,False
18,0.983,261,1,13440,Timeout,False
19,0.982,261,1,13440,Timeout,True
20,0.981,671,4,13440,Timeout,True
21,0.980,411,2,13440,Timeout,False
22,0.979,631,3,13440,Timeout,True
23,0.978,1282,5,12560,Target_Reached,True
24,0.977,1283,5,10496,Target_Reached,False
25,0.976,671,3,13440,Timeout,False
26,0.975,1282,5,11456,Target_Reached,True
27,0.974,31,0,13440,Timeout,False
28,0.973,1322,5,12096,Target_Reached,True
29,0.972,71,0,13440,Timeout,False
30,0.971,31,0,13440,Timeout,False
31,0.970,1282,5,12176,Target_Reached,True
32,0.969,71,0,13440,Timeout,False
33,0.968,631,4,13440,Timeout,True
34,0.968,371,2,13440,Timeout,False
35,0.967,481,1,13440,Timeout,False
36,0.966,31,0,13440,Timeout,False
37,0.965,711,4,13440,Timeout,True
38,0.964,631,0,13440,Timeout,True
39,0.963,1283,5,10928,Target_Reached,False
40,0.962,1283,5,10464,Target_Reached,True
41,0.961,1281,5,12880,Target_Reached,True
42,0.960,561,0,13440,Timeout,False
43,0.959,711,0,13440,Timeout,True
44,0.958,1362,5,12768,Target_Reached,True
45,0.957,481,3,13440,Timeout,True
46,0.956,671,0,13440,Timeout,True
47,0.955,671,4,13440,Timeout,True
48,0.954,711,3,13440,Timeout,True
49,0.953,411,0,13440,Timeout,True
50,0.952,1321,5,13136,Target_Reached,True
51,0.951,331,0,13440,Timeout,False
52,0.950,221,1,13440,Timeout,False
53,0.949,631,4,13440,Timeout,True
54,0.948,1282,5,12720,Target_Reached,True
55,0.947,331,2,13440,Timeout,True
56,0.946,631,4,13440,Timeout,True
57,0.946,601,1,13440,Timeout,False
58,0.945,481,3,13440,Timeout,False
59,0.944,631,0,13440,Timeout,True
60,0.943,1283,5,9776,Target_Reached,True
61,0.942,1322,5,11328,Target_Reached,True
62,0.941,1282,5,11312,Target_Reached,True
63,0.940,31,0,13440,Timeout,True
64,0.939,331,0,13440,Timeout,False
65,0.938,1283,5,9984,Target_Reached,False
66,0.937,711,0,13440,Timeout,True
67,0.936,1283,5,9760,Target_Reached,True
68,0.935,631,4,13440,Timeout,False
69,0.934,371,1,13440,Timeout,False
70,0.933,631,4,13440,Timeout,True
71,0.932,1322,5,11696,Target_Reached,True
72,0.931,1281,5,12832,Target_Reached,True
73,0.930,1283,5,10912,Target_Reached,True
74,0.930,31,0,13440,Timeout,False
75,0.929,1281,5,13072,Target_Reached,False
76,0.928,521,1,13440,Timeout,False
77,0.927,1441,5,13392,Target_Reached,True
78,0.926,1284,5,9520,Target_Reached,False
79,0.925,411,1,13440,Timeout,False
80,0.924,1362,5,11584,Target_Reached,True
81,0.923,631,0,13440,Timeout,False
82,0.922,1283,5,10976,Target_Reached,False
83,0.921,1282,5,12112,Target_Reached,True
84,0.920,1283,5,10208,Target_Reached,True
85,0.919,1282,5,11408,Target_Reached,True
86,0.918,671,4,13440,Timeout,True
87,0.918,371,0,13440,Timeout,False
88,0.917,371,0,13440,Timeout,False
89,0.916,371,0,13440,Timeout,False
90,0.915,481,3,13440,Timeout,False
91,0.914,1282,5,12320,Target_Reached,False
92,0.913,261,0,13440,Timeout,False
93,0.912,301,0,13440,Timeout,False
94,0.911,31,0,13440,Timeout,False
95,0.910,301,1,13440,Timeout,False
96,0.909,-8,0,13440,Timeout,False
97,0.908,1284,5,9136,Target_Reached,True
98,0.908,331,2,13440,Timeout,False
99,0.907,71,0,13440,Timeout,False
100,0.906,371,0,13440,Timeout,False
101,0.905,1283,5,9760,Target_Reached,False
102,0.904,481,2,13440,Timeout,False
103,0.903,1134,5,9392,Target_Reached,False
104,0.902,1284,5,8816,Target_Reached,True
105,0.901,261,1,13440,Timeout,False
106,0.900,1323,5,10544,Target_Reached,True
107,0.899,481,3,13440,Timeout,True
108,0.898,1283,5,11088,Target_Reached,True
109,0.898,411,0,13440,Timeout,False
110,0.897,1323,5,10000,Target_Reached,True
111,0.896,601,3,13440,Timeout,False
112,0.895,411,0,13440,Timeout,False
113,0.894,1281,5,13296,Target_Reached,True
114,0.893,71,0,13440,Timeout,False
115,0.892,561,3,13440,Timeout,False
116,0.891,1282,5,12224,Target_Reached,True
117,0.890,631,4,13440,Timeout,True
118,0.890,331,2,13440,Timeout,True
119,0.889,1283,5,11008,Target_Reached,False
120,0.888,1283,5,10240,Target_Reached,True
121,0.887,1283,5,10464,Target_Reached,True
122,0.886,1282,5,12752,Target_Reached,False
123,0.885,631,4,13440,Timeout,True
124,0.884,31,0,13440,Timeout,False
125,0.883,631,0,13440,Timeout,True
126,0.882,1282,5,12464,Target_Reached,True
127,0.882,631,4,13440,Timeout,False
128,0.881,561,3,13440,Timeout,True
129,0.880,631,0,13440,Timeout,False
130,0.879,411,2,13440,Timeout,False
131,0.878,1282,5,11968,Target_Reached,True
132,0.877,1282,5,12720,Target_Reached,True
133,0.876,1283,5,10016,Target_Reached,True
134,0.875,181,0,13440,Timeout,False
135,0.875,1283,5,10656,Target_Reached,True
136,0.874,561,2,13440,Timeout,False
137,0.873,711,3,13440,Timeout,True
138,0.872,371,1,13440,Timeout,False
139,0.871,1361,5,13104,Target_Reached,False
140,0.870,631,4,13440,Timeout,True
141,0.869,481,3,13440,Timeout,False
142,0.868,671,4,13440,Timeout,True
143,0.868,1284,5,9072,Target_Reached,True
144,0.867,631,4,13440,Timeout,True
145,0.866,1282,5,12304,Target_Reached,True
146,0.865,1284,5,8880,Target_Reached,True
147,0.864,331,0,13440,Timeout,False
148,0.863,221,1,13440,Timeout,False
149,0.862,1282,5,12400,Target_Reached,True
150,0.862,1361,5,12832,Target_Reached,True
151,0.861,521,3,13440,Timeout,False
152,0.860,181,0,13440,Timeout,False
153,0.859,1283,5,10736,Target_Reached,True
154,0.858,181,1,13440,Timeout,False
155,0.857,481,3,13440,Timeout,True
156,0.856,711,4,13440,Timeout,False
157,0.855,1282,5,12304,Target_Reached,False
158,0.855,671,0,13440,Timeout,False
159,0.854,31,0,13440,Timeout,False
160,0.853,1282,5,12144,Target_Reached,True
161,0.852,1284,5,8768,Target_Reached,False
162,0.851,1283,5,10240,Target_Reached,True
163,0.850,1281,5,13104,Target_Reached,True
164,0.850,221,0,13440,Timeout,False
165,0.849,371,0,13440,Timeout,False
166,0.848,601,3,13440,Timeout,False
167,0.847,301,0,13440,Timeout,True
168,0.846,481,3,13440,Timeout,False
169,0.845,1284,5,8944,Target_Reached,True
170,0.844,221,1,13440,Timeout,True
171,0.844,1211,5,12848,Target_Reached,True
172,0.843,481,1,13440,Timeout,False
173,0.842,1283,5,9776,Target_Reached,True
174,0.841,481,2,13440,Timeout,False
175,0.840,1284,5,8064,Target_Reached,False
176,0.839,1365,5,7744,Target_Reached,False
177,0.839,521,0,13440,Timeout,False
178,0.838,1282,5,12752,Target_Reached,True
179,0.837,481,3,13440,Timeout,True
180,0.836,221,1,13440,Timeout,False
181,0.835,71,0,13440,Timeout,False
182,0.834,481,3,13440,Timeout,False
183,0.834,221,1,13440,Timeout,False
184,0.833,371,1,13440,Timeout,False
185,0.832,1284,5,8144,Target_Reached,True
186,0.831,71,0,13440,Timeout,False
