Episode,Epsilon,Total_Reward,Marauders,End_Loop,Reason,Is_Bottom_Right
1,1.000,631,0,13440,Timeout,True
2,0.999,331,0,13440,Timeout,False
3,0.998,1322,5,12720,Target_Reached,True
4,0.997,1281,5,13024,Target_Reached,False
5,0.996,631,0,13440,Timeout,True
6,0.995,631,0,13440,Timeout,False
7,0.994,711,4,13440,Timeout,True
8,0.993,481,0,13440,Timeout,False
9,0.992,-8,0,13440,Timeout,False
10,0.991,481,3,13440,Timeout,True
11,0.990,481,3,13440,Timeout,True
12,0.989,221,1,13440,Timeout,False
13,0.988,481,0,13440,Timeout,True
14,0.987,31,0,13440,Timeout,False
15,0.986,111,0,13440,Timeout,False
16,0.985,331,1,13440,Timeout,False
17,0.984,1283,5,10016,Target_Reached,True
18,0.983,371,2,13440,Timeout,True
19,0.982,711,4,13440,Timeout,True
20,0.981,1282,5,12336,Target_Reached,True
21,0.980,371,2,13440,Timeout,False
22,0.979,261,0,13440,Timeout,False
23,0.978,111,0,13440,Timeout,False
24,0.977,371,0,13440,Timeout,False
25,0.976,481,3,13440,Timeout,True
26,0.975,1283,5,9744,Target_Reached,False
27,0.974,1363,5,9968,Target_Reached,True
28,0.973,631,4,13440,Timeout,True
29,0.972,1361,5,13344,Target_Reached,True
30,0.971,181,1,13440,Timeout,False
31,0.970,671,4,13440,Timeout,True
32,0.969,1281,5,13312,Target_Reached,True
33,0.968,371,0,13440,Timeout,False
34,0.968,631,4,13440,Timeout,True
35,0.967,631,1,13440,Timeout,False
36,0.966,1284,5,9504,Target_Reached,True
37,0.965,671,4,13440,Timeout,True
38,0.964,1323,5,10640,Target_Reached,True
39,0.963,711,3,13440,Timeout,True
40,0.962,1283,5,9920,Target_Reached,True
41,0.961,221,0,13440,Timeout,False
42,0.960,371,2,13440,Timeout,True
43,0.959,481,3,13440,Timeout,False
44,0.958,1361,5,13168,Target_Reached,True
45,0.957,1282,5,11504,Target_Reached,True
46,0.956,371,0,13440,Timeout,False
47,0.955,711,0,13440,Timeout,True
48,0.954,631,4,13440,Timeout,True
