Episode,Total_Reward,Marauders,End_Loop,Reason
1,220.79,1,[13440],Timeout
2,85.79,0,[13440],Timeout
3,280.79,1,[13440],Timeout
4,290.79,1,[13440],Timeout
5,145.79,0,[13440],Timeout
6,150.79,0,[13440],Timeout
7,125.79,0,[13440],Timeout
8,275.79,1,[13440],Timeout
9,520.79,3,[13440],Timeout
10,470.79,2,[13440],Timeout
11,180.79,0,[13440],Timeout
12,125.79,0,[13440],Timeout
13,240.79,1,[13440],Timeout
14,90.79,0,[13440],Timeout
15,105.79,0,[13440],Timeout
16,145.79,0,[13440],Timeout
17,180.79,0,[13440],Timeout
18,180.79,0,[13440],Timeout
19,120.79,0,[13440],Timeout
20,240.79,1,[13440],Timeout
21,170.79,0,[13440],Timeout
22,130.79,0,[13440],Timeout
23,140.79,0,[13440],Timeout
24,70.79,0,[13440],Timeout
25,125.79,0,[13440],Timeout
26,130.79,0,[13440],Timeout
27,275.79,1,[13440],Timeout
28,125.79,0,[13440],Timeout
29,125.79,0,[13440],Timeout
30,185.79,0,[13440],Timeout
31,160.79,0,[13440],Timeout
32,145.79,0,[13440],Timeout
33,200.79,0,[13440],Timeout
34,330.79,1,[13440],Timeout
35,535.79,3,[13440],Timeout
36,330.79,1,[13440],Timeout
37,130.79,0,[13440],Timeout
38,330.79,1,[13440],Timeout
39,120.79,0,[13440],Timeout
40,105.79,0,[13440],Timeout
41,140.79,0,[13440],Timeout
42,90.79,0,[13440],Timeout
43,440.79,2,[13440],Timeout
44,160.79,0,[13440],Timeout
45,290.79,1,[13440],Timeout
46,280.79,1,[13440],Timeout
