Episode,Total_Reward,Marauders,End_Loop,Reason
1,465.79,2,[13440],Timeout
2,360.79,1,[13440],Timeout
3,600.79,3,[13440],Timeout
4,360.79,1,[13440],Timeout
5,405.79,2,[13440],Timeout
6,205.79,0,[13440],Timeout
7,370.79,2,[13440],Timeout
8,360.79,1,[13440],Timeout
9,425.79,2,[13440],Timeout
10,485.79,2,[13440],Timeout
11,155.79,0,[13440],Timeout
12,45.79,0,[13440],Timeout
13,330.79,1,[13440],Timeout
14,560.79,3,[13440],Timeout
15,425.79,2,[13440],Timeout
16,90.79,0,[13440],Timeout
17,906.15,5,[12288],Finished
18,520.79,3,[13440],Timeout
19,390.79,2,[13440],Timeout
20,520.79,3,[13440],Timeout
21,145.79,0,[13440],Timeout
22,160.79,0,[13440],Timeout
23,140.79,0,[13440],Timeout
24,405.79,2,[13440],Timeout
25,205.79,0,[13440],Timeout
26,90.79,0,[13440],Timeout
27,300.79,1,[13440],Timeout
28,290.79,0,[13440],Timeout
29,165.79,0,[13440],Timeout
30,90.79,0,[13440],Timeout
31,380.79,1,[13440],Timeout
32,355.79,1,[13440],Timeout
33,110.79,0,[13440],Timeout
34,145.79,0,[13440],Timeout
35,165.79,0,[13440],Timeout
36,110.79,0,[13440],Timeout
37,110.79,0,[13440],Timeout
38,125.79,0,[13440],Timeout
39,105.79,0,[13440],Timeout
40,190.79,0,[13440],Timeout
41,85.79,0,[13440],Timeout
42,110.79,0,[13440],Timeout
43,105.79,0,[13440],Timeout
44,125.79,0,[13440],Timeout
45,140.79,0,[13440],Timeout
46,100.79,0,[13440],Timeout
47,130.79,0,[13440],Timeout
48,125.79,0,[13440],Timeout
49,85.79,0,[13440],Timeout
50,165.79,0,[13440],Timeout
51,105.79,0,[13440],Timeout
52,70.79,0,[13440],Timeout
53,255.79,1,[13440],Timeout
54,155.79,0,[13440],Timeout
55,50.79,0,[13440],Timeout
56,250.79,0,[13440],Timeout
57,275.79,1,[13440],Timeout
58,165.79,0,[13440],Timeout
59,110.79,0,[13440],Timeout
60,110.79,0,[13440],Timeout
61,105.79,0,[13440],Timeout
62,100.79,0,[13440],Timeout
63,70.79,0,[13440],Timeout
64,145.79,0,[13440],Timeout
65,125.79,0,[13440],Timeout
66,85.79,0,[13440],Timeout
67,210.79,0,[13440],Timeout
68,70.79,0,[13440],Timeout
69,105.79,0,[13440],Timeout
70,150.79,0,[13440],Timeout
71,110.79,0,[13440],Timeout
72,45.79,0,[13440],Timeout
73,125.79,0,[13440],Timeout
74,105.79,0,[13440],Timeout
75,190.79,0,[13440],Timeout
76,65.79,0,[13440],Timeout
77,235.79,1,[13440],Timeout
78,155.79,0,[13440],Timeout
79,255.79,1,[13440],Timeout
80,295.79,1,[13440],Timeout
81,140.79,0,[13440],Timeout
82,30.79,0,[13440],Timeout
83,60.79,0,[13440],Timeout
84,105.79,0,[13440],Timeout
85,65.79,0,[13440],Timeout
86,70.79,0,[13440],Timeout
87,100.79,0,[13440],Timeout
88,105.79,0,[13440],Timeout
89,70.79,0,[13440],Timeout
90,30.79,0,[13440],Timeout
91,65.79,0,[13440],Timeout
92,170.79,0,[13440],Timeout
93,90.79,0,[13440],Timeout
94,145.79,0,[13440],Timeout
95,255.79,1,[13440],Timeout
96,90.79,0,[13440],Timeout
97,80.79,0,[13440],Timeout
98,70.79,0,[13440],Timeout
99,310.79,0,[13440],Timeout
100,325.79,0,[13440],Timeout
