Episode,Timestamp,Reward,PolicyLoss,ValueLoss,Loss,Entropy,LR
31,14:04:44,93.61,-0.000000,11.276093,11.226898,0.9839,9.99e-05
32,14:04:50,103.98,-0.000000,16.877018,16.827404,0.9923,9.99e-05
33,14:04:58,126.67,-0.000000,29.560738,29.510361,1.0075,9.99e-05
34,14:05:04,106.96,0.000000,13.771066,13.721614,0.9890,9.99e-05
35,14:05:10,103.61,0.000000,18.507681,18.457640,1.0008,9.99e-05
36,14:05:16,94.98,0.000000,19.006224,18.957369,0.9771,9.99e-05
37,14:05:21,103.48,0.000000,18.307341,18.257301,1.0008,9.99e-05
38,14:05:27,103.56,0.000000,13.678432,13.628734,0.9940,9.99e-05
39,14:05:33,116.62,0.000000,27.444227,27.395123,0.9821,9.99e-05
40,14:05:38,101.8,0.000000,23.509203,23.459333,0.9974,9.99e-05
41,14:05:48,74.93,-0.000000,14.838655,14.789714,0.9788,9.99e-05
42,14:05:55,95.42,-0.000000,15.670280,15.620831,0.9890,9.99e-05
43,14:06:01,103.39,0.000000,19.449764,19.400234,0.9906,9.99e-05
44,14:06:07,94.85,-0.000000,19.023294,18.973171,1.0025,9.99e-05
45,14:06:13,104.53,-0.000000,18.578396,18.529207,0.9838,9.99e-05
46,14:06:20,102.57,-0.000000,21.135653,21.085865,0.9957,9.99e-05
47,14:06:26,80.45,0.000000,16.427645,16.377607,1.0008,9.99e-05
48,14:06:32,96.54,0.000000,22.888708,22.839094,0.9923,9.99e-05
49,14:06:38,62.86,-0.000000,14.634926,14.584378,1.0110,9.99e-05
50,14:06:44,113.01,0.000000,22.325178,22.275730,0.9890,9.99e-05
51,14:06:54,72.84,-0.000000,13.661789,13.612005,0.9957,9.98e-05
52,14:07:00,105.1,-0.000000,16.299095,16.248888,1.0041,9.98e-05
53,14:07:06,104.25,0.000000,24.931345,24.881472,0.9975,9.98e-05
54,14:07:12,82.39,0.000000,15.098104,15.048656,0.9890,9.98e-05
55,14:07:18,78.01,-0.000000,17.263117,17.213587,0.9906,9.98e-05
56,14:07:25,73.38,0.000000,12.288896,12.238855,1.0008,9.98e-05
57,14:07:31,84.42,-0.000000,22.332808,22.283194,0.9923,9.98e-05
58,14:07:37,93.41,0.000000,12.484507,12.434299,1.0042,9.98e-05
59,14:07:48,135.07,0.000000,26.075962,26.026009,0.9991,9.98e-05
60,14:07:56,139.19,0.000000,32.121948,32.072334,0.9923,9.98e-05
61,14:08:05,116.6,0.000000,19.720049,19.670683,0.9873,9.98e-05
62,14:08:11,94.5,-0.000000,15.769265,15.720156,0.9822,9.98e-05
63,14:08:17,75.32,0.000000,11.883396,11.833696,0.9940,9.98e-05
64,14:08:23,94.5,0.000000,19.958546,19.909607,0.9788,9.98e-05
65,14:08:28,94.89,0.000000,13.057791,13.008342,0.9890,9.98e-05
66,14:08:34,115.62,0.000000,17.523716,17.473928,0.9958,9.98e-05
67,14:08:39,115.07,0.000000,22.044624,21.995262,0.9872,9.98e-05
68,14:08:45,96.02,-0.000000,19.111582,19.061968,0.9923,9.98e-05
69,14:08:51,60.8,0.000000,11.378790,11.330185,0.9721,9.98e-05
70,14:08:56,96.56,0.000000,18.931364,18.881155,1.0042,9.98e-05
71,14:09:03,61.33,0.000000,12.272198,12.222325,0.9974,9.98e-05
72,14:09:09,102.57,-0.000000,19.201807,19.152449,0.9872,9.98e-05
73,14:09:14,81.98,0.000000,13.342322,13.292790,0.9906,9.98e-05
