Episode,Timestamp,Reward,PolicyLoss,ValueLoss,Loss,Entropy
1,23:25:23,14.37,-1.8699497061902548e-08,53.461734771728516,26.571290969848633,15.957722663879395
2,23:25:24,27.35,2.4396319986408344e-07,65.90235137939453,32.7938232421875,15.735157012939453
3,23:25:26,37.06,-1.34953921815395e-07,112.36932373046875,56.02756881713867,15.709466934204102
4,23:25:28,44.07,-0.0,90.0966796875,44.893917083740234,15.442285537719727
5,23:25:30,32.07,-3.2465507615597744e-07,52.07002639770508,25.884113311767578,15.089975357055664
6,23:25:32,59.38,1.7660635620586618e-08,317.4840087890625,158.58355712890625,15.845033645629883
7,23:25:36,42.88,1.0864644650609989e-07,82.21345520019531,40.955684661865234,15.104227066040039
8,23:25:41,49.58,-4.9327979922964005e-08,147.6484375,73.66971588134766,15.450652122497559
9,23:25:45,44.46,-6.93077240043749e-08,86.42652893066406,43.05552673339844,15.773635864257812
10,23:25:47,50.59,2.2351741790771484e-08,108.48948669433594,54.088130950927734,15.661199569702148
11,23:26:03,37.79,-1.7993855294662353e-08,105.30531311035156,52.502525329589844,15.013040542602539
12,23:26:05,45.31,1.7780368466446816e-07,175.489013671875,87.59162139892578,15.28868293762207
13,23:26:08,23.11,-0.0,75.2279281616211,37.46529769897461,14.866739273071289
14,23:26:09,19.91,-8.292820297128856e-08,62.00880432128906,30.85672950744629,14.7672758102417
15,23:26:11,33.95,-2.8049245770489506e-07,62.839237213134766,31.268146514892578,15.147293090820312
16,23:26:14,35.48,4.3642722857839544e-07,71.89430236816406,35.79825973510742,14.889253616333008
17,23:26:16,34.28,-3.973643103449831e-08,66.18145751953125,32.94266128540039,14.806840896606445
18,23:26:18,38.85,-1.6232753807798872e-07,99.20958709716797,49.45853805541992,14.625542640686035
19,23:26:20,37.47,2.7509837963179962e-08,106.27233123779297,52.98435592651367,15.181035995483398
20,23:26:22,7.99,3.178914482759865e-07,82.58486938476562,41.14451599121094,14.791946411132812
21,23:26:30,24.51,-5.298190686175985e-08,53.053428649902344,26.372182846069336,15.45321273803711
22,23:26:33,43.09,2.6490953430879927e-08,96.81523895263672,48.26418685913086,14.343146324157715
23,23:26:34,32.78,-3.693150745220919e-07,129.78121948242188,64.74964141845703,14.097139358520508
24,23:26:36,34.89,-4.1827821206652516e-08,117.94590759277344,58.82634735107422,14.660530090332031
25,23:26:37,29.14,5.685366204488673e-07,53.495479583740234,26.603172302246094,14.45671272277832
26,23:26:39,40.79,-1.3004650156744901e-07,129.26898193359375,64.48712921142578,14.736139297485352
27,23:26:40,15.81,-8.669766771163268e-08,91.50912475585938,45.61191177368164,14.265216827392578
28,23:26:45,95.2,3.2301869623552193e-07,105.68018341064453,52.69136047363281,14.87296199798584
29,23:26:47,35.89,-1.0357528168469798e-07,140.48291015625,70.09860229492188,14.285361289978027
30,23:26:48,37.81,4.058188451949718e-08,103.3906021118164,51.5577392578125,13.756305694580078
31,23:26:56,40.0,-1.1003935185271985e-07,119.02758026123047,59.362998962402344,15.079212188720703
32,23:26:58,59.31,-1.9868215517249155e-08,135.3296661376953,67.52376556396484,14.106863021850586
33,23:27:01,42.68,-8.414773589038305e-08,129.0405731201172,64.38086700439453,13.942298889160156
34,23:27:02,18.98,-2.2706531765948057e-08,102.69583892822266,51.20894241333008,13.89766788482666
35,23:27:03,0.21,-2.430035692668753e-07,123.37232971191406,61.54730987548828,13.885641098022461
36,23:27:05,38.83,3.725290298461914e-08,99.627685546875,49.67259979248047,14.124144554138184
37,23:27:07,34.07,-2.7247838829680404e-07,96.02699279785156,47.86864471435547,14.485345840454102
38,23:27:08,35.51,1.0086939994380373e-07,88.43975830078125,44.07653045654297,14.334863662719727
39,23:27:10,26.99,1.2362444579139265e-07,76.0356216430664,37.88113784790039,13.667243003845215
40,23:27:11,39.59,1.0366025549046753e-07,65.47077178955078,32.59672927856445,13.865642547607422
41,23:27:19,51.27,1.5326908453516808e-07,96.70071411132812,48.217586517333984,13.277021408081055
42,23:27:20,37.88,5.165736070011917e-07,71.73197937011719,35.737953186035156,12.803579330444336
43,23:27:22,40.2,5.739706665508493e-08,144.20767211914062,71.97166442871094,13.216781616210938
44,23:27:24,23.52,-8.292820297128856e-08,91.20490264892578,45.47144317626953,13.100818634033203
45,23:27:25,36.96,1.8339891028062993e-07,158.52096557617188,79.13025665283203,13.022308349609375
46,23:27:26,12.92,1.4970468953379168e-07,111.72224426269531,55.73005294799805,13.106764793395996
47,23:27:28,17.46,2.3841858265427618e-08,101.2494888305664,50.4931526184082,13.159252166748047
48,23:27:29,20.35,4.146410148564428e-08,55.1578369140625,27.448583602905273,13.033473014831543
49,23:27:30,7.32,2.497718583072128e-07,133.95787048339844,66.8411636352539,13.777145385742188
50,23:27:32,46.99,1.4901161193847656e-08,67.26467895507812,33.50013732910156,13.220331192016602
51,23:27:44,35.45,4.768371297814156e-08,127.85734558105469,63.790462493896484,13.821062088012695
52,23:27:46,27.1,-4.6624077754131577e-07,83.86345672607422,41.79765319824219,13.407527923583984
53,23:27:48,50.38,1.1502650920647284e-07,84.01994323730469,41.87525939941406,13.471296310424805
54,23:27:50,38.03,-4.503462136540293e-08,82.32720947265625,41.03360366821289,13.000101089477539
55,23:27:52,37.44,2.9563904035967425e-07,68.9283218383789,34.335792541503906,12.83690357208252
56,23:27:53,44.27,-8.996927647331177e-09,127.33197021484375,63.53282165527344,13.316352844238281
57,23:27:55,45.0,-6.465588597848182e-08,126.2231216430664,62.97932052612305,13.224008560180664
58,23:27:56,26.45,5.418604231977042e-08,97.31061553955078,48.52902603149414,12.628030776977539
59,23:27:57,38.92,8.116376903899436e-08,120.83172607421875,60.28932189941406,12.654084205627441
60,23:27:59,17.43,1.9256886218954605e-07,81.78414154052734,40.75957107543945,13.249913215637207
61,23:28:09,28.73,-1.7445260880322166e-07,81.08170318603516,40.40960693359375,13.124576568603516
62,23:28:12,17.45,-1.7117231720931159e-07,105.2995834350586,52.52105712890625,12.873506546020508
63,23:28:14,27.51,-2.661416829141672e-07,61.54496765136719,30.640533447265625,13.195085525512695
64,23:28:17,30.44,2.980232238769531e-07,96.2633285522461,47.99593734741211,13.572721481323242
65,23:28:20,44.01,2.107450001176403e-07,126.96548461914062,63.35389709472656,12.884468078613281
66,23:28:23,27.81,-2.487846018084383e-07,83.33414459228516,41.532283782958984,13.478852272033691
67,23:28:25,14.12,2.883201375425415e-07,128.61012268066406,64.17546081542969,12.959779739379883
68,23:28:28,60.39,1.341104507446289e-07,129.4005889892578,64.56500244140625,13.529409408569336
69,23:28:31,37.92,-4.0871756823435135e-07,94.89566802978516,47.3172607421875,13.057195663452148
70,23:28:33,29.84,-2.2587023806863726e-07,68.30254364013672,34.02546691894531,12.580418586730957
71,23:28:48,49.88,4.577636616431846e-07,219.2196807861328,109.48543548583984,12.440399169921875
72,23:28:51,35.49,1.6047404471919435e-07,98.28805541992188,49.01938247680664,12.464530944824219
73,23:28:54,27.85,-1.1353265705338345e-07,77.92251586914062,38.82822036743164,13.303698539733887
74,23:28:56,15.42,-2.3197483756121073e-07,63.14188003540039,31.44539451599121,12.55455493927002
75,23:28:58,41.39,1.2622160738828825e-07,98.93794250488281,49.34020233154297,12.877073287963867
76,23:29:02,47.57,2.676980557225761e-07,139.35157775878906,69.54798126220703,12.780471801757812
77,23:29:04,27.58,2.119276309997531e-08,38.83462142944336,19.282028198242188,13.528255462646484
78,23:29:07,17.39,-2.661416829141672e-07,82.8393325805664,41.28730010986328,13.236536026000977
79,23:29:10,33.06,-7.03530176338063e-08,85.70184326171875,42.71674346923828,13.417869567871094
80,23:29:12,38.48,-2.487846018084383e-07,151.8282928466797,75.78971862792969,12.44240665435791
81,23:29:22,9.4,-7.71354251583034e-08,78.04124450683594,38.89626693725586,12.435613632202148
82,23:29:24,30.91,4.4151590827823384e-08,105.78133392333984,52.75756072998047,13.31062126159668
83,23:29:26,16.42,-0.0,55.8394889831543,27.79576301574707,12.398082733154297
84,23:29:27,37.49,-5.960464477539063e-08,73.64907836914062,36.693206787109375,13.133051872253418
85,23:29:29,7.94,-8.34465012644614e-08,89.17448425292969,44.45829772949219,12.894336700439453
86,23:29:32,35.34,2.2138868871479644e-07,113.85728454589844,56.80335998535156,12.52813720703125
87,23:29:34,35.19,1.2174565711120522e-07,61.00314712524414,30.372394561767578,12.9179105758667
88,23:29:36,18.03,1.222659449240382e-07,34.50982666015625,17.125944137573242,12.896984100341797
89,23:29:39,19.78,-2.167441692790817e-08,26.649118423461914,13.194445610046387,13.011404037475586
90,23:29:41,0.31,-1.3113022134803032e-07,123.4300765991211,61.58960723876953,12.543203353881836
91,23:29:57,37.96,-1.6178404393940582e-07,44.76441192626953,22.259464263916016,12.274236679077148
92,23:29:59,47.91,-1.8699497061902548e-08,189.5136260986328,94.63037872314453,12.643709182739258
93,23:30:02,9.11,-0.0,69.14059448242188,34.439720153808594,13.057882308959961
94,23:30:05,36.49,7.947286206899662e-08,56.13572311401367,27.942733764648438,12.512828826904297
95,23:30:07,16.5,8.477105239990124e-08,70.59043884277344,35.16873550415039,12.648333549499512
96,23:30:10,43.88,-1.0284723117592875e-07,77.64730072021484,38.69635772705078,12.729168891906738
97,23:30:12,16.39,4.058188451949718e-08,72.23919677734375,35.99784469604492,12.175210952758789
98,23:30:16,50.82,1.9678995499816665e-07,93.80165100097656,46.76470947265625,13.611722946166992
99,23:30:19,45.07,-2.2541392752373213e-07,105.85039520263672,52.7979621887207,12.723371505737305
100,23:30:21,39.54,1.9276394880307635e-07,54.784759521484375,27.27028465270996,12.209491729736328
101,23:30:31,15.38,1.330708414570836e-07,91.2308578491211,45.48358917236328,13.18384838104248
102,23:30:35,45.45,-3.0275376872168636e-08,122.64698791503906,61.19601821899414,12.747486114501953
103,23:30:38,43.25,-1.613910427522569e-07,74.5743408203125,37.15559005737305,13.158034324645996
104,23:30:40,6.98,-3.7645037309630425e-08,113.07286071777344,56.41477966308594,12.165098190307617
105,23:30:43,39.53,7.947286206899662e-08,94.95384979248047,47.35104751586914,12.587602615356445
106,23:30:46,35.98,-1.6731128482661006e-08,90.45684051513672,45.104759216308594,12.365952491760254
107,23:30:49,46.02,1.341104507446289e-07,81.54378509521484,40.639530181884766,13.236333847045898
108,23:30:52,38.96,1.1444091541079615e-07,54.719451904296875,27.228580474853516,13.11457633972168
109,23:30:54,25.94,-3.109807522605479e-08,89.69110870361328,44.72396469116211,12.159103393554688
110,23:30:57,37.79,1.5294776289920264e-07,73.13499450683594,36.4389762878418,12.852129936218262
111,23:31:08,23.82,2.627469939397997e-07,94.17162322998047,46.96651840209961,11.929329872131348
112,23:31:10,16.94,7.208003438563537e-08,95.87516784667969,47.8182373046875,11.934516906738281
113,23:31:12,27.38,3.011602984770434e-07,66.4149398803711,33.08540725708008,12.20610523223877
114,23:31:15,44.95,-3.973643103449831e-08,149.30357360839844,74.532470703125,11.931631088256836
115,23:31:18,33.3,7.477673591438361e-08,75.76792907714844,37.7632942199707,12.067136764526367
116,23:31:20,26.8,4.238552619995062e-08,54.9245719909668,27.339099884033203,12.318650245666504
117,23:31:22,39.4,2.6009300313489803e-07,138.0784454345703,68.91453552246094,12.468940734863281
118,23:31:25,45.95,-2.8176742716823355e-07,90.90763854980469,45.327571868896484,12.624601364135742
119,23:31:27,19.37,-5.298190686175985e-08,34.177001953125,16.96819305419922,12.030858993530273
120,23:31:29,17.34,4.238552619995062e-08,80.11691284179688,39.92535400390625,13.310100555419922
121,23:31:44,57.93,-0.0,235.3076934814453,117.52468872070312,12.916086196899414
122,23:31:46,44.96,-1.330708414570836e-07,133.99118041992188,66.87594604492188,11.964054107666016
123,23:31:49,40.12,-5.398156588398706e-08,92.94127655029297,46.3385124206543,13.212692260742188
124,23:31:52,54.12,-8.414773589038305e-08,89.50467681884766,44.6311149597168,12.122369766235352
125,23:31:56,46.61,-1.6212463549436507e-07,69.32210540771484,34.534446716308594,12.66073226928711
126,23:31:58,32.47,1.885170206605835e-07,29.922544479370117,14.8374662399292,12.380613327026367
127,23:32:01,27.83,-4.995437166144256e-07,49.46025085449219,24.61093521118164,11.919069290161133
128,23:32:03,19.36,-2.7912417976949655e-07,36.3309326171875,18.036039352416992,12.942712783813477
129,23:32:06,58.23,1.7158913578896318e-07,90.02289581298828,44.88359451293945,12.785249710083008
130,23:32:09,33.1,5.6098492962064483e-08,61.11841583251953,30.432424545288086,12.678394317626953
131,23:32:20,17.8,1.248859291536064e-07,40.642608642578125,20.20229148864746,11.901219367980957
132,23:32:23,37.9,-3.6006071013616747e-07,36.58039474487305,18.174028396606445,11.61685562133789
133,23:32:25,45.03,2.501440690139134e-07,55.2810173034668,27.52187156677246,11.863670349121094
134,23:32:27,38.37,9.16994569166718e-09,79.25640869140625,39.51018524169922,11.801788330078125
135,23:32:29,28.29,1.4203659759459697e-07,64.10965728759766,31.933090209960938,12.173810958862305
136,23:32:32,35.07,-2.0309731496581662e-07,64.72737884521484,32.23768997192383,12.59988784790039
137,23:32:33,37.78,4.146410148564428e-08,108.82624816894531,54.291996002197266,12.112678527832031
138,23:32:35,38.98,1.751646721004363e-07,100.50191497802734,50.12935256958008,12.160600662231445
139,23:32:38,27.88,-8.477105239990124e-08,45.530670166015625,22.64725112915039,11.80833625793457
140,23:32:40,18.38,1.467191310666749e-07,78.88308715820312,39.326663970947266,11.487918853759766
141,23:32:55,25.01,-8.023702235959718e-08,91.9444580078125,45.85748291015625,11.47469711303711
142,23:32:57,30.33,1.7742777913554164e-07,25.582014083862305,12.66498851776123,12.6018705368042
143,23:32:59,6.03,-3.4438238571965485e-07,129.50003051757812,64.63457489013672,11.544332504272461
144,23:33:01,36.16,1.9073485191256623e-07,61.09866714477539,30.43461036682129,11.472378730773926
145,23:33:04,26.33,8.477105239990124e-08,57.51352310180664,28.62785530090332,12.890565872192383
146,23:33:06,37.45,5.351172944756399e-07,29.985092163085938,14.872862815856934,11.968451499938965
147,23:33:09,25.92,2.4453187918993535e-08,48.90040969848633,24.33761215209961,11.25918960571289
148,23:33:15,94.7,-2.0229455799380958e-07,201.14170837402344,100.44576263427734,12.508888244628906
149,23:33:17,18.99,2.384185791015625e-07,71.55608367919922,35.65692138671875,12.111940383911133
150,23:33:19,10.55,-1.5894572413799324e-07,93.08552551269531,46.4251708984375,11.759160995483398
151,23:33:30,41.29,-9.934107936260261e-08,50.68730163574219,25.23016929626465,11.348153114318848
152,23:33:32,4.6,1.330708414570836e-07,116.81338500976562,58.284576416015625,12.211494445800781
153,23:33:34,28.85,9.082612706379223e-08,65.95514678955078,32.85835266113281,11.922086715698242
