Episode,Task,Epsilon,Total_Reward,End_Loop,Marauders,Marines
129,掠奪者任務,0.526,-2020,13440,0,21
130,掠奪者任務,0.524,-2850,13440,0,0
131,掠奪者任務,0.521,-1140,13440,2,17
132,掠奪者任務,0.519,-2490,13440,0,11
133,掠奪者任務,0.516,-2310,13440,0,18
134,掠奪者任務,0.513,-1140,13440,2,17
135,掠奪者任務,0.511,4770,12528,6,14
136,掠奪者任務,0.508,-2430,13440,0,14
137,掠奪者任務,0.506,5070,12544,5,23
138,掠奪者任務,0.503,-2340,13440,0,17
139,掠奪者任務,0.501,-2220,13440,0,21
140,掠奪者任務,0.498,4650,13088,5,10
141,掠奪者任務,0.496,-2170,13440,0,16
142,掠奪者任務,0.493,-260,13440,4,13
143,掠奪者任務,0.491,-1020,13440,2,21
144,掠奪者任務,0.488,-2340,13440,0,17
145,掠奪者任務,0.486,-1870,13440,0,26
146,掠奪者任務,0.483,-2340,13440,0,17
147,掠奪者任務,0.481,-1820,13440,1,11
148,掠奪者任務,0.479,-1950,13440,0,30
149,掠奪者任務,0.476,-1020,13440,2,21
150,掠奪者任務,0.474,-2550,13440,0,10
151,掠奪者任務,0.471,-2790,13440,0,2
152,掠奪者任務,0.469,-2340,13440,0,17
153,掠奪者任務,0.467,-2310,13440,0,18
154,掠奪者任務,0.464,-1110,13440,2,18
155,掠奪者任務,0.462,-2250,13440,0,20
156,掠奪者任務,0.460,-110,13440,4,18
157,掠奪者任務,0.458,-1730,13440,1,14
158,掠奪者任務,0.455,-2370,13440,0,16
159,掠奪者任務,0.453,-2400,13440,0,15
160,掠奪者任務,0.451,-1290,13440,2,12
161,掠奪者任務,0.448,-2400,13440,0,15
162,掠奪者任務,0.446,-2190,13440,0,22
163,掠奪者任務,0.444,-2490,13440,0,12
164,掠奪者任務,0.442,-3000,13440,0,0
165,掠奪者任務,0.440,-1640,13440,1,17
166,掠奪者任務,0.437,-3000,13440,0,0
167,掠奪者任務,0.435,-610,13440,4,18
168,掠奪者任務,0.433,-850,13440,3,10
169,掠奪者任務,0.431,-2440,13440,0,6
170,掠奪者任務,0.429,-2400,13440,0,15
171,掠奪者任務,0.427,-1790,13440,1,12
172,掠奪者任務,0.424,-1790,13440,1,12
173,掠奪者任務,0.422,-2370,13440,0,16
174,掠奪者任務,0.420,-2220,13440,0,20
175,掠奪者任務,0.418,-2160,13440,0,22
176,掠奪者任務,0.416,-2380,13440,0,7
177,掠奪者任務,0.414,-2250,13440,0,20
178,掠奪者任務,0.412,-1230,13440,2,14
179,掠奪者任務,0.410,4590,9984,5,8
180,掠奪者任務,0.408,-2230,13440,0,14
181,掠奪者任務,0.406,-2580,13440,0,9
182,掠奪者任務,0.404,4710,11600,5,12
183,掠奪者任務,0.402,-2380,13440,0,9
184,掠奪者任務,0.400,-2460,13440,0,12
185,掠奪者任務,0.398,-2290,13440,0,12
186,掠奪者任務,0.396,-2190,13440,0,22
187,掠奪者任務,0.394,-2370,13440,0,16
188,掠奪者任務,0.392,-2260,13440,0,12
189,掠奪者任務,0.390,-700,13440,3,15
190,掠奪者任務,0.388,-2170,13440,0,16
191,掠奪者任務,0.386,-2490,13440,0,12
192,掠奪者任務,0.384,-880,13440,3,8
193,掠奪者任務,0.382,-2460,13440,0,12
194,掠奪者任務,0.380,-2280,13440,0,19
195,掠奪者任務,0.378,-2520,13440,0,11
196,掠奪者任務,0.376,-2460,13440,0,13
197,掠奪者任務,0.374,-2460,13440,0,12
198,掠奪者任務,0.373,-2400,13440,0,15
199,掠奪者任務,0.371,-2520,13440,0,11
200,掠奪者任務,0.369,-2550,13440,0,10
201,掠奪者任務,0.367,-2340,13440,0,17
202,掠奪者任務,0.365,-2520,13440,0,11
203,掠奪者任務,0.363,-2490,13440,0,12
204,掠奪者任務,0.361,-2460,13440,0,13
205,掠奪者任務,0.360,-2490,13440,0,12
206,掠奪者任務,0.358,-2140,13440,0,17
207,掠奪者任務,0.356,-2610,13440,0,8
208,掠奪者任務,0.354,-2430,13440,0,14
209,掠奪者任務,0.353,-2430,13440,0,14
210,掠奪者任務,0.351,-2370,13440,0,16
211,掠奪者任務,0.349,-2490,13440,0,12
212,掠奪者任務,0.347,-2460,13440,0,13
213,掠奪者任務,0.346,-2520,13440,0,11
214,掠奪者任務,0.344,-1520,13440,1,21
215,掠奪者任務,0.342,-2170,13440,0,16
216,掠奪者任務,0.340,-2370,13440,0,15
217,掠奪者任務,0.339,-2640,13440,0,7
218,掠奪者任務,0.337,-2340,13440,0,17
219,掠奪者任務,0.335,-2490,13440,0,12
220,掠奪者任務,0.334,-2370,13440,0,16
221,掠奪者任務,0.332,-2430,13440,0,14
222,掠奪者任務,0.330,-2430,13440,0,14
223,掠奪者任務,0.329,-2490,13440,0,2
224,掠奪者任務,0.327,-2320,13440,0,11
225,掠奪者任務,0.325,-2430,13440,0,14
226,掠奪者任務,0.324,-2490,13440,0,12
227,掠奪者任務,0.322,-2520,13440,0,11
228,掠奪者任務,0.321,-2310,13440,0,0
229,掠奪者任務,0.319,-2550,13440,0,10
230,掠奪者任務,0.317,-440,13440,4,7
231,掠奪者任務,0.316,-2460,13440,0,13
232,掠奪者任務,0.314,-2460,13440,0,13
233,掠奪者任務,0.313,-2550,13440,0,10
234,掠奪者任務,0.311,-2640,13440,0,7
235,掠奪者任務,0.309,-2550,13440,0,10
236,掠奪者任務,0.308,-2610,13440,0,8
237,掠奪者任務,0.306,-760,13440,4,13
238,掠奪者任務,0.305,-2520,13440,0,11
239,掠奪者任務,0.303,-2400,13440,0,15
240,掠奪者任務,0.302,-1820,13440,1,11
241,掠奪者任務,0.300,-2370,13440,0,16
242,掠奪者任務,0.299,4620,13376,5,9
243,掠奪者任務,0.297,-2610,13440,0,8
244,掠奪者任務,0.296,-730,13440,4,14
245,掠奪者任務,0.294,-2220,13440,0,21
246,掠奪者任務,0.293,-1320,13440,2,11
247,掠奪者任務,0.291,-2550,13440,0,10
248,掠奪者任務,0.290,-2490,13440,0,12
249,掠奪者任務,0.288,-2550,13440,0,10
250,掠奪者任務,0.287,-2350,13440,0,10
251,掠奪者任務,0.286,-2640,13440,0,7
252,掠奪者任務,0.284,-2580,13440,0,8
253,掠奪者任務,0.283,-2520,13440,0,11
254,掠奪者任務,0.281,-2400,13440,0,15
255,掠奪者任務,0.280,-2640,13440,0,7
256,掠奪者任務,0.279,-2460,13440,0,13
257,掠奪者任務,0.277,-2430,13440,0,14
258,掠奪者任務,0.276,-2430,13440,0,14
259,掠奪者任務,0.274,-2520,13440,0,11
260,掠奪者任務,0.273,-2550,13440,0,10
261,掠奪者任務,0.272,-2610,13440,0,8
262,掠奪者任務,0.270,-410,13440,4,8
263,掠奪者任務,0.269,-2260,13440,0,13
264,掠奪者任務,0.268,-2550,13440,0,10
265,掠奪者任務,0.266,-2460,13440,0,13
266,掠奪者任務,0.265,-2550,13440,0,10
267,掠奪者任務,0.264,-2490,13440,0,12
268,掠奪者任務,0.262,-2460,13440,0,13
269,掠奪者任務,0.261,-2670,13440,0,6
270,掠奪者任務,0.260,-2640,13440,0,7
271,掠奪者任務,0.258,-2760,13440,0,3
272,掠奪者任務,0.257,-2580,13440,0,9
273,掠奪者任務,0.256,-2350,13440,0,10
274,掠奪者任務,0.255,-2580,13440,0,8
275,掠奪者任務,0.253,-2610,13440,0,8
276,掠奪者任務,0.252,-2730,13440,0,4
277,掠奪者任務,0.251,-2610,13440,0,8
278,掠奪者任務,0.249,-2520,13440,0,11
279,掠奪者任務,0.248,-2550,13440,0,10
280,掠奪者任務,0.247,-2640,13440,0,7
281,掠奪者任務,0.246,-2550,13440,0,10
282,掠奪者任務,0.245,-1880,13440,1,9
283,掠奪者任務,0.243,-2640,13440,0,7
284,掠奪者任務,0.242,-2670,13440,0,6
285,掠奪者任務,0.241,-2580,13440,0,9
286,掠奪者任務,0.240,-2610,13440,0,8
287,掠奪者任務,0.238,-2670,13440,0,6
288,掠奪者任務,0.237,-2550,13440,0,10
289,掠奪者任務,0.236,-2610,13440,0,8
