Episode,Reward,Loss,Entropy,LR
150,6.3,0.1958,8.3175,0.0003
151,18.45,-0.1687,8.3175,0.0003
152,6.27,-0.3641,8.3175,0.0003
153,21.4,0.2464,8.3175,0.0003
154,27.28,-0.0603,8.3174,0.0003
155,9.56,0.2238,8.3174,0.0003
156,14.81,0.2706,8.3174,0.0003
157,14.95,-0.1747,8.3174,0.0003
158,26.4,0.477,8.3174,0.0003
159,16.37,0.2637,8.3174,0.0003
160,3.21,0.0473,8.3174,0.0003
161,28.23,0.2539,8.3174,0.0003
162,12.27,-0.3618,8.3175,0.0003
163,9.38,-0.3881,8.3175,0.0003
164,20.5,-0.0156,8.3175,0.0003
165,7.99,-0.0135,8.3175,0.0003
166,22.76,0.156,8.3175,0.0003
167,23.7,0.3755,8.3175,0.0003
168,18.78,1.2566,8.3175,0.0003
169,18.12,0.0834,8.3175,0.0003
170,17.47,0.285,8.3175,0.0003
171,16.76,-0.1753,8.3175,0.0003
172,12.24,0.0397,8.3175,0.0003
173,9.83,0.1305,8.3175,0.0003
174,12.51,-0.1918,8.3175,0.0003
175,16.35,0.8766,8.3175,0.0003
176,12.16,-0.5067,8.3175,0.0003
177,25.33,0.3715,8.3175,0.0003
178,25.38,0.98,8.3175,0.0003
179,7.61,-0.2479,8.3175,0.0003
180,16.73,0.991,8.3175,0.0003
181,8.03,0.3809,8.3175,0.0003
182,16.6,0.6518,8.3175,0.0003
183,19.78,-0.3366,8.3175,0.0003
184,7.11,0.3347,8.3175,0.0003
185,9.52,0.1996,8.3175,0.0003
186,16.96,-0.206,8.3175,0.0003
187,21.22,-0.2285,8.3175,0.0003
188,9.05,0.0304,8.3175,0.0003
189,22.23,0.6648,8.3175,0.0003
190,10.22,0.0426,8.3175,0.0003
191,3.51,0.0042,8.3175,0.0003
192,8.59,0.1646,8.3175,0.0003
193,18.41,-0.2385,8.3175,0.0003
194,26.03,3.1835,8.3175,0.0003
195,30.24,-0.2272,8.3175,0.0003
196,11.5,-0.0463,8.3175,0.0003
197,28.13,-0.1425,8.3175,0.0003
198,10.79,-0.0079,8.3175,0.0003
199,17.14,0.1849,8.3175,0.0003
200,6.73,-0.0524,8.3175,0.0003
201,18.71,-0.003,8.3175,0.0003
202,5.52,-0.399,8.3175,0.0003
203,16.14,-0.6085,8.3175,0.0003
204,22.0,0.0736,8.3175,0.0003
205,9.43,-0.1284,8.3175,0.0003
206,7.83,0.0878,8.3175,0.0003
207,18.54,0.1083,8.3175,0.0003
208,6.38,0.0625,8.3175,0.0003
209,15.16,-0.0092,8.3175,0.0003
210,8.23,-0.0162,8.3175,0.0003
211,11.4,0.8435,8.3175,0.0003
212,15.55,0.3479,8.3175,0.0003
213,4.44,0.1832,8.3175,0.0003
214,5.54,-0.3425,8.3175,0.0003
215,21.6,0.0552,8.3174,0.0003
216,5.33,-0.0161,8.3174,0.0003
217,6.58,-0.0173,8.3174,0.0003
218,16.6,-0.0418,8.3174,0.0003
219,14.53,0.1896,8.3174,0.0003
220,7.42,0.1463,8.3174,0.0003
221,10.83,-0.2661,8.3174,0.0003
222,12.75,-0.1264,8.3175,0.0003
223,18.24,0.6259,8.3175,0.0003
224,10.28,-0.012,8.3175,0.0003
225,5.55,0.4634,8.3175,0.0003
226,16.67,-0.1336,8.3175,0.0003
227,24.89,0.423,8.3175,0.0003
228,11.66,-0.007,8.3175,0.0003
229,12.45,-0.0281,8.3175,0.0003
230,17.76,-0.0922,8.3175,0.0003
231,21.5,0.1289,8.3175,0.0003
232,22.87,0.619,8.3175,0.0003
233,15.05,-0.5301,8.3175,0.0003
234,38.79,-0.148,8.3175,0.0003
235,35.36,0.0644,8.3175,0.0003
236,13.04,0.1066,8.3175,0.0003
237,34.75,0.0285,8.3175,0.0003
238,23.14,0.1239,8.3175,0.0003
239,8.12,0.3132,8.3175,0.0003
240,12.27,0.1186,8.3175,0.0003
241,17.74,0.3865,8.3175,0.0003
242,23.64,-0.2706,8.3175,0.0003
243,5.36,0.3998,8.3175,0.0003
244,9.46,-0.6854,8.3175,0.0003
245,20.81,-0.1796,8.3175,0.0003
246,22.96,0.622,8.3175,0.0003
247,10.28,0.0242,8.3175,0.0003
248,12.43,-0.2668,8.3175,0.0003
249,5.42,-0.3898,8.3175,0.0003
250,11.38,0.0131,8.3175,0.0003
251,18.18,0.1852,8.3175,0.0003
252,6.28,0.5102,8.3175,0.0003
253,5.03,-0.0416,8.3176,0.0003
254,16.32,-1.1646,8.3175,0.0003
255,9.2,-0.3203,8.3175,0.0003
256,16.48,-0.22,8.3176,0.0003
257,30.14,0.0484,8.3176,0.0003
258,32.16,-0.0111,8.3176,0.0003
259,16.37,0.1562,8.3176,0.0003
260,5.58,-0.3908,8.3176,0.0003
261,31.13,0.401,8.3176,0.0003
262,6.77,-0.3845,8.3176,0.0003
263,29.57,0.2767,8.3176,0.0003
264,6.77,-0.1593,8.3176,0.0003
265,21.81,0.9024,8.3176,0.0003
266,10.0,-0.0853,8.3176,0.0003
267,13.57,-0.2547,8.3176,0.0003
268,14.9,0.3371,8.3176,0.0003
269,16.8,-0.1797,8.3176,0.0003
270,8.15,-0.063,8.3176,0.0003
271,6.51,-0.1369,8.3176,0.0003
272,12.44,-0.0286,8.3176,0.0003
273,14.38,-0.5336,8.3176,0.0003
274,6.98,-0.4191,8.3176,0.0003
275,12.81,0.1405,8.3176,0.0003
276,6.8,-0.217,8.3176,0.0003
277,10.27,-0.2556,8.3176,0.0003
278,14.2,0.1441,8.3176,0.0003
279,17.51,0.0859,8.3176,0.0003
280,13.66,0.253,8.3176,0.0003
281,21.59,0.5213,8.3176,0.0003
282,12.45,0.6494,8.3176,0.0003
283,8.3,-0.0956,8.3176,0.0003
284,17.23,-0.0398,8.3176,0.0003
285,22.06,-0.0362,8.3176,0.0003
286,14.19,0.1431,8.3176,0.0003
287,12.6,-0.257,8.3176,0.0003
288,13.71,-0.1233,8.3176,0.0003
289,15.5,-0.0496,8.3176,0.0003
290,17.48,-0.2695,8.3176,0.0003
