Episode,Task,Epsilon,Total_Reward,End_Loop,Marauders,Marines
130,掠奪者任務,0.524,3940,6912,5,3
131,掠奪者任務,0.521,3490,9488,5,8
132,掠奪者任務,0.519,5670,6224,5,4
133,掠奪者任務,0.516,6380,6112,5,1
134,掠奪者任務,0.513,4080,7088,5,1
135,掠奪者任務,0.511,3500,10112,5,5
136,掠奪者任務,0.508,-2700,13440,4,14
137,掠奪者任務,0.506,3170,7520,5,4
138,掠奪者任務,0.503,-6290,13440,0,12
139,掠奪者任務,0.501,-3310,13440,4,18
140,掠奪者任務,0.498,3700,8368,5,5
141,掠奪者任務,0.496,2070,9184,5,4
142,掠奪者任務,0.493,-3550,13440,3,10
143,掠奪者任務,0.491,-6100,13440,2,5
144,掠奪者任務,0.488,2690,10496,5,8
145,掠奪者任務,0.486,3430,8544,5,6
146,掠奪者任務,0.483,3490,11936,6,6
147,掠奪者任務,0.481,6110,6224,5,2
148,掠奪者任務,0.479,4770,10944,5,14
149,掠奪者任務,0.476,2960,10144,5,6
150,掠奪者任務,0.474,2120,12832,5,9
151,掠奪者任務,0.471,3810,9152,5,2
152,掠奪者任務,0.469,-5380,13440,0,9
153,掠奪者任務,0.467,-6400,13440,0,15
154,掠奪者任務,0.464,-4170,13440,2,6
155,掠奪者任務,0.462,-4880,13440,1,9
156,掠奪者任務,0.460,5350,6400,5,0
157,掠奪者任務,0.458,6350,5552,5,0
158,掠奪者任務,0.455,-5020,13440,0,1
159,掠奪者任務,0.453,-3390,13440,0,0
160,掠奪者任務,0.451,-4270,13440,0,0
161,掠奪者任務,0.448,2050,12736,5,10
162,掠奪者任務,0.446,3560,8464,5,7
163,掠奪者任務,0.444,2530,11936,5,6
164,掠奪者任務,0.442,5770,6704,6,4
165,掠奪者任務,0.440,2900,7168,5,5
166,掠奪者任務,0.437,4250,7152,5,0
167,掠奪者任務,0.435,4370,8128,5,4
168,掠奪者任務,0.433,-1860,13440,4,2
169,掠奪者任務,0.431,3760,8336,5,7
170,掠奪者任務,0.429,2540,9808,5,3
171,掠奪者任務,0.427,3270,8592,5,4
172,掠奪者任務,0.424,4370,9040,5,4
173,掠奪者任務,0.422,3960,8144,5,7
174,掠奪者任務,0.420,-3570,13440,2,6
175,掠奪者任務,0.418,3800,6832,5,5
176,掠奪者任務,0.416,2660,12368,5,7
177,掠奪者任務,0.414,3860,10704,6,7
178,掠奪者任務,0.412,3240,10784,5,3
179,掠奪者任務,0.410,2800,12448,5,5
180,掠奪者任務,0.408,-13910,13440,1,8
181,掠奪者任務,0.406,-4060,13440,0,1
182,掠奪者任務,0.404,3110,9200,5,2
183,掠奪者任務,0.402,-3000,11616,0,0
184,掠奪者任務,0.400,-1800,13440,1,0
185,掠奪者任務,0.398,3140,12624,5,2
186,掠奪者任務,0.396,4110,7056,5,2
187,掠奪者任務,0.394,-3040,13440,2,17
188,掠奪者任務,0.392,6180,5808,5,1
189,掠奪者任務,0.390,3450,8320,5,0
190,掠奪者任務,0.388,3770,9040,5,4
191,掠奪者任務,0.386,4410,6976,5,2
192,掠奪者任務,0.384,2790,10720,5,7
193,掠奪者任務,0.382,5450,5184,5,0
194,掠奪者任務,0.380,-2970,13440,4,6
195,掠奪者任務,0.378,-4660,13440,2,2
196,掠奪者任務,0.376,-2630,13440,2,3
197,掠奪者任務,0.374,3830,9856,5,6
198,掠奪者任務,0.373,4310,9760,5,12
199,掠奪者任務,0.371,1910,12240,5,10
200,掠奪者任務,0.369,-2960,13440,2,13
201,掠奪者任務,0.367,-3630,13440,2,14
202,掠奪者任務,0.365,5710,6080,5,2
203,掠奪者任務,0.363,2660,12576,5,7
204,掠奪者任務,0.361,-4500,13440,1,3
205,掠奪者任務,0.360,3570,10656,6,4
206,掠奪者任務,0.358,3370,8528,5,4
207,掠奪者任務,0.356,3770,8864,5,4
208,掠奪者任務,0.354,3600,8384,5,5
209,掠奪者任務,0.353,3410,10048,5,2
210,掠奪者任務,0.351,4380,6864,5,1
211,掠奪者任務,0.349,6410,5584,5,2
212,掠奪者任務,0.347,-3630,13440,2,3
213,掠奪者任務,0.346,2990,12464,5,8
214,掠奪者任務,0.344,-3430,13440,3,4
215,掠奪者任務,0.342,-2700,13440,4,5
216,掠奪者任務,0.340,3810,12912,6,11
217,掠奪者任務,0.339,2970,10736,5,4
218,掠奪者任務,0.337,3520,10224,5,9
219,掠奪者任務,0.335,3810,7456,5,1
220,掠奪者任務,0.334,3860,12192,5,7
221,掠奪者任務,0.332,3230,10448,5,5
222,掠奪者任務,0.330,6380,5440,5,1
223,掠奪者任務,0.329,-3500,13440,1,2
224,掠奪者任務,0.327,-3050,13440,2,10
225,掠奪者任務,0.325,4370,8272,5,4
226,掠奪者任務,0.324,-3040,13440,2,4
227,掠奪者任務,0.322,3890,12592,6,8
228,掠奪者任務,0.321,-3360,13440,1,3
229,掠奪者任務,0.319,4970,7280,5,4
230,掠奪者任務,0.317,-3430,13440,1,3
231,掠奪者任務,0.316,4210,7776,5,2
232,掠奪者任務,0.314,4100,8240,5,5
233,掠奪者任務,0.313,-1440,13440,2,7
234,掠奪者任務,0.311,4370,9760,6,2
235,掠奪者任務,0.309,3770,8752,5,4
236,掠奪者任務,0.308,-2730,13440,0,4
237,掠奪者任務,0.306,3640,9056,5,3
238,掠奪者任務,0.305,2970,10576,5,4
239,掠奪者任務,0.303,5980,6624,5,1
240,掠奪者任務,0.302,-1940,13440,4,7
241,掠奪者任務,0.300,-4340,13440,1,6
242,掠奪者任務,0.299,3670,8112,5,4
243,掠奪者任務,0.297,6380,6480,5,1
244,掠奪者任務,0.296,-3330,13440,1,4
245,掠奪者任務,0.294,-2540,13440,3,17
246,掠奪者任務,0.293,3930,11344,5,6
247,掠奪者任務,0.291,3700,10208,5,5
248,掠奪者任務,0.290,4440,10016,5,3
249,掠奪者任務,0.288,-4830,13440,1,4
250,掠奪者任務,0.287,3650,6800,5,0
251,掠奪者任務,0.286,4410,12512,5,2
252,掠奪者任務,0.284,4110,12576,5,2
253,掠奪者任務,0.283,5030,13344,5,6
254,掠奪者任務,0.281,3770,10480,5,4
255,掠奪者任務,0.280,-2230,13440,4,2
256,掠奪者任務,0.279,6380,5904,5,1
257,掠奪者任務,0.277,-3040,13440,0,2
258,掠奪者任務,0.276,-2470,13440,3,6
259,掠奪者任務,0.274,-3030,13440,3,4
260,掠奪者任務,0.273,4240,9856,5,3
261,掠奪者任務,0.272,6350,4928,5,0
262,掠奪者任務,0.270,-970,13440,1,3
263,掠奪者任務,0.269,-2500,13440,2,1
264,掠奪者任務,0.268,-8730,13440,2,4
265,掠奪者任務,0.266,3930,11680,5,6
266,掠奪者任務,0.265,3710,11312,5,2
267,掠奪者任務,0.264,-5140,13440,1,7
268,掠奪者任務,0.262,-3000,13440,2,5
269,掠奪者任務,0.261,-6980,13440,1,9
270,掠奪者任務,0.260,-1300,13440,2,4
271,掠奪者任務,0.258,-6160,13440,0,0
272,掠奪者任務,0.257,4270,9712,5,2
273,掠奪者任務,0.256,-2840,13440,3,7
274,掠奪者任務,0.255,4090,10080,5,8
275,掠奪者任務,0.253,3810,7456,5,2
276,掠奪者任務,0.252,3810,8256,5,2
277,掠奪者任務,0.251,-5080,13440,0,9
278,掠奪者任務,0.249,2760,10992,5,7
279,掠奪者任務,0.248,-3760,13440,2,2
280,掠奪者任務,0.247,4770,11536,5,4
281,掠奪者任務,0.246,4110,7936,5,2
282,掠奪者任務,0.245,-2530,13440,0,3
283,掠奪者任務,0.243,-3170,13440,0,2
284,掠奪者任務,0.242,-2130,13440,1,4
285,掠奪者任務,0.241,4910,8528,6,2
286,掠奪者任務,0.240,4010,13312,6,1
287,掠奪者任務,0.238,-2740,13440,2,6
288,掠奪者任務,0.237,3470,8688,5,4
289,掠奪者任務,0.236,4110,11392,5,2
290,掠奪者任務,0.235,3430,13232,5,6
291,掠奪者任務,0.234,4970,10048,5,1
292,掠奪者任務,0.233,4180,10496,5,1
293,掠奪者任務,0.231,-5430,13440,2,4
294,掠奪者任務,0.230,-1870,13440,3,6
295,掠奪者任務,0.229,4200,9280,5,5
296,掠奪者任務,0.228,-2090,13440,0,0
297,掠奪者任務,0.227,-2430,13440,2,4
298,掠奪者任務,0.226,4140,8224,5,3
299,掠奪者任務,0.225,3980,9008,5,1
300,掠奪者任務,0.223,-1560,13440,1,3
301,掠奪者任務,0.222,3610,8752,5,2
302,掠奪者任務,0.221,3580,8576,5,1
303,掠奪者任務,0.220,4260,8848,5,7
304,掠奪者任務,0.219,4200,11840,5,4
305,掠奪者任務,0.218,-1330,13440,3,4
306,掠奪者任務,0.217,-4230,13440,4,4
307,掠奪者任務,0.216,-2690,13440,1,2
308,掠奪者任務,0.215,6470,6688,5,4
309,掠奪者任務,0.214,4350,7408,5,0
310,掠奪者任務,0.212,-1960,13440,4,3
311,掠奪者任務,0.211,-1600,13440,4,5
312,掠奪者任務,0.210,-2660,13440,1,3
313,掠奪者任務,0.209,-1060,13440,0,1
314,掠奪者任務,0.208,-2850,12224,0,0
315,掠奪者任務,0.207,-2560,13440,1,2
316,掠奪者任務,0.206,-2190,13440,2,2
317,掠奪者任務,0.205,3980,12720,5,0
318,掠奪者任務,0.204,4530,11152,5,6
319,掠奪者任務,0.203,4030,10080,5,6
320,掠奪者任務,0.202,3910,9920,5,2
321,掠奪者任務,0.201,3940,9328,5,3
322,掠奪者任務,0.200,4110,7376,5,2
323,掠奪者任務,0.199,-7400,13440,1,5
324,掠奪者任務,0.198,5150,9248,5,10
325,掠奪者任務,0.197,3810,10592,5,2
326,掠奪者任務,0.196,4110,8064,5,2
327,掠奪者任務,0.195,-1930,13440,2,4
328,掠奪者任務,0.194,-2340,13440,2,7
329,掠奪者任務,0.193,-2460,13440,4,2
330,掠奪者任務,0.192,-3230,13440,0,4
331,掠奪者任務,0.191,-1500,13440,4,5
332,掠奪者任務,0.190,4410,9552,5,2
333,掠奪者任務,0.189,-2760,13440,0,0
334,掠奪者任務,0.188,-2060,13440,1,3
335,掠奪者任務,0.187,-2660,13440,0,2
