Episode,Task,Epsilon,Total_Reward,End_Loop,Marauders,Marines
1,掠奪者任務,1.000,-2250,13440,0,20
2,掠奪者任務,0.990,-2110,13440,0,18
3,掠奪者任務,0.980,-2430,13440,0,14
4,掠奪者任務,0.970,-2460,13440,0,7
5,掠奪者任務,0.961,-1930,13440,0,24
6,掠奪者任務,0.951,-1990,13440,0,22
7,掠奪者任務,0.941,-730,13440,3,14
8,掠奪者任務,0.932,4680,12064,5,10
9,掠奪者任務,0.923,-1520,13440,1,21
10,掠奪者任務,0.914,4590,8880,5,8
11,掠奪者任務,0.904,-2460,13440,0,13
12,掠奪者任務,0.895,5510,13360,6,22
13,掠奪者任務,0.886,-2220,13440,0,21
14,掠奪者任務,0.878,-2550,13440,0,9
15,掠奪者任務,0.869,-2520,13440,0,10
16,掠奪者任務,0.860,-2140,13440,0,17
17,掠奪者任務,0.851,-1790,13440,1,12
18,掠奪者任務,0.843,-1490,13440,1,22
19,掠奪者任務,0.835,-2250,13440,0,20
20,掠奪者任務,0.826,-2350,13440,0,9
21,掠奪者任務,0.818,-2580,13440,0,9
22,掠奪者任務,0.810,-2700,13440,0,4
23,掠奪者任務,0.802,4680,10624,5,10
24,掠奪者任務,0.794,-1910,13440,1,8
25,掠奪者任務,0.786,-1140,13440,0,3
26,掠奪者任務,0.778,-2520,13440,0,11
27,掠奪者任務,0.770,-1140,13440,2,17
28,掠奪者任務,0.762,-2200,13440,0,15
29,掠奪者任務,0.755,6380,5984,5,1
30,掠奪者任務,0.747,-2080,13440,0,18
31,掠奪者任務,0.740,-1610,13440,1,18
32,掠奪者任務,0.732,-2460,13440,0,13
33,掠奪者任務,0.725,-2560,13440,0,3
34,掠奪者任務,0.718,-2350,13440,0,10
35,掠奪者任務,0.711,-1230,13440,2,14
36,掠奪者任務,0.703,-2550,13440,0,10
37,掠奪者任務,0.696,-2460,13440,0,13
38,掠奪者任務,0.689,-2430,13440,0,13
39,掠奪者任務,0.683,-2550,13440,0,10
40,掠奪者任務,0.676,-2250,13440,0,20
41,掠奪者任務,0.669,-2560,13440,0,0
42,掠奪者任務,0.662,-1850,13440,0,10
43,掠奪者任務,0.656,-2610,13440,0,0
44,掠奪者任務,0.649,-2320,13440,0,7
45,掠奪者任務,0.643,-2790,13440,0,1
46,掠奪者任務,0.636,-2490,13440,0,5
47,掠奪者任務,0.630,-760,13440,4,13
48,掠奪者任務,0.624,-2520,13440,0,11
49,掠奪者任務,0.617,-2640,13440,0,4
50,掠奪者任務,0.611,-1760,13440,1,13
51,掠奪者任務,0.605,-1320,13440,2,9
52,掠奪者任務,0.599,-2490,13440,0,12
53,掠奪者任務,0.593,-2320,13440,0,10
54,掠奪者任務,0.587,-1030,13440,3,4
55,掠奪者任務,0.581,-2670,13440,0,1
56,掠奪者任務,0.575,-2670,13440,0,6
57,掠奪者任務,0.570,-2400,13440,0,15
58,掠奪者任務,0.564,-2400,13440,0,15
59,掠奪者任務,0.558,-2520,13440,0,11
60,掠奪者任務,0.553,-2410,13440,0,7
61,掠奪者任務,0.547,-2410,13440,0,8
62,掠奪者任務,0.542,-2490,13440,0,12
63,掠奪者任務,0.536,-2550,13440,0,10
64,掠奪者任務,0.531,-940,13440,3,7
65,掠奪者任務,0.526,-1910,13440,1,7
66,掠奪者任務,0.520,-2430,13440,0,14
67,掠奪者任務,0.515,-2290,13440,0,11
68,掠奪者任務,0.510,-2530,13440,0,0
69,掠奪者任務,0.505,-1530,13440,2,2
70,掠奪者任務,0.500,-2580,13440,0,9
71,掠奪者任務,0.495,-2820,13440,0,1
72,掠奪者任務,0.490,-2410,13440,0,5
73,掠奪者任務,0.485,-2640,13440,0,5
74,掠奪者任務,0.480,-2820,13440,0,0
75,掠奪者任務,0.475,-2440,13440,0,3
76,掠奪者任務,0.471,-2580,13440,0,8
77,掠奪者任務,0.466,-1850,13440,0,10
78,掠奪者任務,0.461,-2790,13440,0,0
79,掠奪者任務,0.457,-2430,13440,0,1
80,掠奪者任務,0.452,4620,11552,5,9
81,掠奪者任務,0.448,-2640,13440,0,1
82,掠奪者任務,0.443,-2530,13440,0,4
83,掠奪者任務,0.439,-1530,13440,2,3
84,掠奪者任務,0.434,-2550,13440,0,10
85,掠奪者任務,0.430,-2790,13440,0,2
86,掠奪者任務,0.426,-2640,13440,0,7
87,掠奪者任務,0.421,-2410,13440,0,7
88,掠奪者任務,0.417,-2670,13440,0,6
89,掠奪者任務,0.413,-2610,13440,0,1
90,掠奪者任務,0.409,-2730,13440,0,4
91,掠奪者任務,0.405,-2550,13440,0,8
92,掠奪者任務,0.401,-2580,13440,0,9
93,掠奪者任務,0.397,-2490,13440,0,12
