Episode,Task,Epsilon,Total_Reward,End_Loop,Marauders,Marines
1,掠奪者任務,1.000,-2340,13440,0,17
2,掠奪者任務,0.990,-1140,13440,0,4
3,掠奪者任務,0.980,-2730,13440,0,1
4,掠奪者任務,0.970,-2230,13440,0,6
5,掠奪者任務,0.961,-3000,13376,0,0
6,掠奪者任務,0.951,-2190,13440,0,22
7,掠奪者任務,0.941,-2340,13440,0,17
8,掠奪者任務,0.932,4770,11312,5,13
9,掠奪者任務,0.923,4740,13136,6,13
10,掠奪者任務,0.914,-1610,13440,1,18
11,掠奪者任務,0.904,-1140,13440,2,17
12,掠奪者任務,0.895,-2460,13440,0,12
13,掠奪者任務,0.886,-2370,13440,0,15
14,掠奪者任務,0.878,-2610,13440,0,5
15,掠奪者任務,0.869,-2140,13440,0,17
