Episode,Task,Epsilon,Total_Reward,End_Loop,Marauders,Marines
1,掠奪者任務,1.000,-9660,13440,0,13
2,掠奪者任務,0.995,-8620,13440,2,20
3,掠奪者任務,0.990,-11830,13440,0,13
4,掠奪者任務,0.985,-9630,13440,0,14
5,掠奪者任務,0.980,-8780,13440,0,19
6,掠奪者任務,0.975,550,9216,5,10
7,掠奪者任務,0.970,-2150,12416,5,20
8,掠奪者任務,0.966,-9940,13440,0,16
9,掠奪者任務,0.961,-10430,13440,2,14
10,掠奪者任務,0.956,-8280,13440,1,8
11,掠奪者任務,0.951,-9270,13440,0,6
12,掠奪者任務,0.946,-7510,13440,3,18
13,掠奪者任務,0.942,-9980,13440,0,19
14,掠奪者任務,0.937,-70,10640,5,16
15,掠奪者任務,0.932,-9370,13440,0,16
16,掠奪者任務,0.928,-10250,13440,0,20
17,掠奪者任務,0.923,-9100,13440,2,15
