Episode,Task,Epsilon,Total_Reward,End_Loop,Marauders,Marines
1,掠奪者任務,1.000,-3445,13440,0,12
2,掠奪者任務,0.995,-4645,13440,0,17
3,掠奪者任務,0.990,-4925,13440,0,5
4,掠奪者任務,0.985,5160,12736,6,17
5,掠奪者任務,0.980,-2920,13440,0,11
6,掠奪者任務,0.975,4365,10496,5,6
7,掠奪者任務,0.970,5075,12464,5,17
8,掠奪者任務,0.966,-1080,13440,3,11
9,掠奪者任務,0.961,4385,10000,5,8
10,掠奪者任務,0.956,-4165,13440,1,14
11,掠奪者任務,0.951,-2775,13440,0,1
12,掠奪者任務,0.946,-2840,13440,0,0
13,掠奪者任務,0.942,-4995,13440,2,12
14,掠奪者任務,0.937,-2655,13440,0,20
15,掠奪者任務,0.932,-2805,13440,1,16
16,掠奪者任務,0.928,-5720,13440,0,15
17,掠奪者任務,0.923,-5165,13440,0,10
18,掠奪者任務,0.918,-1680,13440,0,0
19,掠奪者任務,0.914,4890,12928,5,13
20,掠奪者任務,0.909,-4225,13440,0,14
21,掠奪者任務,0.905,-1670,13440,4,10
22,掠奪者任務,0.900,-5545,13440,0,18
23,掠奪者任務,0.896,4310,12368,5,10
24,掠奪者任務,0.891,4380,7504,5,6
25,掠奪者任務,0.887,-2735,13440,0,12
26,掠奪者任務,0.882,5005,12160,5,16
27,掠奪者任務,0.878,-1160,13440,4,9
28,掠奪者任務,0.873,-5030,13440,0,13
29,掠奪者任務,0.869,-4025,13440,1,7
30,掠奪者任務,0.865,-2405,13440,1,9
31,掠奪者任務,0.860,-4615,13440,0,6
32,掠奪者任務,0.856,-3860,13440,0,3
33,掠奪者任務,0.852,-2870,13440,0,0
34,掠奪者任務,0.848,-1640,13440,3,18
35,掠奪者任務,0.843,-4595,13440,0,16
36,掠奪者任務,0.839,-2785,13440,4,11
37,掠奪者任務,0.835,-1825,13440,3,7
38,掠奪者任務,0.831,-2020,13440,1,3
39,掠奪者任務,0.827,-985,13440,2,22
40,掠奪者任務,0.822,-775,13440,3,15
41,掠奪者任務,0.818,-4510,13440,0,8
42,掠奪者任務,0.814,-3625,13440,0,11
43,掠奪者任務,0.810,-3795,13440,4,9
44,掠奪者任務,0.806,-3095,13440,0,13
45,掠奪者任務,0.802,4305,7408,5,3
46,掠奪者任務,0.798,4520,11712,5,13
47,掠奪者任務,0.794,-1695,13440,2,12
48,掠奪者任務,0.790,-4820,13440,0,13
49,掠奪者任務,0.786,4345,8448,5,3
50,掠奪者任務,0.782,-2610,13440,1,14
51,掠奪者任務,0.778,-2975,13440,0,15
52,掠奪者任務,0.774,-4285,13440,0,11
53,掠奪者任務,0.771,-2835,13440,0,1
54,掠奪者任務,0.767,4940,9328,5,8
55,掠奪者任務,0.763,-2615,13440,0,12
56,掠奪者任務,0.759,-3970,13440,0,3
57,掠奪者任務,0.755,-3535,13440,0,10
58,掠奪者任務,0.751,-1825,13440,2,18
59,掠奪者任務,0.748,-1540,13440,3,11
60,掠奪者任務,0.744,4440,6800,5,3
61,掠奪者任務,0.740,4545,11568,5,9
62,掠奪者任務,0.737,-1590,13440,3,22
63,掠奪者任務,0.733,4710,10528,6,18
64,掠奪者任務,0.729,-3280,13440,1,16
65,掠奪者任務,0.726,4960,10464,6,12
66,掠奪者任務,0.722,-2875,13440,0,12
67,掠奪者任務,0.718,-4145,13440,1,11
68,掠奪者任務,0.715,-3685,13440,1,7
69,掠奪者任務,0.711,3795,12816,5,20
70,掠奪者任務,0.708,4580,12784,5,23
71,掠奪者任務,0.704,4240,11280,5,11
72,掠奪者任務,0.701,3860,11472,5,10
73,掠奪者任務,0.697,-4995,13440,0,14
74,掠奪者任務,0.694,-1785,13440,2,11
