,0,1,2,3,4,5,6
"(0, 0, 0, 0, 0, 0, 3)",0.5771062868150004,0.5063511224014025,0.5795919688541591,0.565613344588905,0.938597362621754,0.5755399011409525,0.5123957612691871
"(1, 0, 0, 0, 0, 0, 3)",-0.2806809657222279,-0.28040488788863244,-0.28043668268711724,-0.2808603461125883,-0.2802587838407029,-0.27992197595637097,-0.280307723440574
"(1, 0, 0, 0, 0, 0, 2)",-0.2935616987762079,-0.2964293749491267,-0.28835709535106324,-0.2954501337529619,-0.29537833764065,-0.28304693349293997,-0.2987448387810032
"(1, 0, 0, 0, 0, 0, 10)",0.26223859403132393,1.3881892048869642,0.45697232063141063,0.31812061615631243,0.4542777800567195,0.3203118608945055,0.411048504696133
"(1, 0, 0, 0, 0, 0, 9)",8.217105914740232,5.5974209494307825,5.211278298780348,5.046095152707483,5.067014259901944,15.23938915835826,5.238781965686352
"(1, 1, 0, 0, 0, 0, 9)",-0.15281670497125144,-0.15394272005272308,-0.15263564707353736,-0.15302476487086414,-0.15244542892829618,-0.15310006199756712,-0.1526549165446914
"(1, 1, 0, 0, 0, 0, 8)",-0.2549052777029888,-0.2548555484036637,-0.2551813155703002,-0.2547166148174194,-0.25513171223726494,-0.25477768833038067,-0.2548442626736141
"(1, 1, 0, 0, 0, 0, 7)",-0.2267755133374814,-0.22698256938182415,-0.22685737758704053,-0.2268665188728165,-0.22724947242326607,-0.22718674132182579,-0.2276088445685326
"(1, 0, 0, 0, 0, 0, 7)",1.323869158573052,4.4059419862939375,1.1224397688628982,1.3216607539328367,1.4056898966617595,1.1426717821163193,1.2076023308375121
"(0, 1, 0, 0, 0, 0, 7)",-0.0005,-0.0005,-0.0005,-0.0009995,-0.0005,-0.0005,-0.000995
"(0, 1, 0, 0, 0, 0, 8)",-0.000995,-0.0005,-0.0009995,-0.0005,-0.0009995,-0.0005,-0.0009995
"(0, 0, 0, 0, 0, 0, 8)",-0.0005,0.15116192785443847,0.053231878002279555,0.0484040332456603,-0.0105,-0.0005,-0.0005
"(0, 0, 0, 0, 0, 0, 0)",-0.9910027790122146,-0.9215255888948153,-0.9096235600857683,-0.9682151085130078,-0.7234115359511357,-0.9141973637461627,-1.0000487421377315
"(1, 0, 0, 0, 0, 0, 0)",-9.924054320249024,-9.81552426925553,-9.92037117641836,-9.916036627604754,-9.90980423002847,-9.909865409686612,-9.920778427696055
