Time,Minerals,Vespene,Workers,Ideal,Action
2496.0,810,0,17,16,REASSIGN_IDLE
2512.0,815,0,17,16,REASSIGN_IDLE
2528.0,825,0,17,16,REASSIGN_IDLE
2544.0,845,0,17,16,REASSIGN_IDLE
2560.0,850,0,17,16,REASSIGN_IDLE
2576.0,855,0,17,16,REASSIGN_IDLE
2592.0,865,0,17,16,REASSIGN_IDLE
2608.0,880,0,17,16,REASSIGN_IDLE
2624.0,885,0,17,16,REASSIGN_IDLE
2640.0,900,0,17,16,REASSIGN_IDLE
2656.0,915,0,17,16,REASSIGN_IDLE
2672.0,920,0,17,16,REASSIGN_IDLE
2688.0,925,0,17,16,REASSIGN_IDLE
2704.0,940,0,17,16,REASSIGN_IDLE
2720.0,955,0,17,16,REASSIGN_IDLE
2736.0,955,0,17,16,REASSIGN_IDLE
2752.0,970,0,17,16,REASSIGN_IDLE
2768.0,990,0,17,16,REASSIGN_IDLE
2784.0,990,0,17,16,REASSIGN_IDLE
2800.0,1000,0,17,16,REASSIGN_IDLE
2816.0,1020,0,17,16,REASSIGN_IDLE
2832.0,1025,0,17,16,REASSIGN_IDLE
2848.0,1030,0,17,16,REASSIGN_IDLE
2864.0,1045,0,17,16,REASSIGN_IDLE
2880.0,1055,0,17,16,REASSIGN_IDLE
2896.0,1065,0,17,16,REASSIGN_IDLE
2912.0,1070,0,17,16,REASSIGN_IDLE
2928.0,1090,0,17,16,REASSIGN_IDLE
2944.0,1095,0,17,16,REASSIGN_IDLE
2960.0,1100,0,17,16,REASSIGN_IDLE
2976.0,1120,0,17,16,REASSIGN_IDLE
2992.0,1130,0,17,16,REASSIGN_IDLE
3008.0,1135,0,17,16,REASSIGN_IDLE
3024.0,1140,0,17,16,REASSIGN_IDLE
3040.0,1165,0,17,16,REASSIGN_IDLE
3056.0,1165,0,17,16,REASSIGN_IDLE
3072.0,1180,0,17,16,REASSIGN_IDLE
3088.0,1190,0,17,16,REASSIGN_IDLE
3104.0,1195,0,17,16,REASSIGN_IDLE
3120.0,1205,0,17,16,REASSIGN_IDLE
