Time,Minerals,Vespene,Workers,Ideal,Barracks,Action_ID
0.0,50,0,12,16,0,34
16.0,50,0,12,16,0,18
32.0,50,0,12,16,0,2
48.0,50,0,12,16,0,18
64.0,50,0,12,16,0,18
80.0,50,0,12,16,0,34
96.0,50,0,12,16,0,2
112.0,55,0,12,16,0,34
128.0,60,0,12,16,0,11
144.0,75,0,12,16,0,2
160.0,80,0,12,16,0,2
176.0,95,0,12,16,0,2
192.0,110,0,12,16,0,11
208.0,35,0,12,16,0,2
224.0,35,0,12,16,0,18
240.0,40,0,12,19,0,11
256.0,55,0,12,19,0,18
272.0,60,0,12,19,0,11
288.0,70,0,12,19,0,11
304.0,85,0,12,19,0,11
320.0,90,0,12,19,0,11
336.0,90,0,12,19,0,18
352.0,90,0,12,19,0,2
368.0,105,0,12,19,0,34
384.0,115,0,12,19,0,2
400.0,115,0,12,19,0,2
416.0,135,0,12,19,0,2
432.0,145,0,12,19,0,2
448.0,145,0,12,19,0,11
464.0,145,0,12,19,0,11
480.0,150,0,12,19,0,2
496.0,165,0,12,19,0,11
512.0,170,0,12,19,0,2
528.0,175,0,12,19,0,34
544.0,190,0,12,19,0,18
560.0,200,0,12,19,0,2
576.0,200,0,12,19,0,11
592.0,205,0,12,19,0,18
608.0,215,0,12,19,0,11
624.0,220,0,12,19,0,18
640.0,230,0,12,19,0,11
656.0,235,0,12,19,0,11
672.0,250,0,12,19,0,34
688.0,260,0,12,19,0,11
704.0,265,0,12,19,0,11
720.0,265,0,12,19,0,2
736.0,270,0,12,19,0,2
752.0,280,0,12,19,0,18
768.0,285,0,12,19,0,18
784.0,295,0,12,19,0,11
800.0,305,4,12,19,0,18
816.0,320,4,12,19,0,34
832.0,320,4,12,19,0,11
848.0,325,4,12,19,0,18
864.0,335,4,12,19,0,2
880.0,335,4,12,19,0,2
896.0,345,8,12,19,0,2
912.0,360,8,12,19,0,34
928.0,370,8,12,19,0,34
944.0,375,8,12,19,0,34
960.0,380,8,12,19,0,34
976.0,385,12,12,19,0,34
992.0,390,12,12,19,0,2
1008.0,390,12,12,19,0,2
1024.0,410,12,12,19,0,2
1040.0,425,12,12,19,0,2
1056.0,430,12,12,19,0,18
1072.0,435,16,12,19,0,34
1088.0,440,16,12,19,0,2
1104.0,440,16,12,19,0,18
1120.0,445,16,12,19,0,2
1136.0,465,16,12,19,0,34
1152.0,470,20,12,19,0,2
1168.0,480,20,12,19,0,34
1184.0,490,20,12,19,0,18
1200.0,490,20,12,19,0,34
1216.0,495,20,12,19,0,11
1232.0,500,20,12,19,0,11
1248.0,515,24,12,19,0,2
1264.0,520,24,12,19,0,2
1280.0,525,24,12,19,0,18
1296.0,540,24,12,19,0,2
1312.0,545,24,12,19,0,34
1328.0,550,28,12,19,0,11
1344.0,555,28,12,19,0,11
1360.0,565,28,12,19,0,18
1376.0,575,28,12,19,0,11
1392.0,575,28,12,19,0,18
1408.0,590,28,12,19,0,2
1424.0,595,32,12,19,0,18
1440.0,605,32,12,19,0,18
1456.0,615,32,12,19,0,18
1472.0,620,32,12,19,0,11
1488.0,630,32,12,19,0,11
1504.0,635,36,12,19,0,18
1520.0,635,36,12,19,0,2
1536.0,645,36,12,19,0,11
1552.0,650,36,12,19,0,18
1568.0,675,36,12,19,0,2
1584.0,675,36,12,19,0,34
1600.0,675,40,12,19,0,18
1616.0,690,40,12,19,0,34
1632.0,690,40,12,19,0,18
1648.0,690,40,12,19,0,18
1664.0,705,40,12,19,0,34
1680.0,725,44,12,19,0,18
1696.0,730,44,12,19,0,11
1712.0,730,44,12,19,0,11
1728.0,740,44,12,19,0,34
1744.0,745,44,12,19,0,2
1760.0,745,44,12,19,0,11
1776.0,745,48,12,19,0,34
1792.0,775,48,12,19,0,18
1808.0,785,48,12,19,0,18
1824.0,785,48,12,19,0,34
1840.0,790,48,12,19,0,2
1856.0,795,52,12,19,0,34
1872.0,800,52,12,19,0,2
1888.0,805,52,12,19,0,34
1904.0,820,52,12,19,0,18
1920.0,835,52,12,19,0,2
1936.0,840,52,12,19,0,18
1952.0,845,56,12,19,0,34
1968.0,850,56,12,19,0,18
1984.0,850,56,12,19,0,18
2000.0,865,56,12,19,0,2
2016.0,870,56,12,19,0,2
2032.0,875,60,12,19,0,11
2048.0,895,60,12,19,0,18
2064.0,900,60,12,19,0,2
2080.0,900,60,12,19,0,34
2096.0,905,60,12,19,0,2
2112.0,925,60,12,19,0,34
2128.0,925,64,12,19,0,18
2144.0,925,64,12,19,0,34
2160.0,940,64,12,19,0,18
2176.0,945,64,12,19,0,18
2192.0,955,64,12,19,0,11
2208.0,960,68,12,19,0,2
2224.0,975,68,12,19,0,18
2240.0,980,68,12,19,0,18
2256.0,980,68,12,19,0,2
2272.0,990,68,12,19,0,34
2288.0,1000,68,12,19,0,2
2304.0,1000,72,12,19,0,34
2320.0,1010,72,12,19,0,18
2336.0,1030,72,12,19,0,2
2352.0,1030,72,12,19,0,34
2368.0,1035,72,12,19,0,18
2384.0,1040,76,12,19,0,11
2400.0,1050,76,12,19,0,18
2416.0,1055,76,12,19,0,18
2432.0,1070,76,12,19,0,11
2448.0,1085,76,12,19,0,11
2464.0,1085,76,12,19,0,34
2480.0,1085,80,12,19,0,34
2496.0,1095,80,12,19,0,18
2512.0,1100,80,12,19,0,34
2528.0,1105,80,12,19,0,2
2544.0,1120,80,12,19,0,18
2560.0,1135,84,12,19,0,18
2576.0,1140,84,12,19,0,34
2592.0,1140,84,12,19,0,2
2608.0,1150,84,12,19,0,34
2624.0,1150,84,12,19,0,34
2640.0,1155,84,12,19,0,18
2656.0,1175,88,12,19,0,2
2672.0,1180,88,12,19,0,34
2688.0,1190,88,12,19,0,2
2704.0,1200,88,12,19,0,11
2720.0,1200,88,12,19,0,11
2736.0,1205,92,12,19,0,18
