Time,Minerals,Vespene,Workers,Ideal,Action_ID,Marauders_Produced
0.0,50,0,12,16,5,0
16.0,50,0,12,16,4,0
32.0,50,0,12,16,1,0
48.0,50,0,12,16,6,0
64.0,50,0,12,16,6,0
80.0,50,0,12,16,5,0
96.0,50,0,12,16,6,0
112.0,55,0,12,16,3,0
128.0,60,0,12,16,1,0
144.0,70,0,12,16,4,0
160.0,75,0,12,16,6,0
176.0,95,0,12,16,6,0
192.0,110,0,12,16,2,0
208.0,110,0,12,16,4,0
224.0,110,0,12,16,1,0
240.0,115,0,12,16,2,0
256.0,130,0,12,16,1,0
272.0,135,0,12,16,6,0
288.0,145,0,12,16,4,0
304.0,165,0,12,16,6,0
320.0,170,0,12,16,2,0
336.0,170,0,12,16,6,0
352.0,170,0,12,16,4,0
368.0,190,0,12,16,4,0
384.0,200,0,12,16,1,0
400.0,200,0,12,16,6,0
416.0,215,0,12,16,5,0
432.0,230,0,12,16,2,0
448.0,130,0,12,16,2,0
464.0,130,0,12,16,1,0
480.0,140,0,12,16,3,0
496.0,150,0,12,16,6,0
512.0,155,0,12,16,4,0
528.0,160,0,12,16,1,0
544.0,160,0,12,16,1,0
560.0,120,0,12,16,1,0
576.0,80,0,12,16,3,0
592.0,95,0,12,16,4,0
608.0,95,0,12,16,3,0
624.0,30,0,12,16,2,0
640.0,35,0,12,19,1,0
656.0,35,0,12,19,3,0
672.0,40,0,12,19,5,0
688.0,50,0,12,19,2,0
704.0,65,0,12,19,1,0
720.0,70,0,12,19,4,0
736.0,70,0,12,19,3,0
752.0,85,0,12,19,1,0
768.0,85,0,12,19,3,0
784.0,85,0,12,19,1,0
800.0,100,0,12,19,6,0
816.0,110,0,13,19,5,0
832.0,115,0,13,19,6,0
848.0,125,0,13,19,4,0
864.0,130,0,13,19,5,0
880.0,135,0,13,19,4,0
896.0,135,0,13,19,2,0
912.0,40,0,13,19,5,0
928.0,45,0,13,19,3,0
944.0,60,0,13,19,2,0
960.0,65,0,13,19,6,0
976.0,65,0,13,19,5,0
992.0,75,0,13,19,4,0
1008.0,80,0,13,19,5,0
1024.0,85,0,13,19,5,0
1040.0,85,0,13,19,6,0
1056.0,100,0,13,19,3,0
1072.0,105,0,13,19,5,0
1088.0,105,0,14,19,2,0
1104.0,110,0,14,19,6,0
1120.0,120,0,14,19,4,0
1136.0,125,0,14,19,5,0
1152.0,125,0,14,19,1,0
1168.0,130,0,14,19,5,0
1184.0,145,4,14,19,1,0
1200.0,145,4,14,19,1,0
1216.0,100,4,14,19,1,0
1232.0,60,8,14,19,6,0
1248.0,65,8,14,19,5,0
1264.0,65,12,14,19,4,0
1280.0,70,16,14,19,2,0
1296.0,85,16,14,19,1,0
1312.0,90,20,14,19,2,0
1328.0,90,20,14,19,6,0
1344.0,105,20,14,19,1,0
1360.0,105,24,14,19,3,0
1376.0,110,24,14,19,3,0
1392.0,115,28,14,19,4,0
1408.0,120,28,14,19,4,0
1424.0,130,32,14,19,5,0
1440.0,135,32,14,19,3,0
1456.0,140,36,14,19,3,0
1472.0,150,36,15,19,3,0
1488.0,150,40,15,19,5,0
1504.0,10,40,15,19,4,0
1520.0,15,44,15,19,2,0
1536.0,20,44,15,19,2,0
1552.0,30,48,15,19,4,0
1568.0,35,48,15,19,5,0
1584.0,35,52,15,19,5,0
1600.0,40,52,15,19,6,0
1616.0,50,56,15,19,1,0
1632.0,55,56,15,19,2,0
1648.0,60,56,15,19,1,0
1664.0,70,60,15,19,5,0
1680.0,80,60,15,19,4,0
1696.0,80,64,15,19,6,0
1712.0,80,64,15,19,6,0
