Time,Minerals,Vespene,Supply,Marauders,Action_ID
0.0,50,0,12,0,5
16.0,50,0,12,0,4
32.0,50,0,12,0,6
48.0,50,0,12,0,6
64.0,50,0,12,0,2
80.0,50,0,12,0,4
96.0,50,0,12,0,3
112.0,55,0,12,0,1
128.0,60,0,12,0,6
144.0,70,0,12,0,3
160.0,75,0,12,0,5
176.0,95,0,12,0,3
192.0,110,0,12,0,5
208.0,110,0,12,0,2
224.0,110,0,12,0,5
240.0,115,0,12,0,4
256.0,130,0,12,0,0
272.0,135,0,12,0,1
288.0,145,0,12,0,7
304.0,165,0,12,0,0
320.0,170,0,12,0,4
336.0,170,0,12,0,1
352.0,170,0,12,0,1
368.0,140,0,13,0,7
384.0,150,0,13,0,1
400.0,100,0,13,0,3
416.0,115,0,13,0,3
432.0,130,0,13,0,5
448.0,130,0,13,0,5
464.0,130,0,13,0,5
480.0,140,0,13,0,1
496.0,155,0,13,0,7
512.0,160,0,13,0,6
528.0,165,0,13,0,0
544.0,180,0,13,0,3
560.0,190,0,13,0,7
576.0,195,0,13,0,5
592.0,205,0,13,0,2
608.0,210,0,13,0,5
624.0,215,0,14,0,3
640.0,225,0,14,0,7
656.0,230,0,14,0,0
672.0,240,0,14,0,2
688.0,155,0,14,0,2
704.0,160,0,14,0,0
720.0,160,0,14,0,1
736.0,165,0,14,0,6
752.0,170,0,14,0,6
768.0,175,0,14,0,7
784.0,180,0,14,0,0
800.0,195,0,14,0,7
816.0,200,0,14,0,1
832.0,155,0,14,0,6
848.0,175,0,14,0,5
864.0,175,0,14,0,0
880.0,180,0,14,0,6
896.0,195,0,15,0,3
912.0,195,0,15,0,4
928.0,205,0,15,0,5
944.0,210,0,15,0,3
960.0,225,0,15,0,5
976.0,235,0,15,0,6
992.0,235,0,15,0,1
1008.0,250,0,15,0,7
1024.0,255,0,15,0,0
1040.0,260,0,15,0,4
1056.0,270,0,15,0,5
1072.0,285,0,15,0,3
1088.0,290,0,15,0,1
1104.0,305,0,15,0,2
1120.0,310,0,15,0,4
1136.0,320,0,15,0,4
1152.0,320,0,15,0,1
1168.0,335,0,15,0,5
1184.0,345,0,15,0,4
1200.0,350,0,15,0,2
1216.0,370,0,15,0,5
1232.0,225,0,15,0,7
1248.0,225,0,15,0,1
1264.0,235,0,15,0,5
1280.0,240,0,15,0,0
1296.0,260,0,15,0,3
1312.0,260,0,15,0,3
1328.0,275,0,15,0,4
1344.0,285,0,15,0,0
1360.0,290,0,15,0,2
1376.0,195,0,15,0,3
1392.0,205,0,15,0,4
1408.0,210,0,15,0,2
1424.0,220,0,15,0,4
1440.0,235,0,15,0,1
1456.0,240,0,15,0,6
1472.0,245,0,15,0,1
1488.0,250,0,15,0,0
1504.0,265,0,15,0,4
1520.0,265,0,15,0,2
1536.0,270,0,15,0,3
1552.0,285,0,15,0,3
1568.0,300,0,15,0,4
1584.0,300,0,15,0,0
1600.0,305,0,15,0,1
1616.0,325,0,15,0,5
1632.0,325,0,15,0,2
1648.0,325,0,15,0,6
1664.0,345,0,15,0,6
1680.0,355,0,15,0,7
1696.0,360,0,15,0,5
1712.0,370,0,15,0,6
1728.0,375,0,15,0,5
1744.0,385,0,15,0,3
1760.0,385,0,15,0,7
1776.0,395,0,15,0,7
1792.0,405,0,15,0,6
1808.0,420,0,15,0,4
1824.0,425,0,15,0,0
1840.0,435,0,15,0,1
1856.0,440,0,15,0,3
1872.0,455,0,15,0,4
1888.0,455,0,15,0,7
1904.0,455,0,15,0,1
1920.0,475,0,15,0,4
1936.0,485,0,15,0,0
1952.0,490,0,15,0,4
1968.0,495,0,15,0,6
1984.0,510,0,15,0,6
2000.0,515,0,15,0,2
2016.0,515,0,15,0,0
2032.0,515,0,15,0,1
2048.0,545,0,15,0,6
2064.0,550,0,15,0,1
2080.0,555,0,15,0,5
2096.0,570,0,15,0,4
2112.0,570,0,15,0,7
2128.0,575,0,15,0,6
2144.0,575,0,15,0,3
2160.0,590,0,15,0,7
2176.0,605,0,15,0,0
2192.0,615,0,15,0,0
2208.0,625,0,15,0,1
2224.0,630,0,15,0,7
2240.0,630,0,15,0,0
2256.0,640,0,15,0,2
2272.0,645,0,15,0,2
2288.0,660,0,15,0,1
2304.0,675,0,15,0,3
2320.0,680,0,15,0,1
2336.0,690,0,15,0,4
2352.0,690,0,15,0,4
2368.0,695,0,15,0,1
2384.0,710,0,15,0,4
2400.0,715,0,15,0,6
2416.0,725,0,15,0,5
2432.0,740,0,15,0,1
2448.0,740,0,15,0,7
2464.0,750,0,15,0,5
2480.0,755,0,15,0,3
2496.0,765,0,15,0,6
2512.0,770,0,15,0,1
2528.0,780,0,15,0,2
2544.0,790,0,15,0,7
2560.0,800,0,15,0,3
2576.0,805,0,15,0,5
2592.0,825,0,15,0,4
2608.0,825,0,15,0,3
2624.0,825,0,15,0,7
2640.0,840,0,15,0,6
2656.0,840,0,15,0,2
2672.0,850,0,15,0,4
2688.0,860,0,15,0,4
2704.0,880,0,15,0,0
2720.0,885,0,15,0,0
2736.0,885,0,15,0,0
2752.0,890,0,15,0,4
2768.0,900,0,15,0,4
2784.0,905,0,15,0,2
2800.0,915,0,15,0,2
2816.0,940,0,15,0,3
2832.0,945,0,15,0,2
2848.0,945,0,15,0,6
2864.0,950,0,15,0,7
2880.0,955,0,15,0,7
2896.0,960,0,15,0,3
2912.0,975,0,15,0,3
2928.0,995,0,15,0,5
2944.0,1000,0,15,0,7
2960.0,1010,0,15,0,4
2976.0,1010,0,15,0,0
