Time,Minerals,Vespene,Workers,Ideal,Action
0.0,50,0,12,16,BOOST_ECONOMY
16.0,50,0,12,16,PRODUCE_GHOST
32.0,50,0,12,16,PRODUCE_MARAUDER
48.0,50,0,12,16,BOOST_ECONOMY
64.0,50,0,12,16,BOOST_ECONOMY
80.0,0,0,12,16,PRODUCE_GHOST
96.0,0,0,12,16,BUILD_INFRA
112.0,5,0,12,16,BUILD_INFRA
128.0,10,0,12,16,PRODUCE_MARAUDER
144.0,20,0,12,16,BOOST_ECONOMY
160.0,30,0,12,16,PRODUCE_MARAUDER
176.0,45,0,12,16,BUILD_INFRA
192.0,60,0,12,16,PRODUCE_GHOST
208.0,60,0,12,16,PRODUCE_GHOST
256.0,80,0,12,16,BOOST_ECONOMY
272.0,90,0,12,16,BUILD_INFRA
288.0,95,0,12,16,PRODUCE_MARAUDER
304.0,115,0,12,16,PRODUCE_GHOST
320.0,120,0,12,16,BUILD_INFRA
336.0,120,0,13,16,PRODUCE_MARAUDER
352.0,120,0,13,16,PRODUCE_GHOST
368.0,140,0,13,16,PRODUCE_GHOST
384.0,150,0,13,16,PRODUCE_MARAUDER
400.0,150,0,13,16,BUILD_INFRA
416.0,165,0,13,16,BUILD_INFRA
432.0,80,0,13,16,PRODUCE_GHOST
448.0,80,0,13,16,BOOST_ECONOMY
464.0,85,0,13,16,BUILD_INFRA
480.0,95,0,13,16,BUILD_INFRA
496.0,25,0,13,16,BUILD_INFRA
512.0,35,0,13,16,BOOST_ECONOMY
528.0,40,0,13,19,PRODUCE_GHOST
544.0,50,0,13,19,PRODUCE_GHOST
560.0,60,0,13,19,BUILD_INFRA
576.0,65,0,13,19,BOOST_ECONOMY
592.0,70,0,13,19,PRODUCE_GHOST
608.0,80,0,13,19,BUILD_INFRA
624.0,80,0,13,19,PRODUCE_GHOST
640.0,90,0,13,19,BOOST_ECONOMY
656.0,100,0,13,19,BOOST_ECONOMY
672.0,55,0,13,19,PRODUCE_GHOST
688.0,60,0,13,19,PRODUCE_GHOST
704.0,75,0,13,19,BOOST_ECONOMY
720.0,75,0,13,19,BUILD_INFRA
768.0,95,0,13,19,BOOST_ECONOMY
784.0,100,0,13,19,BUILD_INFRA
832.0,130,0,13,19,BUILD_INFRA
848.0,140,0,13,19,PRODUCE_GHOST
864.0,145,0,13,19,BUILD_INFRA
880.0,145,0,13,19,BUILD_INFRA
896.0,155,0,13,19,BOOST_ECONOMY
912.0,165,0,13,19,BOOST_ECONOMY
928.0,130,0,14,19,PRODUCE_MARAUDER
976.0,145,0,14,19,REASSIGN_IDLE
992.0,150,0,14,19,REASSIGN_IDLE
1008.0,150,0,14,19,REASSIGN_IDLE
1024.0,170,0,14,19,REASSIGN_IDLE
1040.0,175,0,14,19,REASSIGN_IDLE
1056.0,190,0,14,19,REASSIGN_IDLE
1072.0,195,0,14,19,REASSIGN_IDLE
1088.0,205,4,14,19,REASSIGN_IDLE
1104.0,205,4,14,19,REASSIGN_IDLE
1120.0,210,4,14,19,REASSIGN_IDLE
1136.0,230,4,14,19,REASSIGN_IDLE
1152.0,235,4,14,19,REASSIGN_IDLE
1168.0,235,4,14,19,REASSIGN_IDLE
1184.0,255,8,14,19,REASSIGN_IDLE
1200.0,255,8,15,19,REASSIGN_IDLE
1216.0,265,8,15,19,REASSIGN_IDLE
1232.0,270,8,15,19,REASSIGN_IDLE
1248.0,290,8,15,19,REASSIGN_IDLE
1264.0,290,12,15,19,REASSIGN_IDLE
1280.0,295,12,15,19,REASSIGN_IDLE
1296.0,310,12,15,19,REASSIGN_IDLE
1312.0,315,12,15,19,REASSIGN_IDLE
1328.0,325,12,15,19,REASSIGN_IDLE
1344.0,335,12,15,19,REASSIGN_IDLE
1360.0,345,16,15,19,REASSIGN_IDLE
1376.0,350,16,15,19,REASSIGN_IDLE
1392.0,360,16,15,19,REASSIGN_IDLE
1408.0,365,16,15,19,REASSIGN_IDLE
1424.0,375,16,15,19,REASSIGN_IDLE
1440.0,385,20,15,19,REASSIGN_IDLE
1456.0,400,20,15,19,REASSIGN_IDLE
1472.0,405,20,15,19,REASSIGN_IDLE
1488.0,415,20,15,19,REASSIGN_IDLE
1504.0,420,20,15,19,REASSIGN_IDLE
1520.0,420,20,15,19,REASSIGN_IDLE
1536.0,430,24,15,19,REASSIGN_IDLE
1552.0,440,24,15,19,REASSIGN_IDLE
1568.0,465,24,15,19,REASSIGN_IDLE
1584.0,470,24,15,19,REASSIGN_IDLE
1600.0,470,24,15,19,REASSIGN_IDLE
1616.0,480,28,15,19,REASSIGN_IDLE
1632.0,485,28,15,19,REASSIGN_IDLE
1648.0,485,28,15,19,REASSIGN_IDLE
1664.0,490,28,15,19,REASSIGN_IDLE
1680.0,525,28,15,19,REASSIGN_IDLE
1696.0,530,28,15,19,REASSIGN_IDLE
1712.0,535,32,15,19,REASSIGN_IDLE
1728.0,545,32,15,19,REASSIGN_IDLE
1744.0,545,32,15,19,REASSIGN_IDLE
1760.0,550,32,15,19,REASSIGN_IDLE
1776.0,555,32,15,19,REASSIGN_IDLE
1792.0,570,36,15,19,REASSIGN_IDLE
1808.0,590,36,15,19,REASSIGN_IDLE
1824.0,595,36,15,19,REASSIGN_IDLE
1840.0,600,36,15,19,REASSIGN_IDLE
1856.0,610,36,15,19,REASSIGN_IDLE
1872.0,610,36,15,19,REASSIGN_IDLE
1888.0,615,40,15,19,REASSIGN_IDLE
1904.0,630,40,15,19,REASSIGN_IDLE
1920.0,650,40,15,19,REASSIGN_IDLE
1936.0,650,40,15,19,REASSIGN_IDLE
1952.0,665,40,15,19,REASSIGN_IDLE
1968.0,670,44,15,19,REASSIGN_IDLE
1984.0,670,44,15,19,REASSIGN_IDLE
