Time,Minerals,Vespene,Supply,Marauders,Action_ID
0.0,50,0,12,0,2
2.0,50,0,12,0,2
4.0,50,0,12,0,7
6.0,50,0,12,0,5
8.0,50,0,12,0,0
10.0,50,0,12,0,1
12.0,50,0,12,0,3
14.0,50,0,12,0,0
16.0,50,0,12,0,4
18.0,50,0,12,0,4
20.0,50,0,12,0,7
22.0,50,0,12,0,2
24.0,50,0,12,0,4
26.0,50,0,12,0,1
28.0,50,0,12,0,0
30.0,50,0,12,0,7
32.0,50,0,12,0,6
34.0,50,0,12,0,6
36.0,50,0,12,0,4
38.0,50,0,12,0,2
40.0,50,0,12,0,6
42.0,50,0,12,0,1
44.0,50,0,12,0,3
46.0,50,0,12,0,3
48.0,50,0,12,0,7
50.0,50,0,12,0,5
52.0,50,0,12,0,1
54.0,50,0,12,0,7
56.0,50,0,12,0,2
58.0,50,0,12,0,5
60.0,50,0,12,0,7
62.0,50,0,12,0,7
64.0,50,0,12,0,5
66.0,50,0,12,0,6
68.0,50,0,12,0,2
70.0,50,0,12,0,1
72.0,50,0,12,0,2
74.0,50,0,12,0,0
76.0,50,0,12,0,2
78.0,50,0,12,0,4
80.0,50,0,12,0,3
82.0,50,0,12,0,4
84.0,50,0,12,0,6
86.0,50,0,12,0,4
88.0,50,0,12,0,7
90.0,50,0,12,0,1
92.0,50,0,12,0,1
94.0,0,0,13,0,2
96.0,0,0,13,0,2
98.0,0,0,13,0,7
100.0,0,0,13,0,7
102.0,0,0,13,0,5
104.0,0,0,13,0,7
106.0,0,0,13,0,3
108.0,0,0,13,0,5
110.0,0,0,13,0,2
112.0,5,0,13,0,7
114.0,5,0,13,0,0
116.0,5,0,13,0,7
118.0,5,0,13,0,1
120.0,5,0,13,0,2
122.0,5,0,13,0,2
124.0,5,0,13,0,4
126.0,5,0,13,0,3
128.0,10,0,13,0,3
130.0,10,0,13,0,7
132.0,10,0,13,0,3
134.0,15,0,13,0,3
136.0,15,0,13,0,3
138.0,15,0,13,0,6
140.0,15,0,13,0,7
142.0,15,0,13,0,2
144.0,20,0,13,0,4
146.0,25,0,13,0,4
148.0,25,0,13,0,2
150.0,25,0,13,0,2
152.0,25,0,13,0,6
154.0,25,0,13,0,6
156.0,25,0,13,0,2
158.0,25,0,13,0,0
160.0,25,0,13,0,6
162.0,30,0,13,0,4
164.0,30,0,13,0,3
166.0,30,0,13,0,6
168.0,35,0,13,0,4
170.0,40,0,13,0,2
172.0,40,0,13,0,2
174.0,45,0,13,0,3
176.0,45,0,13,0,6
178.0,45,0,13,0,6
180.0,50,0,13,0,6
182.0,50,0,13,0,6
184.0,50,0,13,0,4
186.0,55,0,13,0,1
188.0,55,0,13,0,0
190.0,55,0,13,0,0
192.0,60,0,13,0,5
194.0,60,0,13,0,3
196.0,60,0,13,0,2
198.0,60,0,13,0,0
200.0,60,0,13,0,1
202.0,60,0,13,0,7
204.0,60,0,13,0,4
206.0,60,0,13,0,7
208.0,60,0,13,0,4
210.0,60,0,13,0,5
212.0,60,0,13,0,7
214.0,60,0,13,0,4
216.0,60,0,13,0,2
218.0,60,0,13,0,7
220.0,60,0,13,0,0
222.0,60,0,13,0,2
224.0,60,0,13,0,5
226.0,60,0,13,0,2
228.0,60,0,13,0,2
230.0,60,0,13,0,0
232.0,60,0,13,0,7
234.0,60,0,13,0,4
236.0,60,0,13,0,6
238.0,65,0,13,0,6
240.0,65,0,13,0,3
242.0,65,0,13,0,5
244.0,65,0,13,0,4
246.0,70,0,13,0,0
248.0,70,0,13,0,2
250.0,70,0,13,0,0
252.0,70,0,13,0,4
254.0,75,0,13,0,3
256.0,80,0,13,0,3
258.0,85,0,13,0,4
260.0,85,0,13,0,5
262.0,85,0,13,0,0
264.0,85,0,13,0,7
266.0,85,0,13,0,5
268.0,85,0,13,0,7
270.0,85,0,13,0,4
272.0,85,0,13,0,0
274.0,90,0,13,0,6
276.0,90,0,13,0,6
278.0,90,0,13,0,5
280.0,90,0,13,0,3
282.0,95,0,13,0,7
284.0,95,0,13,0,1
286.0,95,0,13,0,6
288.0,95,0,13,0,5
290.0,95,0,13,0,0
292.0,95,0,13,0,4
294.0,100,0,13,0,0
296.0,105,0,13,0,6
298.0,105,0,13,0,6
300.0,105,0,13,0,3
302.0,115,0,13,0,6
304.0,115,0,13,0,0
306.0,115,0,13,0,7
308.0,120,0,13,0,1
310.0,120,0,13,0,3
312.0,120,0,13,0,2
314.0,120,0,13,0,1
316.0,120,0,13,0,2
318.0,120,0,13,0,5
320.0,120,0,13,0,0
322.0,120,0,13,0,2
324.0,120,0,13,0,4
326.0,120,0,13,0,6
328.0,120,0,13,0,3
330.0,120,0,13,0,7
332.0,120,0,13,0,2
334.0,20,0,13,0,0
336.0,20,0,13,0,3
338.0,20,0,13,0,4
340.0,20,0,13,0,4
342.0,20,0,13,0,3
344.0,20,0,13,0,5
346.0,20,0,13,0,1
348.0,20,0,13,0,3
350.0,20,0,13,0,3
352.0,20,0,13,0,0
354.0,20,0,13,0,1
356.0,20,0,13,0,7
358.0,20,0,13,0,1
360.0,20,0,13,0,1
362.0,25,0,13,0,3
364.0,25,0,13,0,7
366.0,30,0,13,0,1
368.0,35,0,13,0,4
370.0,35,0,13,0,1
372.0,35,0,13,0,4
374.0,35,0,13,0,0
376.0,35,0,13,0,4
378.0,40,0,13,0,3
380.0,40,0,13,0,7
382.0,45,0,13,0,0
384.0,45,0,13,0,4
386.0,45,0,13,0,4
388.0,45,0,13,0,5
390.0,45,0,13,0,0
392.0,45,0,13,0,0
394.0,45,0,13,0,1
396.0,45,0,13,0,4
398.0,45,0,13,0,7
400.0,45,0,13,0,1
402.0,45,0,13,0,5
404.0,45,0,13,0,0
406.0,45,0,13,0,5
408.0,45,0,13,0,0
410.0,50,0,13,0,1
412.0,55,0,13,0,0
414.0,60,0,13,0,5
416.0,60,0,13,0,2
418.0,60,0,13,0,4
420.0,65,0,13,0,3
422.0,65,0,13,0,4
424.0,70,0,13,0,5
426.0,70,0,13,0,6
428.0,70,0,13,0,5
430.0,70,0,13,0,1
432.0,75,0,13,0,0
434.0,75,0,13,0,1
436.0,25,0,14,0,5
438.0,25,0,14,0,0
440.0,25,0,14,0,3
442.0,25,0,14,0,6
444.0,25,0,14,0,2
446.0,25,0,14,0,4
448.0,25,0,14,0,3
450.0,25,0,14,0,0
452.0,25,0,14,0,3
454.0,25,0,14,0,6
456.0,25,0,14,0,4
458.0,25,0,14,0,2
460.0,25,0,14,0,6
462.0,25,0,14,0,7
464.0,25,0,14,0,4
466.0,25,0,14,0,1
468.0,30,0,14,0,7
470.0,30,0,14,0,1
472.0,30,0,14,0,6
474.0,35,0,14,0,3
476.0,35,0,14,0,6
478.0,35,0,14,0,5
480.0,35,0,14,0,1
482.0,35,0,14,0,3
484.0,40,0,14,0,1
486.0,40,0,14,0,7
488.0,50,0,14,0,3
490.0,50,0,14,0,1
492.0,50,0,14,0,2
494.0,50,0,14,0,0
496.0,50,0,14,0,4
498.0,50,0,14,0,5
500.0,50,0,14,0,0
502.0,50,0,14,0,5
504.0,55,0,14,0,0
506.0,55,0,14,0,3
508.0,55,0,14,0,0
510.0,55,0,14,0,4
512.0,55,0,14,0,4
514.0,55,0,14,0,3
516.0,55,0,14,0,3
518.0,55,0,14,0,1
520.0,60,0,14,0,7
522.0,60,0,14,0,0
524.0,60,0,14,0,0
526.0,60,0,14,0,3
528.0,60,0,14,0,4
530.0,60,0,14,0,4
532.0,60,0,14,0,6
534.0,65,0,14,0,7
536.0,70,0,14,0,2
538.0,70,0,14,0,5
540.0,70,0,14,0,3
542.0,70,0,14,0,0
544.0,75,0,14,0,1
546.0,80,0,14,0,0
548.0,80,0,14,0,2
550.0,80,0,14,0,7
552.0,80,0,14,0,3
554.0,80,0,14,0,2
556.0,85,0,14,0,3
558.0,85,0,14,0,2
560.0,85,0,14,0,1
562.0,85,0,14,0,2
564.0,85,0,14,0,6
566.0,85,0,14,0,7
568.0,85,0,14,0,3
570.0,85,0,14,0,7
572.0,85,0,14,0,5
574.0,85,0,14,0,6
576.0,90,0,14,0,7
578.0,90,0,14,0,5
580.0,90,0,14,0,7
582.0,90,0,14,0,7
584.0,95,0,14,0,7
586.0,95,0,14,0,6
588.0,100,0,14,0,4
590.0,100,0,14,0,4
592.0,100,0,14,0,5
594.0,100,0,14,0,3
596.0,100,0,14,0,2
598.0,100,0,14,0,1
600.0,100,0,14,0,0
602.0,100,0,14,0,0
604.0,100,0,14,0,4
606.0,100,0,14,0,7
608.0,110,0,14,0,0
610.0,110,0,14,0,6
612.0,110,0,14,0,4
614.0,110,0,14,0,7
616.0,110,0,14,0,5
618.0,110,0,14,0,7
620.0,110,0,14,0,0
622.0,110,0,14,0,5
624.0,110,0,14,0,3
626.0,110,0,14,0,3
628.0,110,0,14,0,5
630.0,115,0,14,0,0
632.0,120,0,14,0,3
