,0,1,2,3,4,5,6
"(0, 0, 0, 0, 0, 0, 3)",0.41490160742872095,0.28561848600446493,0.2727984774141085,0.29068934859810236,0.3575667392988752,0.2601340653519496,0.3037028517740695
"(1, 0, 0, 0, 0, 0, 3)",-0.24998257595909798,-0.24767744482641857,-0.24830514613975377,-0.24940851209410367,-0.24593351401293434,-0.24850634501923513,-0.2443292411945895
"(1, 0, 0, 0, 0, 0, 2)",-0.2556148652125819,-0.25824023432046983,-0.2573482771288191,-0.26415237740063974,-0.25545270692992494,-0.26286236781936323,-0.2636803005505096
"(1, 0, 0, 0, 0, 0, 10)",0.12706179021033984,0.3481169879229523,0.2868975055828154,0.13008150572977895,0.5041854485134774,0.22337074717807112,0.3042988913888544
"(1, 0, 0, 0, 0, 0, 9)",0.9157515431315638,0.7536501096223215,0.7684025400606189,0.7698376616728259,0.9058110220597204,0.6072176739314391,0.9830826035084973
"(1, 1, 0, 0, 0, 0, 9)",-0.14190362275569196,-0.14480156963942128,-0.1410234708891068,-0.14175248233826293,-0.14133621509433847,-0.14275120160436586,-0.1433101785120983
"(1, 1, 0, 0, 0, 0, 8)",-0.2351224026722235,-0.2350447956539138,-0.2361603532564033,-0.23478719528292835,-0.23532663803891413,-0.2358026780155525,-0.23511208207107842
"(1, 1, 0, 0, 0, 0, 7)",-0.20468866450445383,-0.2044110127081285,-0.2082768415869967,-0.20400431932401492,-0.2065551945823632,-0.2045847082737452,-0.20436834165760015
"(1, 0, 0, 0, 0, 0, 7)",0.24606081051356435,0.2541418465334213,0.10297886363899215,0.12906662431190635,0.2167064547176512,0.21303201546459885,0.15546758097521896
"(0, 1, 0, 0, 0, 0, 7)",-0.0005,-0.0005,-0.0005,-0.0009995,-0.0005,-0.0005,-0.000995
"(0, 1, 0, 0, 0, 0, 8)",-0.000995,-0.0005,-0.0009995,-0.0005,-0.0009995,-0.0005,-0.0009995
"(0, 0, 0, 0, 0, 0, 8)",-0.0005,-0.000995,0.053785663665945546,0.0484040332456603,-0.0105,-0.0005,-0.0005
"(0, 0, 0, 0, 0, 0, 0)",-1.0225715867026792,-0.9892268664662499,-0.9569490341753815,-0.9752496110063146,-0.9527539543764586,-0.9972292056172042,-0.9913120098275876
"(1, 0, 0, 0, 0, 0, 0)",-9.771424292002079,-9.747104493624427,-9.768881392292307,-9.771449440496976,-9.650541056571333,-9.766372428234137,-9.767146911331182
"(1, 0, 0, 0, 0, 0, 1)",-0.5678316466807664,-1.020898677477645,-0.6012165427784404,-0.5559770678040994,-0.7833876023776141,-0.6289144481513036,-0.6314879913581248
"(1, 0, 0, 0, 0, 0, -14)",-0.011247788719074133,-0.010803836248182238,-0.011208451712292743,-0.011944358175411682,-0.012452725365281513,-0.013243338260896359,-0.010824899671306884
"(1, 0, 0, 0, 0, 0, 11)",0.11214986977238027,0.0008787690193661239,0.0025638705110699158,-0.008687097219671147,0.003368585965712857,-0.0013242604388196298,0.11484667015815199
"(1, 0, 0, 0, 0, 0, 8)",1.1052124725530081,0.647654207035465,0.8249553600878264,0.6198855951281942,0.885205621755163,0.8253553717455939,0.7783194377261219
"(1, 0, 0, 0, 0, 0, -8)",-0.016649597874717093,-0.01760460226252032,-0.09172762671456544,-0.01702847441319842,-0.01796446455141094,-0.01733966679871157,-0.018737116235754803
"(1, 0, 0, 0, 0, 0, -7)",-0.04614715266933002,-0.05380718711913455,-0.05209063299869574,-0.055256387891778884,-0.05431691673729172,-0.047529880040517246,-0.052206473753045414
"(1, 0, 0, 0, 0, 0, -6)",-0.04613063339582433,-0.03815676568655023,-0.04152483744709249,-0.042824241150360196,-0.046816854772472175,-0.04968128434876207,-0.04635421262593066
"(0, 0, 0, 0, 0, 0, -6)",0.31656302241189027,0.16762544683308891,0.26990732928410127,0.12153631992083558,0.2553602048555936,0.20563516399960177,0.18802583162561903
"(0, 0, 0, 0, 0, 0, -5)",0.09660563854369503,0.027178483106149637,0.05815307237566684,0.07090839484847102,0.0584358807713578,0.20536539868840065,0.09738999254268416
"(1, 1, 0, 0, 0, 0, 11)",-0.010384301056264521,-0.011680800702725373,-0.012106632844548632,-0.010294025730637991,-0.012221604287247908,-0.009669012693758125,-0.01171131053532537
"(1, 1, 0, 0, 0, 0, 10)",-0.05940859102875485,-0.05979176402645142,-0.05985030915957134,-0.05904126833506921,-0.06019066611788325,-0.05825908306654147,-0.05806191328984987
"(1, 1, 0, 0, 0, 0, 6)",-0.18879071428589927,-0.18750331225218092,-0.18770272997565954,-0.18872445630349083,-0.186907000642918,-0.18793545369800602,-0.18742138259160948
"(1, 1, 0, 0, 0, 0, 5)",-0.18207079358277925,-0.18082819672658704,-0.18116933755857278,-0.18030556256825703,-0.1813040984900391,-0.18202815853996993,-0.1798006550046658
"(1, 0, 0, 0, 0, 0, 5)",-0.17116616972590096,-0.17144272139280115,-0.171083940426618,-0.1730267072364924,-0.17111178308535863,-0.17094741569204377,-0.17342806892354354
"(1, 0, 0, 0, 0, 0, 4)",-0.18596504008347037,-0.18295921443018026,-0.18191795457199472,-0.18101738185913224,-0.18400637620796592,-0.1854330885251404,-0.1841227124804584
"(0, 1, 0, 0, 0, 0, 4)",-0.0019970019995,-0.0014985005,-0.001983515495,-0.0014985005,-0.0019970019995,-0.0014985005,-0.001992510995
"(0, 1, 0, 0, 0, 0, -4)",0.0005819461973102507,-0.0009050204036171258,0.095985943890524,0.12166729859746502,-0.00017206231771733343,0.0007471655857517021,0.0004303724912945628
"(0, 0, 0, 0, 0, 0, -4)",0.10185269026778489,0.051444086644468756,0.05522473682554667,0.048353370190637325,0.052219880383732584,0.006158718353198864,0.006513628813621627
"(1, 0, 0, 0, 0, 0, -4)",-0.014906569298241619,-0.015637371699046842,-0.014799892364245696,-0.015470451130589893,-0.016385022760583217,-0.01700384427845565,-0.015196944990573445
"(1, 0, 0, 0, 0, 0, -3)",-0.01620172326007276,-0.016062151012348494,-0.017802553387059276,-0.01677378296811819,-0.017900876853814855,-0.017458284133226608,-0.016872730590797875
"(0, 0, 0, 0, 0, 0, -3)",3.105126538579e-05,0.09308531445491705,-0.00016135485231879773,0.06232170270984657,-0.0009475867786553411,0.0012600132481890894,0.04849052119209467
"(1, 0, 0, 0, 0, 0, -10)",-0.005065564676397411,-0.00545964364256679,-0.004986698474907073,-0.00501227691448952,-0.005911268738641918,-0.005478761102981962,-0.00457315774835899
