Episode,Task,Epsilon,Total_Reward,End_Loop,Marauders,Marines
1,掠奪者任務,1.000,0.9901,5840,5,0
2,掠奪者任務,0.995,0.9737,6688,5,0
3,掠奪者任務,0.990,1.0000,5760,5,0
4,掠奪者任務,0.985,0.9618,7200,5,0
5,掠奪者任務,0.980,0.9986,5776,5,0
6,掠奪者任務,0.975,0.9846,6336,5,0
7,掠奪者任務,0.970,0.9501,7680,5,0
8,掠奪者任務,0.966,1.0000,6288,5,0
9,掠奪者任務,0.961,0.9379,8112,5,0
10,掠奪者任務,0.956,1.0000,7664,5,0
11,掠奪者任務,0.951,0.9227,9040,5,0
12,掠奪者任務,0.946,0.9816,6560,5,0
13,掠奪者任務,0.942,0.9664,6880,5,0
14,掠奪者任務,0.937,1.0000,6048,5,0
15,掠奪者任務,0.932,0.9567,7584,5,0
16,掠奪者任務,0.928,0.9659,7152,5,0
17,掠奪者任務,0.923,0.9947,5792,5,0
18,掠奪者任務,0.918,0.9901,6288,5,0
19,掠奪者任務,0.914,0.9481,7520,5,0
20,掠奪者任務,0.909,1.0000,6160,5,0
21,掠奪者任務,0.905,0.9316,8304,5,0
22,掠奪者任務,0.900,0.9814,6432,5,0
23,掠奪者任務,0.896,0.9949,5872,5,0
24,掠奪者任務,0.891,0.9556,7344,5,0
25,掠奪者任務,0.887,0.9649,7104,5,0
26,掠奪者任務,0.882,0.9548,7648,5,0
27,掠奪者任務,0.878,0.9498,7760,5,0
28,掠奪者任務,0.873,0.9671,6960,5,0
29,掠奪者任務,0.869,0.9387,8144,5,0
30,掠奪者任務,0.865,0.9646,7296,5,0
31,掠奪者任務,0.860,0.9714,6592,5,0
32,掠奪者任務,0.856,0.9965,5824,5,0
33,掠奪者任務,0.852,0.9218,8880,5,0
34,掠奪者任務,0.848,0.9584,7328,5,0
35,掠奪者任務,0.843,0.9813,6416,5,0
36,掠奪者任務,0.839,0.9710,6720,5,0
37,掠奪者任務,0.835,0.9716,6736,5,0
38,掠奪者任務,0.831,0.9851,6112,5,0
39,掠奪者任務,0.827,0.9475,7840,5,0
40,掠奪者任務,0.822,0.9671,6960,5,0
41,掠奪者任務,0.818,0.9612,7248,5,0
42,掠奪者任務,0.814,0.9463,7872,5,0
43,掠奪者任務,0.810,1.0000,5536,5,0
44,掠奪者任務,0.806,0.9911,6176,5,0
45,掠奪者任務,0.802,0.9255,8848,5,0
46,掠奪者任務,0.798,0.9754,6592,5,0
47,掠奪者任務,0.794,0.9597,7696,5,0
48,掠奪者任務,0.790,0.9892,6128,5,0
49,掠奪者任務,0.786,1.0000,6832,5,0
50,掠奪者任務,0.782,0.9677,7024,5,0
51,掠奪者任務,0.778,1.0000,5728,5,0
52,掠奪者任務,0.774,0.9644,6928,5,0
53,掠奪者任務,0.771,0.9911,5888,5,0
54,掠奪者任務,0.767,0.9904,5536,5,0
55,掠奪者任務,0.763,0.9708,6864,5,0
56,掠奪者任務,0.759,0.9628,7312,5,0
57,掠奪者任務,0.755,0.9149,9168,5,0
58,掠奪者任務,0.751,0.9506,7680,5,0
59,掠奪者任務,0.748,1.0000,5776,5,0
60,掠奪者任務,0.744,0.9671,7120,5,0
61,掠奪者任務,0.740,0.9592,7360,5,0
62,掠奪者任務,0.737,0.9813,6304,5,0
63,掠奪者任務,0.733,0.9956,5952,5,0
64,掠奪者任務,0.729,0.9511,7904,5,0
65,掠奪者任務,0.726,0.9757,6464,5,0
66,掠奪者任務,0.722,0.9786,6288,5,0
67,掠奪者任務,0.718,0.9456,7904,5,0
68,掠奪者任務,0.715,0.9644,7104,5,0
69,掠奪者任務,0.711,0.9585,7616,5,0
70,掠奪者任務,0.708,0.9920,5600,5,0
71,掠奪者任務,0.704,0.9868,6304,5,0
72,掠奪者任務,0.701,0.9436,7856,5,0
73,掠奪者任務,0.697,0.9829,6368,5,0
74,掠奪者任務,0.694,0.9816,6288,5,0
75,掠奪者任務,0.690,0.9601,7120,5,0
76,掠奪者任務,0.687,-0.5880,13440,0,0
77,掠奪者任務,0.683,0.9757,6464,5,0
78,掠奪者任務,0.680,0.9705,6944,5,0
79,掠奪者任務,0.676,1.0000,9024,5,0
80,掠奪者任務,0.673,0.9639,7216,5,0
81,掠奪者任務,0.670,1.0000,6512,5,0
82,掠奪者任務,0.666,1.0000,8000,5,0
83,掠奪者任務,0.663,0.9902,6128,5,0
84,掠奪者任務,0.660,0.9997,5680,5,0
85,掠奪者任務,0.656,-0.4820,13440,0,0
86,掠奪者任務,0.653,0.9790,6496,5,0
87,掠奪者任務,0.650,1.0000,5680,5,0
88,掠奪者任務,0.647,1.0000,6848,5,0
89,掠奪者任務,0.643,0.9924,5984,5,0
90,掠奪者任務,0.640,1.0000,6592,5,0
91,掠奪者任務,0.637,0.9519,7824,5,0
92,掠奪者任務,0.634,0.9954,5872,5,0
93,掠奪者任務,0.631,0.9821,6400,5,0
94,掠奪者任務,0.627,0.9700,7056,5,0
95,掠奪者任務,0.624,0.9820,6384,5,0
96,掠奪者任務,0.621,1.0000,7616,5,0
97,掠奪者任務,0.618,1.0000,6176,5,0
98,掠奪者任務,0.615,0.9904,6320,5,0
99,掠奪者任務,0.612,0.9609,7376,5,0
100,掠奪者任務,0.609,0.8713,11008,5,0
101,掠奪者任務,0.606,0.9458,7648,5,0
102,掠奪者任務,0.603,0.8747,10720,5,0
103,掠奪者任務,0.600,0.9353,8320,5,0
104,掠奪者任務,0.597,0.9902,6128,5,0
105,掠奪者任務,0.594,0.9891,6112,5,0
106,掠奪者任務,0.591,0.9615,7392,5,0
107,掠奪者任務,0.588,0.9545,7616,5,0
108,掠奪者任務,0.585,0.9490,7952,5,0
109,掠奪者任務,0.582,0.9401,8080,5,0
110,掠奪者任務,0.579,0.9697,6912,5,0
111,掠奪者任務,0.576,1.0000,8192,5,0
112,掠奪者任務,0.573,0.9839,6480,5,0
113,掠奪者任務,0.570,1.0000,5232,5,0
114,掠奪者任務,0.568,0.9212,9264,5,0
115,掠奪者任務,0.565,0.9379,8496,5,0
116,掠奪者任務,0.562,1.0000,6560,5,0
117,掠奪者任務,0.559,0.9536,7744,5,0
118,掠奪者任務,0.556,0.9876,6288,5,0
119,掠奪者任務,0.554,0.9961,5728,5,0
120,掠奪者任務,0.551,1.0000,6736,5,0
121,掠奪者任務,0.548,0.9706,7072,5,0
122,掠奪者任務,0.545,0.9805,6496,5,0
123,掠奪者任務,0.543,1.0000,5328,5,0
