1,掠奪者任務,1.000,-0.1119,13440,0,13
2,掠奪者任務,0.998,-0.1119,13440,0,10
3,掠奪者任務,0.996,-0.1119,13440,0,13
4,掠奪者任務,0.994,0.0067,13440,4,11
5,掠奪者任務,0.992,0.3074,6016,5,6
6,掠奪者任務,0.990,-0.1119,13440,0,20
7,掠奪者任務,0.988,0.2868,9728,5,17
8,掠奪者任務,0.986,0.3072,6096,5,7
9,掠奪者任務,0.984,0.3024,7648,5,12
10,掠奪者任務,0.982,0.3046,7072,5,3
11,掠奪者任務,0.980,0.3032,7456,5,10
12,掠奪者任務,0.978,0.0067,13440,4,8
13,掠奪者任務,0.976,-0.1119,13440,0,12
14,掠奪者任務,0.974,0.0067,13440,4,12
15,掠奪者任務,0.972,-0.0824,13440,0,14
16,掠奪者任務,0.970,-0.1119,13440,0,14
17,掠奪者任務,0.968,0.0365,13440,2,9
