Game_Loop,Minerals,Vespene,Workers,Ideal,Barracks,Action_ID
16.0,50,0,12,0,0,14
32.0,50,0,12,0,0,45
48.0,50,0,12,0,0,45
64.0,50,0,12,0,0,45
80.0,50,0,12,0,0,45
96.0,50,0,12,0,0,45
112.0,50,0,12,0,0,45
128.0,55,0,12,0,0,45
144.0,60,0,12,0,0,45
160.0,80,0,12,0,0,45
176.0,95,0,12,0,0,45
192.0,105,0,12,0,0,45
208.0,105,0,12,0,0,1
240.0,15,0,12,0,0,45
272.0,25,0,12,0,0,45
288.0,40,0,12,0,0,45
304.0,50,0,12,0,0,45
320.0,60,0,12,0,0,14
336.0,65,0,12,0,0,14
352.0,65,0,12,0,0,14
368.0,70,0,12,0,0,14
384.0,75,0,12,0,0,14
400.0,90,0,12,0,0,14
416.0,100,0,12,0,0,45
432.0,110,0,12,0,0,45
448.0,115,0,12,0,0,45
464.0,120,0,12,0,0,45
480.0,130,0,12,0,0,45
496.0,135,0,12,0,0,14
512.0,140,0,12,0,0,45
528.0,150,0,12,0,0,45
544.0,160,0,12,0,0,45
560.0,170,0,12,0,0,45
576.0,170,0,12,0,0,45
592.0,185,0,12,0,0,45
608.0,190,0,12,0,0,2
720.0,240,0,12,0,0,2
800.0,290,0,12,0,0,2
816.0,290,0,12,0,0,2
832.0,290,0,12,0,0,2
848.0,200,0,12,0,0,1
864.0,155,0,12,0,0,2
880.0,160,0,12,0,0,14
896.0,170,0,12,0,1,14
912.0,185,0,12,0,1,14
928.0,190,0,12,0,1,14
944.0,190,0,12,0,1,11
976.0,130,0,12,0,1,11
992.0,135,0,12,0,1,42
1024.0,150,0,12,0,1,42
1056.0,160,0,12,0,1,16
1184.0,205,0,12,0,1,16
1312.0,250,0,12,0,1,42
1344.0,260,0,12,0,1,16
1472.0,295,0,12,0,1,1
1504.0,205,0,12,0,1,16
1632.0,240,16,12,0,1,16
1760.0,270,32,12,0,1,16
1888.0,300,48,12,0,1,45
1920.0,310,52,12,0,1,1
1952.0,225,56,12,0,1,45
1984.0,225,56,12,0,1,41
2016.0,235,56,12,0,1,14
2032.0,235,60,12,0,1,45
2064.0,255,64,12,0,1,41
2096.0,255,68,12,0,1,34
2128.0,215,47,12,0,1,14
2144.0,220,47,12,0,1,18
2272.0,260,63,12,0,1,34
2384.0,300,79,12,0,1,34
2496.0,340,91,12,0,1,34
2608.0,280,78,12,0,1,18
2624.0,280,82,12,0,1,34
2736.0,220,69,12,0,1,18
2752.0,225,73,12,0,1,34
2864.0,270,85,12,0,1,14
2880.0,270,89,12,0,1,14
2896.0,220,89,12,0,1,14
2912.0,180,93,12,0,1,14
2928.0,185,93,12,0,1,34
3040.0,220,109,12,0,1,14
3056.0,230,109,12,0,1,18
3088.0,150,88,12,0,1,34
3200.0,190,100,13,0,1,34
3312.0,120,91,13,0,1,18
3328.0,35,66,13,0,1,18
3344.0,35,70,13,0,1,42
3360.0,35,70,13,0,1,45
3392.0,55,74,13,0,1,42
3408.0,55,78,13,0,1,14
3424.0,60,78,14,0,1,34
3536.0,0,69,14,0,1,18
3552.0,15,69,14,0,1,42
3568.0,25,73,14,0,1,42
3584.0,35,73,14,0,1,42
3600.0,40,73,14,0,1,42
3616.0,45,77,14,0,1,42
3632.0,50,77,14,0,1,42
3648.0,50,81,14,0,1,34
3760.0,100,93,14,0,1,34
3872.0,50,84,14,0,1,18
3888.0,55,84,14,0,1,34
4000.0,105,100,14,0,1,34
4112.0,55,87,14,0,1,18
4128.0,60,87,14,0,1,34
4240.0,105,103,14,0,1,18
4368.0,155,119,14,0,1,18
4496.0,205,135,14,0,1,18
4544.0,140,114,14,0,1,34
