Game_Loop,Minerals,Vespene,Workers,Ideal,Barracks,Action_ID,P_ID
16.0,50,0,12,0,0,14,81
32.0,50,0,12,0,0,14,68
48.0,50,0,12,0,0,14,49
64.0,50,0,12,0,0,14,91
80.0,50,0,12,0,0,45,77
96.0,50,0,12,0,0,14,10
112.0,50,0,12,0,0,14,54
128.0,55,0,12,0,0,14,45
144.0,60,0,12,0,0,14,58
160.0,80,0,12,0,0,14,83
176.0,95,0,12,0,0,45,23
192.0,105,0,12,0,0,14,62
208.0,105,0,12,0,0,1,19
224.0,10,0,12,0,0,14,81
240.0,15,0,12,0,0,45,90
256.0,15,0,12,0,0,44,23
272.0,25,0,12,0,0,45,96
288.0,40,0,12,0,0,44,14
304.0,50,0,12,0,0,45,11
320.0,60,0,12,0,0,14,54
336.0,65,0,12,0,0,14,73
352.0,65,0,12,0,0,14,29
368.0,70,0,12,0,0,45,12
384.0,70,0,12,0,0,14,42
400.0,90,0,12,0,0,45,64
416.0,100,0,12,0,0,14,39
432.0,110,0,12,0,0,14,16
448.0,115,0,12,0,0,45,39
464.0,120,0,12,0,0,14,33
480.0,125,0,12,0,0,45,23
496.0,130,0,12,0,0,1,97
512.0,35,0,12,0,0,14,80
528.0,50,0,12,0,0,45,90
544.0,60,0,12,0,0,14,66
560.0,65,0,12,0,0,14,62
576.0,65,0,12,0,0,14,39
592.0,75,0,12,0,0,45,83
608.0,80,0,12,0,0,14,59
624.0,80,0,12,0,0,14,50
640.0,85,0,12,0,0,45,62
656.0,105,0,12,0,0,14,92
672.0,110,0,12,0,0,1,85
688.0,15,0,12,0,0,14,8
704.0,15,0,12,0,0,45,41
720.0,20,0,12,0,0,44,31
736.0,25,0,12,0,0,45,11
752.0,35,0,12,0,0,44,7
768.0,40,0,12,0,0,45,8
784.0,50,0,12,0,0,41,40
800.0,60,0,12,0,0,41,49
816.0,60,0,12,0,0,14,85
832.0,60,0,12,0,0,45,55
848.0,70,0,12,0,0,14,94
864.0,75,0,12,0,0,45,59
880.0,80,0,12,0,0,14,1
896.0,95,0,12,0,0,45,24
912.0,100,0,12,0,0,14,39
928.0,110,0,12,0,0,45,4
944.0,110,0,12,0,0,1,23
960.0,15,0,12,0,0,1,65
976.0,25,0,12,0,0,45,92
992.0,30,0,12,0,0,44,19
1008.0,30,0,12,0,0,45,21
1024.0,40,0,12,0,0,44,3
1040.0,50,0,12,0,0,45,43
1056.0,55,0,12,0,0,14,57
1072.0,55,0,12,0,0,14,65
1088.0,60,0,12,0,0,45,93
1104.0,70,0,12,0,0,41,44
1120.0,75,0,12,0,0,14,42
1136.0,90,0,12,0,0,41,7
1152.0,95,0,12,0,0,45,8
1168.0,95,0,12,0,0,14,20
1184.0,100,0,12,0,0,41,38
1200.0,100,0,12,0,0,1,37
1216.0,5,0,12,0,0,1,89
1232.0,15,0,12,0,0,45,94
1248.0,25,0,12,0,0,41,14
1264.0,35,0,12,0,0,41,6
1280.0,40,0,12,0,0,41,23
1296.0,40,0,12,0,0,45,25
1312.0,45,0,12,0,0,44,65
1328.0,50,0,12,0,0,45,55
1344.0,60,0,12,0,0,14,26
1360.0,65,0,12,0,0,45,85
1376.0,85,0,12,0,0,14,24
1392.0,90,0,12,0,0,45,33
1408.0,90,0,12,0,0,14,73
1424.0,90,0,12,0,0,45,26
1440.0,100,0,12,0,0,14,33
1456.0,110,0,12,0,0,1,38
1472.0,15,0,12,0,0,14,23
1488.0,15,0,12,0,0,41,87
1504.0,25,0,12,0,0,41,23
1520.0,30,0,12,0,0,45,21
1536.0,35,0,12,0,0,44,31
1552.0,40,0,12,0,0,45,36
1568.0,50,0,12,0,0,44,1
1584.0,60,0,12,0,0,45,14
1600.0,60,0,12,0,0,14,41
1616.0,60,0,12,0,0,45,25
1632.0,80,0,12,0,0,14,29
1648.0,80,0,12,0,0,45,34
1664.0,90,0,12,0,0,14,80
1680.0,95,0,12,0,0,14,41
1696.0,100,0,12,0,0,45,32
1712.0,110,0,12,0,0,1,94
1728.0,15,0,12,0,0,45,78
1744.0,25,0,12,0,0,44,98
1760.0,30,0,12,0,0,45,89
1776.0,35,0,12,0,0,41,75
1792.0,35,0,12,0,0,45,83
1808.0,40,0,12,0,0,41,2
1824.0,45,0,12,0,0,45,27
1840.0,60,0,12,0,0,41,38
1856.0,60,0,12,0,0,14,86
1872.0,75,0,12,0,0,14,5
1888.0,80,0,12,0,0,45,23
1904.0,80,0,12,0,0,14,85
1920.0,80,0,12,0,0,45,35
1936.0,90,0,12,0,0,14,91
1952.0,100,0,12,0,0,14,3
1968.0,105,0,12,0,0,45,95
1984.0,120,0,12,0,0,1,44
2000.0,20,0,12,0,0,45,73
2016.0,25,0,12,0,0,41,14
2032.0,30,0,12,0,0,41,83
2048.0,30,0,12,0,0,45,2
2064.0,35,0,12,0,0,44,94
2080.0,45,0,12,0,0,45,36
2096.0,50,0,12,0,0,44,56
2112.0,55,0,12,0,0,14,100
2128.0,60,0,12,0,0,45,23
2144.0,70,0,12,0,0,14,23
2160.0,75,0,12,0,0,45,44
2176.0,75,0,12,0,0,14,21
2192.0,90,0,12,0,0,45,55
2208.0,95,0,12,0,0,14,46
2224.0,100,0,12,0,0,14,19
2240.0,110,0,12,0,0,1,13
2256.0,10,0,12,0,0,1,16
2272.0,15,0,12,0,0,45,87
2288.0,25,0,12,0,0,44,6
2304.0,30,0,12,0,0,45,41
2320.0,35,0,12,0,0,41,5
2336.0,35,0,12,0,0,41,53
2352.0,50,0,12,0,0,45,37
2368.0,55,0,12,0,0,14,34
2384.0,60,0,12,0,0,45,100
2400.0,70,0,12,0,0,14,32
2416.0,75,0,12,0,0,45,87
2432.0,75,0,12,0,0,14,23
2448.0,85,0,12,0,0,45,89
2464.0,90,0,12,0,0,14,98
2480.0,95,0,12,0,0,14,69
2496.0,105,0,12,0,0,45,89
2512.0,115,0,12,0,0,1,47
2528.0,20,0,12,0,0,45,17
2544.0,20,0,12,0,0,41,41
2560.0,30,0,12,0,0,45,80
2576.0,35,0,12,0,0,44,67
2592.0,40,0,12,0,0,45,54
2608.0,50,0,12,0,0,44,49
2624.0,60,0,12,0,0,45,23
2640.0,60,0,12,0,0,14,24
2656.0,65,0,12,0,0,14,50
2672.0,70,0,12,0,0,45,23
2688.0,85,0,12,0,0,14,69
2704.0,85,0,12,0,0,45,50
2720.0,100,0,12,0,0,14,24
