Episode,Task,Epsilon,Total_Reward,End_Loop,Marauders,Marines
1,掠奪者任務,1.000,-594,13488,0,17
2,掠奪者任務,0.990,-393,13440,0,12
3,掠奪者任務,0.980,-346,13488,0,11
4,掠奪者任務,0.970,-637,13472,0,11
5,掠奪者任務,0.961,2356,13536,3,12
6,掠奪者任務,0.951,9171,7184,5,11
7,掠奪者任務,0.941,-826,13440,0,15
8,掠奪者任務,0.932,342,13440,1,15
9,掠奪者任務,0.923,-834,13472,0,15
10,掠奪者任務,0.914,-752,13536,0,13
11,掠奪者任務,0.904,9616,6224,5,5
12,掠奪者任務,0.895,9538,6352,5,4
13,掠奪者任務,0.886,10007,5344,5,3
14,掠奪者任務,0.878,-686,13440,0,12
15,掠奪者任務,0.869,9027,7344,5,6
16,掠奪者任務,0.860,8314,7200,5,6
17,掠奪者任務,0.851,-490,13472,0,14
18,掠奪者任務,0.843,531,13504,1,12
19,掠奪者任務,0.835,2802,13488,4,10
20,掠奪者任務,0.826,-745,13456,0,13
21,掠奪者任務,0.818,-636,13504,0,10
22,掠奪者任務,0.810,9264,7024,5,7
23,掠奪者任務,0.802,9304,6720,5,5
24,掠奪者任務,0.794,-756,13504,0,12
25,掠奪者任務,0.786,1595,13488,2,8
26,掠奪者任務,0.778,-307,13504,0,9
27,掠奪者任務,0.770,8343,5328,5,1
28,掠奪者任務,0.762,9073,7344,5,7
29,掠奪者任務,0.755,2248,13440,3,15
30,掠奪者任務,0.747,9347,5008,5,2
31,掠奪者任務,0.740,9452,6528,5,6
32,掠奪者任務,0.732,9474,6384,5,4
33,掠奪者任務,0.725,9067,7328,5,9
