Game_Loop,Minerals,Vespene,Workers,Ideal,Barracks,Action_ID,P_ID
16.0,50,0,12,0,0,45,15
32.0,50,0,12,0,0,14,15
48.0,50,0,12,0,0,45,15
64.0,0,0,12,0,0,14,17
80.0,0,0,12,0,0,45,15
96.0,0,0,12,0,0,44,15
112.0,0,0,12,0,0,45,2
128.0,5,0,12,0,0,44,79
144.0,10,0,12,0,0,45,79
160.0,30,0,12,0,0,44,24
176.0,45,0,12,0,0,45,77
192.0,55,0,12,0,0,44,15
208.0,55,0,12,0,0,45,15
224.0,10,0,12,0,0,14,83
240.0,15,0,12,0,0,45,15
256.0,15,0,12,0,0,44,15
272.0,30,0,12,0,0,45,61
288.0,45,0,12,0,0,44,15
304.0,55,0,12,0,0,45,46
320.0,15,0,13,0,0,14,15
336.0,20,0,13,0,0,45,19
352.0,20,0,13,0,0,44,16
368.0,25,0,13,0,0,45,81
384.0,30,0,13,0,0,44,61
400.0,50,0,13,0,0,45,91
416.0,10,0,13,0,0,14,15
432.0,20,0,13,0,0,45,3
448.0,25,0,13,0,0,44,15
464.0,35,0,13,0,0,45,16
480.0,40,0,13,0,0,44,15
496.0,45,0,13,0,0,45,74
512.0,55,0,13,0,0,44,45
528.0,20,0,13,0,0,14,15
544.0,25,0,13,0,0,45,15
560.0,40,0,13,0,0,44,90
576.0,40,0,13,0,0,45,55
592.0,55,0,14,0,0,44,100
608.0,60,0,14,0,0,45,51
624.0,60,0,14,0,0,44,15
640.0,65,0,14,0,0,45,15
656.0,85,0,14,0,0,44,93
672.0,95,0,14,0,0,45,85
688.0,110,0,14,0,0,11,15
704.0,40,0,14,0,0,11,29
720.0,45,0,14,0,0,45,15
736.0,50,0,14,0,0,44,77
752.0,60,0,14,0,0,45,15
768.0,60,0,14,0,0,42,87
784.0,75,0,14,0,0,42,15
800.0,95,0,14,0,0,42,74
816.0,95,0,14,0,0,42,15
832.0,100,0,14,0,0,45,10
848.0,105,0,14,0,0,1,15
864.0,110,0,15,0,0,1,15
880.0,20,0,15,0,0,1,15
896.0,20,0,15,0,0,45,15
912.0,30,0,15,0,0,44,15
928.0,45,0,15,0,0,45,16
944.0,45,0,15,0,0,44,15
960.0,50,0,15,0,0,45,91
976.0,60,0,15,0,0,44,12
992.0,65,0,15,0,0,45,15
1008.0,75,0,15,0,0,44,82
1024.0,80,0,15,0,0,45,26
1040.0,80,0,15,0,0,44,15
1056.0,95,0,15,0,0,45,15
1072.0,100,0,15,0,0,44,15
1088.0,105,0,15,0,0,1,41
1104.0,20,0,15,0,0,45,53
1120.0,25,0,15,0,0,44,15
1136.0,30,0,15,0,0,45,15
1152.0,30,0,15,0,0,44,96
1168.0,40,0,15,0,0,45,15
1184.0,55,0,15,0,0,44,15
1200.0,55,0,15,0,0,45,15
1216.0,60,0,15,0,0,44,10
1232.0,70,0,15,0,0,45,92
1248.0,80,0,15,0,0,44,15
1264.0,80,0,15,0,0,45,51
1280.0,85,0,15,0,0,44,57
1296.0,95,4,15,0,0,45,40
1312.0,105,4,15,0,0,44,15
1328.0,110,8,15,0,0,45,15
1344.0,120,8,15,0,0,1,15
1360.0,120,8,15,0,0,1,15
1376.0,135,12,15,0,0,1,24
1392.0,35,16,15,0,0,1,7
1408.0,40,16,15,0,0,45,15
1424.0,55,20,15,0,0,41,15
1440.0,55,20,15,0,0,41,39
1456.0,60,20,15,0,0,41,64
1472.0,70,24,15,0,0,45,9
1488.0,75,24,15,0,0,14,15
1504.0,35,28,15,0,0,14,15
1520.0,35,28,15,0,0,45,15
1536.0,40,32,15,0,0,44,15
1552.0,50,32,15,0,0,45,10
1568.0,5,36,15,0,0,14,15
1584.0,15,36,15,0,0,45,35
1600.0,25,40,15,0,0,44,43
1616.0,30,40,15,0,0,45,32
1632.0,40,44,15,0,0,44,18
1648.0,40,44,15,0,0,41,47
1664.0,45,48,16,0,0,45,54
1680.0,50,48,16,0,0,44,85
1696.0,60,48,16,0,0,14,15
1712.0,25,52,16,0,0,14,27
1728.0,30,52,16,0,0,45,71
1744.0,35,56,16,0,0,44,85
1760.0,40,56,16,0,0,45,56
1776.0,40,60,16,0,0,44,15
1792.0,55,60,16,0,0,45,15
1808.0,10,64,16,0,0,14,15
1824.0,25,64,16,0,0,45,79
1840.0,40,68,16,0,0,44,15
1856.0,45,68,16,0,0,45,82
1872.0,45,72,16,0,0,44,69
1888.0,50,72,16,0,0,45,15
1904.0,65,76,16,0,0,14,15
1920.0,70,76,16,0,0,45,35
1936.0,80,80,17,0,0,34,30
1952.0,50,80,17,0,0,14,74
1968.0,55,84,17,0,0,14,53
1984.0,55,84,17,0,0,41,15
2000.0,55,88,17,0,0,45,68
2016.0,65,88,17,0,0,14,15
2032.0,75,92,17,0,0,34,99
2048.0,80,92,17,0,0,14,40
2064.0,100,96,17,0,0,14,89
2080.0,110,96,17,0,0,14,15
2096.0,115,100,17,0,0,14,15
2112.0,115,100,17,0,0,14,15
2128.0,120,104,17,0,0,14,15
2144.0,135,104,17,0,0,14,15
2160.0,155,108,17,0,0,34,16
2176.0,160,108,17,0,0,14,15
2192.0,180,112,17,0,0,14,85
2208.0,180,112,18,0,0,14,84
2224.0,135,116,18,0,0,14,15
2240.0,140,116,18,0,0,14,46
2256.0,140,116,18,0,0,14,59
2272.0,165,120,18,0,0,14,45
2288.0,175,120,18,0,0,14,15
2304.0,180,124,18,0,0,45,26
2320.0,200,124,18,0,0,34,99
2336.0,205,128,18,0,0,14,19
2352.0,210,128,18,0,0,14,15
2368.0,210,132,18,0,0,14,15
2384.0,225,132,18,0,0,45,48
2400.0,245,136,18,0,0,2,88
2416.0,100,136,18,0,0,14,15
2432.0,100,140,18,0,0,45,40
2448.0,125,140,18,0,0,14,15
2464.0,125,144,18,0,0,14,15
2480.0,130,144,19,0,0,14,15
2496.0,140,148,19,0,1,45,27
2512.0,160,148,19,0,1,1,15
2528.0,165,152,19,0,1,45,15
2544.0,170,152,19,0,1,2,25
2560.0,190,156,19,0,1,45,15
2576.0,195,156,19,0,1,2,12
2592.0,200,160,19,0,1,45,15
2608.0,210,160,19,0,1,1,15
2624.0,220,164,19,0,1,45,15
2640.0,80,164,19,0,1,2,6
2656.0,90,168,19,0,1,34,64
2672.0,95,168,19,0,1,45,15
