Game_Loop,Minerals,Vespene,Workers,Ideal,Barracks,Action_ID
16.0,50,0,12,0,0,45
48.0,50,0,12,0,0,45
64.0,50,0,12,0,0,14
80.0,50,0,12,0,0,14
96.0,50,0,12,0,0,14
112.0,50,0,12,0,0,14
128.0,55,0,12,0,0,14
144.0,60,0,12,0,0,14
160.0,80,0,12,0,0,14
176.0,95,0,12,0,0,45
192.0,105,0,12,0,0,14
208.0,105,0,12,0,0,45
224.0,110,0,12,0,0,1
256.0,15,0,12,0,0,45
288.0,40,0,12,0,0,45
304.0,50,0,12,0,0,45
320.0,60,0,12,0,0,45
336.0,65,0,12,0,0,14
352.0,65,0,12,0,0,14
368.0,70,0,12,0,0,45
384.0,75,0,12,0,0,14
400.0,90,0,12,0,0,14
416.0,100,0,12,0,0,14
432.0,110,0,12,0,0,45
448.0,115,0,12,0,0,45
464.0,120,0,12,0,0,1
496.0,35,0,12,0,0,45
528.0,45,0,12,0,0,45
544.0,55,0,12,0,0,45
560.0,65,0,12,0,0,14
576.0,65,0,12,0,0,45
592.0,80,0,12,0,0,14
608.0,85,0,12,0,0,45
624.0,85,0,12,0,0,45
640.0,90,0,12,0,0,14
656.0,105,0,12,0,0,45
672.0,110,0,12,0,0,45
688.0,120,0,12,0,0,1
720.0,25,0,12,0,0,45
752.0,40,0,12,0,0,45
768.0,40,0,12,0,0,45
784.0,50,0,12,0,0,41
816.0,70,0,12,0,0,45
848.0,75,0,12,0,0,14
864.0,80,0,12,0,0,45
880.0,85,0,12,0,0,45
896.0,100,0,12,0,0,45
912.0,115,0,12,0,0,14
928.0,120,0,12,0,0,45
944.0,120,0,12,0,0,45
960.0,125,0,12,0,0,14
976.0,130,0,12,0,0,14
992.0,135,0,12,0,0,14
1008.0,145,0,12,0,0,14
1024.0,155,0,12,0,0,14
1040.0,160,0,12,0,0,2
1072.0,20,0,12,0,0,45
1104.0,35,0,12,0,0,45
1120.0,40,0,12,0,1,45
1136.0,45,0,12,0,1,45
1152.0,55,0,12,0,0,41
1184.0,65,0,12,0,0,14
1200.0,65,0,12,0,0,14
1216.0,80,0,12,0,1,45
1232.0,85,0,12,0,1,45
1248.0,85,0,12,0,1,16
1376.0,140,0,12,0,1,41
1408.0,0,0,12,0,1,2
1424.0,165,0,12,0,1,41
1440.0,15,0,12,0,1,2
1456.0,170,0,12,0,1,41
1472.0,100,0,12,0,1,11
1488.0,105,0,12,0,1,14
1504.0,115,0,12,0,1,16
1632.0,175,0,12,0,1,41
1664.0,175,0,12,0,1,45
1696.0,190,0,12,0,1,42
1728.0,50,0,12,0,1,2
1744.0,65,0,12,0,1,16
1872.0,110,0,12,0,2,45
1904.0,115,0,12,0,2,16
2016.0,160,0,12,0,2,16
2144.0,210,4,12,0,2,16
2192.0,135,8,12,0,2,16
2208.0,135,8,12,0,2,45
2240.0,150,8,12,0,2,16
2352.0,200,12,12,0,2,16
2480.0,250,20,12,0,2,14
2496.0,250,20,12,0,2,45
2528.0,250,20,12,0,2,41
2560.0,280,24,12,0,2,45
2592.0,245,24,12,0,2,14
2608.0,245,24,12,0,2,42
2640.0,250,24,12,0,2,45
2672.0,275,28,12,0,2,45
2688.0,280,28,12,0,2,45
2704.0,280,28,12,0,2,45
2720.0,290,32,12,0,2,45
2736.0,290,32,12,0,2,45
2752.0,295,36,12,0,2,42
2784.0,310,36,12,0,2,45
2816.0,320,40,12,0,2,45
2832.0,330,40,12,0,2,45
2848.0,335,44,13,0,2,45
2864.0,340,44,13,0,2,45
2880.0,340,48,13,0,2,45
2896.0,345,48,13,0,2,45
2912.0,360,52,13,0,2,45
2928.0,360,52,13,0,2,16
2992.0,335,60,13,0,2,14
3008.0,340,60,13,0,2,45
3024.0,350,64,13,0,2,45
3040.0,355,64,13,0,2,45
3056.0,360,68,13,0,2,45
3072.0,365,68,13,0,2,45
3088.0,375,72,13,0,2,45
3104.0,385,72,13,0,2,45
3120.0,385,76,13,0,2,41
3152.0,395,80,13,0,2,45
3184.0,405,84,13,0,2,45
3200.0,415,84,13,0,2,45
3216.0,430,88,13,0,2,45
3232.0,430,88,13,0,2,45
3248.0,430,92,13,0,2,45
3264.0,440,92,13,0,2,45
3280.0,445,92,13,0,2,42
3296.0,450,96,13,0,2,45
3312.0,465,96,13,0,2,45
3328.0,465,100,13,0,2,45
3344.0,425,100,13,0,2,14
3360.0,425,104,13,0,2,45
3376.0,435,104,13,0,2,45
3392.0,445,108,13,0,2,34
3424.0,410,87,13,0,2,18
3552.0,460,103,13,0,2,18
3680.0,515,115,14,0,2,18
3808.0,570,131,14,0,2,34
3920.0,575,147,14,0,2,16
3936.0,575,147,14,0,2,34
4048.0,635,163,14,0,2,14
4064.0,645,163,14,0,2,45
4096.0,655,167,14,0,2,18
4208.0,655,158,14,0,2,34
4224.0,665,158,14,0,2,14
4240.0,675,162,14,0,2,34
4352.0,625,149,14,0,2,18
4368.0,635,149,14,0,2,34
4480.0,590,140,14,0,2,18
4496.0,590,140,14,0,2,14
4512.0,495,119,14,0,2,18
4528.0,510,119,14,0,2,14
4544.0,520,123,14,0,2,45
4576.0,535,127,14,0,2,42
4592.0,540,127,14,0,2,34
4704.0,540,143,14,0,2,16
4720.0,550,143,14,0,2,14
4736.0,560,147,14,0,2,34
4848.0,515,134,14,0,2,18
4864.0,515,134,14,0,2,42
4880.0,415,113,14,0,2,18
4896.0,425,113,14,0,2,34
5008.0,480,129,14,0,2,34
5120.0,430,116,14,0,2,18
5136.0,435,120,14,0,2,14
5152.0,445,120,14,0,2,42
5168.0,465,124,14,0,2,34
5280.0,510,136,14,0,2,34
5392.0,560,148,14,0,2,45
5424.0,580,152,14,0,2,45
5440.0,590,156,14,0,2,16
5488.0,505,160,14,0,2,16
5504.0,510,164,14,0,2,14
5520.0,525,164,14,0,2,16
5584.0,455,172,14,0,2,16
5600.0,460,176,14,0,2,34
5712.0,515,188,14,0,2,34
5824.0,515,204,14,0,2,16
