Game_Loop,Minerals,Vespene,Workers,Ideal,Barracks,Action_ID
16.0,50,0,12,0,0,45
48.0,50,0,12,0,0,14
64.0,50,0,12,0,0,14
80.0,50,0,12,0,0,45
96.0,50,0,12,0,0,14
112.0,50,0,12,0,0,14
128.0,55,0,12,0,0,14
144.0,60,0,12,0,0,45
160.0,80,0,12,0,0,14
176.0,95,0,12,0,0,45
192.0,100,0,12,0,0,14
208.0,105,0,12,0,0,1
240.0,15,0,12,0,0,1
256.0,15,0,12,0,0,45
288.0,40,0,12,0,0,45
304.0,50,0,12,0,0,45
320.0,60,0,12,0,0,45
336.0,65,0,12,0,0,14
352.0,65,0,12,0,0,14
368.0,70,0,12,0,0,14
384.0,75,0,12,0,0,45
400.0,95,0,12,0,0,45
416.0,100,0,12,0,0,45
432.0,110,0,12,0,0,14
448.0,120,0,12,0,0,1
480.0,30,0,12,0,0,45
512.0,35,0,12,0,0,45
528.0,50,0,12,0,0,45
544.0,60,0,12,0,0,14
560.0,70,0,12,0,0,45
576.0,75,0,12,0,0,45
592.0,80,0,12,0,0,45
608.0,85,0,12,0,0,45
624.0,85,0,12,0,0,45
640.0,100,0,12,0,0,45
656.0,110,0,12,0,0,45
672.0,120,0,12,0,0,45
688.0,125,0,12,0,0,14
704.0,130,0,12,0,0,45
720.0,135,0,12,0,0,45
736.0,140,0,12,0,0,45
752.0,150,0,12,0,0,45
768.0,160,0,12,0,0,1
800.0,185,0,12,0,0,14
816.0,185,0,12,0,0,2
848.0,45,0,12,0,0,2
864.0,55,0,12,0,0,45
896.0,70,0,12,0,1,16
1008.0,115,0,12,0,1,11
1040.0,55,0,12,0,1,14
1056.0,60,0,12,0,1,14
1072.0,65,0,12,0,1,42
1104.0,75,0,12,0,1,42
1136.0,85,0,12,0,1,16
1264.0,120,0,12,0,1,42
1296.0,130,0,12,0,1,42
1312.0,130,0,12,0,1,42
1328.0,140,0,12,0,1,42
1344.0,145,0,12,0,1,42
1360.0,145,0,12,0,1,42
1376.0,155,0,12,0,1,42
1392.0,160,0,12,0,1,42
1408.0,160,0,12,0,1,42
1424.0,160,0,12,0,1,42
1440.0,160,0,12,0,1,42
1456.0,170,0,12,0,1,42
1472.0,175,0,12,0,1,14
1488.0,180,0,12,0,1,42
1504.0,185,0,12,0,1,42
