6480.0,3200,476,18,0,0,1,95
6496.0,3215,476,18,0,0,1,95
6512.0,3230,476,18,0,0,1,95
6528.0,3230,480,18,0,0,1,95
6544.0,3250,480,18,0,0,1,95
6560.0,3270,480,18,0,0,1,95
6576.0,3275,484,18,0,0,1,95
6592.0,3280,484,18,0,0,1,95
6608.0,3285,488,18,0,0,1,95
6624.0,3305,488,18,0,0,1,95
6640.0,3310,488,18,0,0,1,95
6656.0,3320,492,18,0,0,1,95
6672.0,3335,492,18,0,0,1,95
6688.0,3350,492,18,0,0,1,95
6704.0,3355,496,18,0,0,1,95
6720.0,3365,496,18,0,0,1,95
6736.0,3365,496,18,0,0,1,95
6752.0,3385,500,18,0,0,1,95
6768.0,3395,500,18,0,0,1,95
6784.0,3405,504,18,0,0,1,95
6800.0,3415,504,18,0,0,1,95
6816.0,3435,504,18,0,0,1,95
6832.0,3440,508,18,0,0,1,95
6848.0,3440,508,18,0,0,1,95
6864.0,3460,508,18,0,0,14,95
6880.0,3465,512,18,0,0,34,95
6896.0,3425,512,18,0,0,14,95
6912.0,3395,512,18,0,0,14,95
6928.0,3350,516,18,0,0,14,95
6944.0,3310,516,18,0,0,14,95
6960.0,3270,520,18,0,0,14,95
6976.0,3280,520,18,0,0,14,95
6992.0,3295,520,18,0,0,14,95
7008.0,3300,524,18,0,0,14,95
7024.0,3310,524,18,0,0,14,95
7040.0,3330,524,18,0,0,14,95
7056.0,3335,528,18,0,0,45,54
7072.0,3345,528,18,0,0,14,95
7088.0,3355,528,18,0,0,34,95
7104.0,3365,532,18,0,0,14,95
7120.0,3370,532,18,0,0,14,95
7136.0,3385,536,18,0,0,14,95
7152.0,3400,536,19,0,0,14,95
7168.0,3405,536,19,0,0,34,95
7184.0,3420,540,19,0,0,45,95
7200.0,3425,540,19,0,0,34,95
7216.0,3440,540,19,0,0,34,95
7232.0,3450,544,19,0,0,34,95
7248.0,3455,544,19,0,0,34,95
7264.0,3465,544,19,0,0,34,95
7280.0,3485,548,19,0,0,34,95
7296.0,3490,548,19,0,0,34,95
7312.0,3505,552,19,0,0,34,95
7328.0,3510,552,19,0,0,34,95
7344.0,3520,552,19,0,0,34,95
7360.0,3535,556,19,0,0,34,95
7376.0,3535,556,19,0,0,34,95
7392.0,3555,556,19,0,0,34,95
7408.0,3570,560,19,0,0,34,95
7424.0,3575,560,20,0,0,34,95
