Game_Loop,Minerals,Vespene,Workers,Ideal,Barracks,Action_ID
16.0,50,0,12,0,0,45
48.0,50,0,12,0,0,14
64.0,50,0,12,0,0,14
80.0,50,0,12,0,0,14
96.0,50,0,12,0,0,14
112.0,50,0,12,0,0,14
128.0,55,0,12,0,0,14
144.0,60,0,12,0,0,14
160.0,80,0,12,0,0,14
176.0,95,0,12,0,0,14
192.0,105,0,12,0,0,14
208.0,105,0,12,0,0,1
240.0,15,0,12,0,0,45
272.0,25,0,12,0,0,45
288.0,40,0,12,0,0,45
304.0,50,0,12,0,0,45
320.0,60,0,12,0,0,14
336.0,65,0,12,0,0,14
352.0,65,0,12,0,0,14
368.0,70,0,12,0,0,14
384.0,75,0,12,0,0,14
400.0,90,0,12,0,0,14
416.0,100,0,12,0,0,14
432.0,110,0,12,0,0,45
448.0,115,0,12,0,0,45
464.0,120,0,12,0,0,14
480.0,130,0,12,0,0,45
496.0,135,0,12,0,0,45
512.0,140,0,12,0,0,45
528.0,150,0,12,0,0,14
544.0,160,0,12,0,0,45
560.0,170,0,12,0,0,45
576.0,170,0,12,0,0,45
592.0,185,0,12,0,0,45
608.0,190,0,12,0,0,45
624.0,190,0,12,0,0,45
640.0,195,0,12,0,0,2
752.0,255,0,12,0,0,41
768.0,110,0,12,0,0,2
784.0,120,0,12,0,0,45
816.0,140,0,12,0,1,41
848.0,70,0,12,0,1,11
864.0,75,0,12,0,1,16
992.0,130,0,12,0,1,42
1024.0,155,0,12,0,1,42
1056.0,155,0,12,0,1,42
1088.0,65,0,12,0,1,1
1104.0,70,0,12,0,1,42
1120.0,80,0,12,0,1,16
1248.0,115,0,12,0,1,42
1264.0,125,0,12,0,1,45
1296.0,130,0,12,0,1,16
1408.0,165,0,12,0,1,42
1424.0,175,4,12,0,1,16
1552.0,210,20,12,0,1,16
1680.0,245,32,12,0,1,41
1712.0,260,36,12,0,1,42
1728.0,265,40,12,0,1,16
1856.0,305,56,12,0,1,34
1888.0,270,35,12,0,1,18
2016.0,315,51,12,0,1,18
2144.0,360,63,12,0,1,41
2176.0,375,67,12,0,1,18
2288.0,305,58,12,0,1,2
2320.0,165,62,12,0,1,18
2384.0,90,45,12,0,2,45
2416.0,105,49,12,0,2,42
2432.0,110,49,12,0,2,18
2544.0,150,65,12,0,2,18
2672.0,195,77,12,0,2,18
2800.0,240,93,12,0,2,18
2928.0,280,109,12,0,2,18
3056.0,325,125,12,0,2,18
3184.0,370,141,12,0,2,18
3312.0,420,157,12,0,2,34
3424.0,450,169,12,0,2,18
3552.0,490,185,12,0,1,1
3584.0,515,189,12,0,1,41
3600.0,515,193,12,0,1,34
3712.0,555,205,12,0,1,41
3728.0,555,205,12,0,1,41
3744.0,490,209,12,0,1,11
3760.0,395,209,12,0,1,1
3776.0,395,213,12,0,1,34
3808.0,360,192,12,0,1,18
3936.0,400,208,12,0,1,18
4064.0,445,224,12,0,1,18
4192.0,390,211,12,0,1,18
4208.0,295,190,12,0,1,18
4224.0,310,190,12,0,1,34
4336.0,345,206,12,0,1,1
4368.0,360,210,12,0,1,18
4400.0,160,164,12,0,1,18
4416.0,170,164,12,0,1,1
4448.0,185,168,12,0,1,18
4480.0,95,147,12,0,1,16
4608.0,140,163,12,0,1,34
4720.0,80,150,12,0,1,18
4736.0,85,154,12,0,1,34
4848.0,125,166,12,0,1,45
4880.0,130,170,12,0,2,18
4944.0,55,153,12,0,2,34
5056.0,95,169,12,0,2,34
5168.0,35,156,12,0,2,18
