Game_Loop,Minerals,Vespene,Workers,Ideal,Barracks,Action_ID
16.0,50,0,12,0,0,45
48.0,50,0,12,0,0,14
64.0,50,0,12,0,0,45
80.0,50,0,12,0,0,14
96.0,50,0,12,0,0,14
112.0,50,0,12,0,0,45
128.0,55,0,12,0,0,45
144.0,60,0,12,0,0,14
160.0,80,0,12,0,0,45
176.0,95,0,12,0,0,45
192.0,105,0,12,0,0,14
208.0,105,0,12,0,0,45
224.0,110,0,12,0,0,45
240.0,115,0,12,0,0,45
256.0,115,0,12,0,0,45
272.0,130,0,12,0,0,14
288.0,145,0,12,0,0,45
304.0,155,0,12,0,0,45
320.0,165,0,12,0,0,45
336.0,170,0,12,0,0,45
352.0,170,0,12,0,0,45
368.0,175,0,12,0,0,14
384.0,180,0,12,0,0,45
400.0,200,0,12,0,0,1
432.0,120,0,12,0,0,1
448.0,125,0,12,0,0,45
480.0,135,0,12,0,0,45
496.0,140,0,12,0,0,1
528.0,55,0,12,0,0,45
560.0,75,0,12,0,0,45
576.0,75,0,12,0,0,14
592.0,85,0,12,0,0,45
608.0,90,0,12,0,0,45
624.0,90,0,12,0,0,45
640.0,95,0,12,0,0,45
656.0,115,0,12,0,0,45
672.0,120,0,12,0,0,45
688.0,130,0,12,0,0,45
704.0,135,0,12,0,0,45
720.0,135,0,12,0,0,45
736.0,140,0,12,0,0,45
752.0,150,0,12,0,0,45
768.0,155,0,12,0,0,2
880.0,200,0,12,0,0,2
976.0,90,0,12,0,0,14
992.0,95,0,12,0,0,45
1008.0,105,0,12,0,1,45
1024.0,120,0,12,0,1,1
1056.0,130,0,12,0,1,41
1072.0,60,0,12,0,1,11
1088.0,60,0,12,0,1,16
1216.0,115,0,12,0,1,42
1248.0,120,0,12,0,1,14
1264.0,135,0,12,0,1,42
1296.0,150,0,12,0,1,42
1328.0,160,0,12,0,1,42
1344.0,165,0,12,0,1,42
1360.0,165,0,12,0,1,16
1488.0,200,0,12,0,1,14
1504.0,210,0,12,0,1,45
1520.0,220,0,12,0,1,16
1648.0,260,0,12,0,1,16
1776.0,295,12,12,0,1,16
1904.0,330,28,12,0,1,45
1936.0,345,32,12,0,1,42
1952.0,350,36,12,0,1,16
2064.0,385,48,12,0,1,45
2096.0,385,52,12,0,1,34
2208.0,420,68,12,0,1,34
2320.0,455,80,12,0,1,41
2336.0,455,80,12,0,1,34
2448.0,500,96,12,0,1,42
2464.0,505,96,12,0,1,34
2576.0,540,112,12,0,1,34
2688.0,580,124,12,0,1,34
2800.0,620,136,12,0,1,42
2816.0,620,140,12,0,1,42
2832.0,630,140,12,0,1,42
2848.0,630,144,12,0,1,14
2864.0,595,144,12,0,1,14
2880.0,600,148,12,0,1,42
2896.0,600,148,12,0,1,45
2912.0,605,152,12,0,1,2
2944.0,460,156,12,0,1,16
2976.0,430,160,12,0,1,45
3008.0,435,164,12,0,2,45
3024.0,390,164,12,0,2,14
3040.0,395,168,12,0,2,34
3152.0,425,180,13,0,2,34
3264.0,460,196,13,0,2,34
3376.0,500,208,13,0,2,14
3392.0,510,208,14,0,2,34
3504.0,545,224,14,0,2,34
3616.0,590,236,14,0,2,34
3728.0,630,252,14,0,2,34
3840.0,675,264,14,0,2,16
3968.0,720,280,14,0,2,34
4080.0,715,267,14,0,2,34
4096.0,725,271,14,0,2,18
4224.0,775,287,14,0,2,14
4240.0,780,287,14,0,2,34
4352.0,820,303,14,0,2,34
4464.0,865,315,14,0,2,45
4496.0,870,319,14,0,2,34
4608.0,920,331,14,0,2,34
4720.0,960,347,14,0,2,45
4752.0,975,351,14,0,2,34
4864.0,1015,363,14,0,2,18
4992.0,1065,379,14,0,2,34
5104.0,1105,391,14,0,2,34
5216.0,1150,407,14,0,2,34
5328.0,1190,419,14,0,2,34
5440.0,1235,431,14,0,2,16
5472.0,1095,410,14,0,2,18
5488.0,1005,389,14,0,2,18
5504.0,915,364,14,0,2,18
5520.0,820,343,14,0,2,18
5536.0,830,343,14,0,2,18
5664.0,875,359,14,0,2,41
5696.0,885,363,14,0,2,34
5808.0,925,379,14,0,2,18
5904.0,875,366,14,0,2,18
6032.0,925,378,14,0,2,18
6160.0,980,394,14,0,2,18
6288.0,1035,410,14,0,2,18
6352.0,970,393,14,0,2,18
6480.0,1020,409,14,0,2,18
6608.0,1075,425,14,0,2,1
6640.0,1085,429,14,0,2,16
6768.0,1140,445,14,0,2,11
6800.0,1075,449,14,0,2,18
6832.0,995,428,14,0,2,14
6848.0,1000,428,14,0,2,18
6976.0,1050,444,14,0,2,18
7104.0,1095,460,14,0,2,34
7216.0,1145,472,14,0,2,18
7312.0,1080,459,14,0,2,18
7440.0,1135,479,14,0,2,45
7472.0,1135,483,14,0,2,18
7584.0,1190,503,14,0,2,18
7712.0,1185,523,14,0,2,16
7728.0,1185,527,14,0,2,34
7840.0,1235,547,14,0,2,34
