Game_Loop,Minerals,Vespene,Workers,Ideal,Barracks,Action_ID
16.0,50,0,12,0,0,45
48.0,50,0,12,0,0,45
64.0,50,0,12,0,0,45
80.0,50,0,12,0,0,45
96.0,50,0,12,0,0,45
112.0,50,0,12,0,0,45
128.0,55,0,12,0,0,45
144.0,60,0,12,0,0,45
160.0,80,0,12,0,0,45
176.0,95,0,12,0,0,45
192.0,105,0,12,0,0,45
208.0,105,0,12,0,0,45
224.0,110,0,12,0,0,45
240.0,115,0,12,0,0,45
256.0,115,0,12,0,0,45
272.0,130,0,12,0,0,45
288.0,145,0,12,0,0,45
304.0,155,0,12,0,0,45
320.0,165,0,12,0,0,14
336.0,170,0,12,0,0,45
352.0,170,0,12,0,0,45
368.0,175,0,12,0,0,45
384.0,180,0,12,0,0,45
400.0,200,0,12,0,0,45
416.0,210,0,12,0,0,45
432.0,220,0,12,0,0,1
464.0,125,0,12,0,0,1
480.0,135,0,12,0,0,45
512.0,145,0,12,0,0,45
528.0,160,0,12,0,0,45
544.0,170,0,12,0,0,1
576.0,80,0,12,0,0,45
608.0,90,0,12,0,0,45
624.0,90,0,12,0,0,45
640.0,95,0,12,0,0,45
656.0,115,0,12,0,0,45
672.0,125,0,12,0,0,45
688.0,135,0,12,0,0,45
704.0,140,0,12,0,0,45
720.0,140,0,12,0,0,45
736.0,140,0,12,0,0,45
752.0,150,0,12,0,0,45
768.0,155,0,12,0,0,2
880.0,200,0,12,0,0,2
1008.0,260,0,12,0,0,14
1024.0,125,0,12,0,0,2
1040.0,130,0,12,0,0,45
1072.0,140,0,12,0,1,41
1104.0,70,0,12,0,1,11
1120.0,80,0,12,0,1,16
1248.0,125,0,12,0,1,14
1264.0,140,0,12,0,1,16
1392.0,195,0,12,0,1,42
1424.0,210,0,12,0,1,42
1456.0,210,0,12,0,1,42
1488.0,220,0,12,0,1,42
1504.0,230,0,12,0,1,42
1520.0,235,0,12,0,1,16
1648.0,275,0,12,0,1,16
1776.0,310,8,12,0,1,16
1904.0,350,24,12,0,1,16
2032.0,385,40,12,0,1,16
2144.0,375,52,12,0,1,34
2256.0,410,68,12,0,1,41
2288.0,415,72,12,0,1,2
2304.0,425,72,12,0,1,34
2416.0,465,84,12,0,1,34
2528.0,495,100,12,0,1,34
2640.0,540,112,12,0,1,42
2656.0,550,116,12,0,1,34
2768.0,585,128,12,0,1,45
2800.0,600,132,12,0,1,34
2832.0,555,111,12,0,1,18
2960.0,605,127,12,0,1,18
3088.0,645,143,12,0,1,18
3216.0,695,159,12,0,1,2
3248.0,545,163,12,0,1,18
3280.0,360,117,12,0,1,18
3296.0,265,92,12,0,1,18
3312.0,270,96,12,0,1,34
3424.0,305,108,12,0,2,18
3488.0,225,91,12,0,2,34
3600.0,260,103,12,0,2,34
3712.0,295,119,12,0,2,34
3824.0,325,131,12,0,2,18
3952.0,370,147,12,0,2,14
3968.0,370,147,12,0,2,18
4016.0,185,105,12,0,2,18
4032.0,185,105,12,0,2,42
4048.0,200,109,12,0,2,1
4080.0,100,113,12,0,2,1
4096.0,110,113,12,0,2,1
4112.0,115,117,12,0,2,1
4128.0,115,117,12,0,2,1
4144.0,115,121,12,0,2,34
4256.0,145,133,12,0,2,45
4288.0,155,137,12,0,2,45
4304.0,165,141,12,0,2,45
4320.0,170,141,12,0,2,45
4336.0,175,145,12,0,2,42
4352.0,175,145,12,0,2,45
4368.0,180,149,12,0,2,16
4400.0,130,153,12,0,2,45
4432.0,150,157,12,0,2,45
4448.0,155,157,12,0,2,34
4560.0,180,169,12,0,2,45
4592.0,190,173,12,0,2,34
4704.0,220,189,12,0,2,45
4736.0,230,193,12,0,2,34
4800.0,195,176,12,0,2,34
4912.0,220,188,12,0,2,18
5040.0,255,204,12,0,2,18
5168.0,300,220,12,0,2,18
5200.0,100,174,12,0,2,18
