Episode,Task,Epsilon,Total_Reward,End_Loop,Marauders,Marines
1,掠奪者任務,1.000,-0.9705,13440,0,14
2,掠奪者任務,0.995,-0.9705,13440,0,23
3,掠奪者任務,0.990,-0.9051,13440,1,19
4,掠奪者任務,0.985,0.9858,10736,6,9
5,掠奪者任務,0.980,-0.9051,13440,1,24
6,掠奪者任務,0.975,-0.7163,13440,2,18
7,掠奪者任務,0.970,0.2913,13440,4,18
8,掠奪者任務,0.966,-0.9051,13440,1,21
9,掠奪者任務,0.961,0.9849,11520,5,8
10,掠奪者任務,0.956,0.9855,10464,5,16
11,掠奪者任務,0.951,-0.9705,13440,0,6
12,掠奪者任務,0.946,0.9840,11248,6,15
13,掠奪者任務,0.942,0.9843,11392,6,25
14,掠奪者任務,0.937,-0.7163,13440,2,14
15,掠奪者任務,0.932,-0.2913,13440,3,16
16,掠奪者任務,0.928,-0.9705,13440,0,16
17,掠奪者任務,0.923,-0.7163,13440,2,18
18,掠奪者任務,0.918,0.9815,13024,5,19
19,掠奪者任務,0.914,-0.9705,13440,0,1
20,掠奪者任務,0.909,-0.9705,13440,0,13
21,掠奪者任務,0.905,-0.7163,13440,2,20
22,掠奪者任務,0.900,-0.9705,13440,0,13
23,掠奪者任務,0.896,-0.9051,13440,1,11
24,掠奪者任務,0.891,0.9882,8640,6,14
25,掠奪者任務,0.887,0.2913,13440,4,21
26,掠奪者任務,0.882,-0.9705,13440,0,7
27,掠奪者任務,0.878,0.2913,13440,4,15
28,掠奪者任務,0.873,-0.7163,13440,2,33
29,掠奪者任務,0.869,-0.9705,13440,0,13
30,掠奪者任務,0.865,0.9880,8768,5,12
31,掠奪者任務,0.860,-0.9051,13440,1,13
32,掠奪者任務,0.856,-0.7163,13440,2,24
33,掠奪者任務,0.852,-0.9051,13440,1,6
34,掠奪者任務,0.848,0.2913,13440,4,18
35,掠奪者任務,0.843,-0.9051,13440,1,14
36,掠奪者任務,0.839,-0.9705,13440,0,22
37,掠奪者任務,0.835,0.9857,10496,5,14
38,掠奪者任務,0.831,0.9857,10432,6,12
39,掠奪者任務,0.827,-0.9705,13440,0,11
40,掠奪者任務,0.822,0.9824,12528,5,9
41,掠奪者任務,0.818,0.9855,10480,5,17
42,掠奪者任務,0.814,0.9834,11792,5,11
43,掠奪者任務,0.810,0.9805,13200,6,16
44,掠奪者任務,0.806,0.9863,10160,5,19
45,掠奪者任務,0.802,-0.9705,8289,0,3
