Episode,Task,Epsilon,Total_Reward,End_Loop,Marauders,Marines
1,掠奪者任務,1.000,597,13520,1,12
2,掠奪者任務,0.990,-692,13472,0,20
3,掠奪者任務,0.980,-406,13440,0,13
4,掠奪者任務,0.970,708,13440,1,10
5,掠奪者任務,0.961,7613,11248,5,11
6,掠奪者任務,0.951,9738,6128,5,6
7,掠奪者任務,0.941,7698,7264,5,11
8,掠奪者任務,0.932,-481,13488,0,15
9,掠奪者任務,0.923,-800,13472,0,14
10,掠奪者任務,0.914,1612,13520,2,11
11,掠奪者任務,0.904,-805,13504,0,20
12,掠奪者任務,0.895,9713,5744,5,3
13,掠奪者任務,0.886,9718,5824,5,4
14,掠奪者任務,0.878,-832,13440,0,15
15,掠奪者任務,0.869,6770,6880,5,9
16,掠奪者任務,0.860,9703,5056,5,2
17,掠奪者任務,0.851,10728,5920,6,5
18,掠奪者任務,0.843,8530,10816,5,15
19,掠奪者任務,0.835,2565,13472,3,13
20,掠奪者任務,0.826,2694,13440,3,9
21,掠奪者任務,0.818,1403,13456,2,16
22,掠奪者任務,0.810,-901,13456,0,16
23,掠奪者任務,0.802,10734,6656,6,6
24,掠奪者任務,0.794,2668,13440,3,11
25,掠奪者任務,0.786,-997,13536,0,19
26,掠奪者任務,0.778,-807,13440,0,14
27,掠奪者任務,0.770,2665,13472,4,6
28,掠奪者任務,0.762,3481,13536,3,14
29,掠奪者任務,0.755,7760,7376,5,10
30,掠奪者任務,0.747,8714,5376,5,2
31,掠奪者任務,0.740,-598,13504,0,10
32,掠奪者任務,0.732,9711,6016,5,2
33,掠奪者任務,0.725,-621,13456,0,9
