Game_Loop,Minerals,Vespene,Workers,Ideal,Barracks,Action_ID
16.0,50,0,12,0,0,45
48.0,50,0,12,0,0,14
64.0,50,0,12,0,0,14
80.0,50,0,12,0,0,14
96.0,50,0,12,0,0,14
112.0,50,0,12,0,0,14
128.0,55,0,12,0,0,14
144.0,60,0,12,0,0,14
160.0,80,0,12,0,0,45
176.0,95,0,12,0,0,14
192.0,105,0,12,0,0,14
208.0,105,0,12,0,0,14
224.0,110,0,12,0,0,14
240.0,115,0,12,0,0,1
272.0,30,0,12,0,0,45
304.0,55,0,12,0,0,45
320.0,60,0,12,0,0,45
336.0,65,0,12,0,0,45
352.0,65,0,12,0,0,14
368.0,70,0,12,0,0,45
384.0,75,0,12,0,0,45
400.0,95,0,12,0,0,45
416.0,105,0,12,0,0,45
432.0,115,0,12,0,0,45
448.0,120,0,12,0,0,45
464.0,120,0,12,0,0,45
480.0,130,0,12,0,0,14
496.0,135,0,12,0,0,45
512.0,140,0,12,0,0,45
528.0,155,0,12,0,0,45
544.0,165,0,12,0,0,2
656.0,215,0,12,0,0,45
688.0,235,0,12,0,0,2
800.0,295,0,12,0,0,41
816.0,145,0,12,0,0,2
832.0,145,0,12,0,0,45
864.0,155,0,12,0,1,2
896.0,95,0,12,0,1,11
912.0,110,0,12,0,1,16
1040.0,160,0,12,0,1,1
1072.0,75,0,12,0,1,42
1104.0,80,0,12,0,1,42
1136.0,90,0,12,0,1,16
1264.0,130,0,12,0,1,45
1296.0,140,0,12,0,1,1
1328.0,150,0,12,0,1,42
1360.0,150,0,12,0,1,42
1376.0,160,0,12,0,1,16
1504.0,195,0,12,0,1,16
1632.0,235,16,12,0,1,16
1760.0,265,32,12,0,1,45
1792.0,265,36,12,0,1,41
1824.0,270,40,12,0,1,45
1856.0,280,44,12,0,1,45
1872.0,295,44,12,0,1,42
1888.0,295,48,12,0,1,45
1904.0,300,48,12,0,1,45
1920.0,300,52,12,0,1,45
1936.0,300,52,12,0,1,16
1968.0,260,56,12,0,1,45
2000.0,280,60,12,0,1,34
2112.0,315,76,12,0,1,34
2224.0,340,88,12,0,1,2
2256.0,205,92,12,0,1,34
2368.0,240,108,12,0,2,14
2384.0,195,108,12,0,2,14
2400.0,195,112,12,0,2,14
2416.0,195,112,12,0,2,14
2432.0,200,116,12,0,2,45
2448.0,150,116,12,0,2,14
2464.0,155,120,12,0,2,14
2480.0,170,120,12,0,2,14
2496.0,175,120,12,0,2,14
2512.0,180,124,12,0,2,14
2528.0,180,124,12,0,2,14
2544.0,185,128,12,0,2,14
2560.0,185,128,12,0,2,45
2576.0,185,132,12,0,2,42
2592.0,200,132,12,0,2,34
2704.0,230,148,13,0,2,45
2720.0,235,148,13,0,2,34
2832.0,275,164,13,0,2,14
2848.0,235,164,13,0,2,14
2864.0,185,168,13,0,2,14
2880.0,195,168,13,0,2,34
2992.0,225,184,14,0,2,45
3008.0,240,184,14,0,2,34
3120.0,280,196,14,0,2,34
3152.0,240,175,14,0,2,34
3264.0,280,191,15,0,2,18
3392.0,335,207,15,0,2,18
3520.0,390,223,16,0,2,18
3648.0,460,235,16,0,2,41
3680.0,465,239,16,0,2,18
3744.0,300,197,16,0,2,18
3760.0,210,176,16,0,2,18
3776.0,165,176,16,0,2,16
3792.0,75,155,16,0,2,18
3808.0,80,155,16,0,2,34
3920.0,135,171,16,0,2,18
4048.0,205,187,16,0,2,16
4176.0,270,199,16,0,2,16
4224.0,230,207,16,0,2,1
4256.0,255,211,16,0,2,1
4272.0,270,211,16,0,2,18
4400.0,330,227,16,0,2,18
4528.0,395,243,16,0,2,18
4656.0,460,259,16,0,2,1
4688.0,470,263,16,0,2,34
4800.0,530,275,16,0,2,34
4912.0,490,266,16,0,2,18
4928.0,490,266,16,0,2,1
4960.0,400,270,16,0,2,34
5072.0,455,286,16,0,2,14
5088.0,465,286,16,0,2,34
5200.0,515,298,16,0,2,14
5216.0,530,302,16,0,2,14
5232.0,535,302,16,0,2,18
5360.0,590,318,16,0,2,18
5488.0,655,334,16,0,2,18
5616.0,715,350,16,0,2,18
5744.0,785,366,16,0,2,18
5872.0,840,382,16,0,2,18
6000.0,900,398,16,0,2,18
6128.0,960,414,16,0,2,45
