Game_Loop,Minerals,Vespene,Workers,Ideal,Barracks,Action_ID
16.0,50,0,12,0,0,14
32.0,50,0,12,0,0,14
48.0,50,0,12,0,0,45
64.0,50,0,12,0,0,14
80.0,50,0,12,0,0,45
96.0,50,0,12,0,0,14
112.0,50,0,12,0,0,14
128.0,55,0,12,0,0,14
144.0,60,0,12,0,0,45
160.0,80,0,12,0,0,14
176.0,95,0,12,0,0,14
192.0,100,0,12,0,0,14
208.0,105,0,12,0,0,1
240.0,15,0,12,0,0,1
256.0,15,0,12,0,0,45
288.0,40,0,12,0,0,45
304.0,50,0,12,0,0,45
320.0,60,0,12,0,0,14
336.0,65,0,12,0,0,45
352.0,65,0,12,0,0,14
368.0,70,0,12,0,0,45
384.0,75,0,12,0,0,14
400.0,95,0,12,0,0,45
416.0,100,0,12,0,0,45
432.0,110,0,12,0,0,14
448.0,120,0,12,0,0,45
464.0,120,0,12,0,0,45
480.0,130,0,12,0,0,45
496.0,130,0,12,0,0,45
512.0,135,0,12,0,0,14
528.0,150,0,12,0,0,45
544.0,160,0,12,0,0,2
656.0,110,0,12,0,0,1
672.0,115,0,12,0,0,14
688.0,120,0,12,0,0,45
704.0,125,0,12,0,0,14
720.0,130,0,12,0,0,45
736.0,135,0,12,0,0,45
752.0,145,0,12,0,0,45
768.0,155,0,12,0,0,45
784.0,160,0,12,0,0,14
800.0,175,0,12,0,0,2
832.0,175,0,12,0,0,41
848.0,185,0,12,0,0,45
880.0,195,0,12,0,0,2
912.0,115,0,12,0,0,1
928.0,120,0,12,0,0,45
960.0,125,0,12,0,0,14
976.0,135,0,12,0,0,14
992.0,145,0,12,0,0,45
1008.0,155,0,12,0,0,14
1024.0,165,0,12,0,0,2
1056.0,170,0,12,0,0,45
1088.0,180,0,12,0,0,2
1120.0,200,0,12,0,0,2
1136.0,210,0,12,0,0,45
1168.0,170,0,12,0,0,14
1184.0,175,0,12,0,0,14
1200.0,175,0,12,0,0,14
1216.0,180,0,12,0,0,2
1248.0,200,0,12,0,0,2
1264.0,215,0,12,0,0,14
1280.0,220,0,12,0,0,2
1312.0,225,0,12,0,0,2
1328.0,230,0,12,0,0,2
1344.0,240,0,12,0,0,2
1360.0,95,0,12,0,0,2
1376.0,110,0,12,0,0,45
1408.0,115,0,12,0,1,14
1424.0,115,0,13,0,1,14
1440.0,125,0,13,0,1,11
1472.0,65,0,13,0,1,16
1600.0,115,0,13,0,1,41
1632.0,135,0,13,0,1,16
1760.0,190,0,13,0,1,2
1792.0,45,0,13,0,1,2
1808.0,50,0,13,0,1,45
1840.0,70,0,13,0,1,45
1856.0,70,0,13,0,2,16
1968.0,120,0,13,0,2,16
2096.0,175,4,13,0,2,14
2112.0,185,4,13,0,2,16
2240.0,240,12,13,0,2,16
2368.0,290,16,13,0,2,42
2400.0,295,16,13,0,2,42
2432.0,310,20,13,0,2,16
2560.0,350,32,13,0,2,41
2592.0,370,36,13,0,2,14
2608.0,370,40,13,0,2,16
2736.0,415,52,13,0,2,14
2752.0,425,56,13,0,2,34
2864.0,460,68,13,0,2,34
2976.0,500,84,13,0,2,14
2992.0,510,84,13,0,2,45
3008.0,515,88,13,0,2,34
3040.0,480,67,13,0,2,45
3072.0,490,71,13,0,2,18
3184.0,525,83,13,0,2,18
3312.0,580,99,13,0,1,42
3344.0,590,103,13,0,1,16
3376.0,560,107,13,0,1,34
3488.0,595,119,13,0,1,42
3504.0,605,123,13,0,1,34
3616.0,645,135,13,0,1,14
3632.0,650,139,13,0,2,45
3648.0,660,139,13,0,2,45
3664.0,665,143,13,0,2,34
3776.0,710,155,13,0,2,14
3792.0,710,155,13,0,2,34
3904.0,705,171,13,0,2,16
3920.0,660,171,13,0,2,16
3936.0,570,150,13,0,2,18
3952.0,475,125,13,0,2,18
3968.0,430,129,13,0,2,16
3984.0,440,129,13,0,2,34
4096.0,485,145,13,0,2,18
4224.0,530,161,13,0,2,34
4336.0,570,173,13,0,2,18
4400.0,495,156,13,0,2,18
4528.0,545,172,13,0,2,18
4656.0,590,188,13,0,2,18
4720.0,525,171,13,0,2,18
4848.0,570,183,13,0,2,18
4976.0,615,199,13,0,2,18
5104.0,665,215,13,0,2,34
5216.0,715,231,13,0,2,45
5248.0,720,235,13,0,2,16
5280.0,685,239,13,0,2,45
5312.0,690,243,13,0,2,18
5424.0,740,255,13,0,2,18
5552.0,735,271,13,0,2,16
5568.0,745,271,13,0,2,45
