Episode,Task,Epsilon,Total_Reward,End_Loop,Marauders,Marines
1,掠奪者任務,1.000,83,8432,5,12
2,掠奪者任務,0.990,-71,13504,0,14
3,掠奪者任務,0.980,82,8320,5,9
4,掠奪者任務,0.970,-67,13440,0,15
5,掠奪者任務,0.961,98,6672,5,11
6,掠奪者任務,0.951,-40,13472,3,13
7,掠奪者任務,0.941,-33,13440,2,12
8,掠奪者任務,0.932,97,6608,5,9
9,掠奪者任務,0.923,-71,13440,0,16
10,掠奪者任務,0.914,-50,13536,2,14
11,掠奪者任務,0.904,-71,13520,0,13
12,掠奪者任務,0.895,77,9152,5,12
13,掠奪者任務,0.886,87,7632,5,10
14,掠奪者任務,0.878,-69,13456,0,14
15,掠奪者任務,0.869,94,7024,5,8
16,掠奪者任務,0.860,-74,13536,0,18
17,掠奪者任務,0.851,106,5792,5,3
18,掠奪者任務,0.843,103,5856,5,5
