Episode,Task,Epsilon,Total_Reward,End_Loop,Marauders,Marines
1,掠奪者任務,1.000,-695,13536,0,12
2,掠奪者任務,0.990,406,13440,1,16
3,掠奪者任務,0.980,-949,13520,0,17
4,掠奪者任務,0.970,3579,13504,4,12
5,掠奪者任務,0.961,-449,13440,0,13
6,掠奪者任務,0.951,-1047,13488,0,19
7,掠奪者任務,0.941,7756,7984,5,10
8,掠奪者任務,0.932,7650,12992,5,12
9,掠奪者任務,0.923,7720,9776,5,6
10,掠奪者任務,0.914,7753,7360,5,8
11,掠奪者任務,0.904,-745,13536,0,14
12,掠奪者任務,0.895,-707,13456,0,12
13,掠奪者任務,0.886,9717,6512,5,4
14,掠奪者任務,0.878,9709,5328,5,2
15,掠奪者任務,0.869,10740,6496,5,7
16,掠奪者任務,0.860,7728,6736,5,5
17,掠奪者任務,0.851,7728,7040,6,6
18,掠奪者任務,0.843,-739,13472,0,13
19,掠奪者任務,0.835,616,13520,1,12
20,掠奪者任務,0.826,2694,13536,4,8
21,掠奪者任務,0.818,9710,5744,5,3
22,掠奪者任務,0.810,1649,13472,2,10
23,掠奪者任務,0.802,9749,6128,5,6
24,掠奪者任務,0.794,9717,5312,5,2
25,掠奪者任務,0.786,9707,4272,5,1
26,掠奪者任務,0.778,9717,6208,5,3
27,掠奪者任務,0.770,-746,13472,0,13
28,掠奪者任務,0.762,9711,5776,5,2
29,掠奪者任務,0.755,-652,13440,0,0
30,掠奪者任務,0.747,7723,7200,6,11
31,掠奪者任務,0.740,1560,13456,2,12
32,掠奪者任務,0.732,1690,13456,2,9
33,掠奪者任務,0.725,9703,4896,5,1
34,掠奪者任務,0.718,7733,7072,5,6
35,掠奪者任務,0.711,9738,6400,5,5
36,掠奪者任務,0.703,9750,6240,5,6
37,掠奪者任務,0.696,-796,13440,0,14
38,掠奪者任務,0.689,3397,13440,4,15
39,掠奪者任務,0.683,7723,7392,5,5
40,掠奪者任務,0.676,-786,13536,0,14
41,掠奪者任務,0.669,9723,6320,5,4
42,掠奪者任務,0.662,9724,6192,5,4
43,掠奪者任務,0.656,1448,13440,2,15
44,掠奪者任務,0.649,1692,13536,3,10
45,掠奪者任務,0.643,9729,6000,5,6
46,掠奪者任務,0.636,2685,13472,3,8
47,掠奪者任務,0.630,9700,5504,5,1
48,掠奪者任務,0.624,9744,6368,5,6
49,掠奪者任務,0.617,7760,6816,5,8
50,掠奪者任務,0.611,9757,6336,5,8
51,掠奪者任務,0.605,3666,13440,4,5
52,掠奪者任務,0.599,9703,5424,5,1
53,掠奪者任務,0.593,-602,13440,0,16
54,掠奪者任務,0.587,7761,7216,5,8
55,掠奪者任務,0.581,8723,10512,5,7
56,掠奪者任務,0.575,8727,7920,5,6
57,掠奪者任務,0.570,9750,6368,5,7
58,掠奪者任務,0.564,2706,13456,4,9
59,掠奪者任務,0.558,7780,7312,5,10
60,掠奪者任務,0.553,1474,13472,2,14
61,掠奪者任務,0.547,653,13456,1,11
62,掠奪者任務,0.542,2689,13440,3,8
63,掠奪者任務,0.536,3714,13472,4,9
64,掠奪者任務,0.531,-869,13504,0,16
65,掠奪者任務,0.526,-749,13472,0,13
66,掠奪者任務,0.520,-311,13504,0,7
67,掠奪者任務,0.515,-626,13488,0,12
68,掠奪者任務,0.510,-795,13504,0,14
69,掠奪者任務,0.505,9716,5472,5,2
70,掠奪者任務,0.500,7693,7808,6,11
71,掠奪者任務,0.495,9740,5776,5,6
72,掠奪者任務,0.490,10717,6288,5,4
73,掠奪者任務,0.485,9724,6096,5,3
74,掠奪者任務,0.480,-709,13472,0,18
75,掠奪者任務,0.475,2589,13472,4,12
76,掠奪者任務,0.471,8715,4880,5,2
77,掠奪者任務,0.466,1683,13456,2,11
78,掠奪者任務,0.461,2607,13504,4,11
79,掠奪者任務,0.457,7761,7376,5,10
80,掠奪者任務,0.452,8731,7264,5,6
81,掠奪者任務,0.448,7720,7616,5,5
82,掠奪者任務,0.443,2551,13520,3,12
83,掠奪者任務,0.439,7723,9744,5,6
84,掠奪者任務,0.434,7724,7856,6,5
85,掠奪者任務,0.430,-781,13456,0,13
86,掠奪者任務,0.426,7729,7312,6,5
87,掠奪者任務,0.421,7742,7984,5,6
88,掠奪者任務,0.417,9713,5152,6,2
89,掠奪者任務,0.413,9758,6576,5,8
90,掠奪者任務,0.409,-742,13504,0,13
91,掠奪者任務,0.405,9732,6544,5,8
92,掠奪者任務,0.401,518,13504,1,14
93,掠奪者任務,0.397,7719,7312,5,4
94,掠奪者任務,0.393,9708,6464,5,2
95,掠奪者任務,0.389,7729,8592,6,6
96,掠奪者任務,0.385,9731,5728,5,4
97,掠奪者任務,0.381,9751,5888,5,6
98,掠奪者任務,0.377,9775,6448,5,9
99,掠奪者任務,0.373,7686,9824,5,2
100,掠奪者任務,0.370,7778,6848,5,8
101,掠奪者任務,0.366,-479,13440,0,14
102,掠奪者任務,0.362,-1189,13504,0,22
103,掠奪者任務,0.359,1694,13456,2,9
104,掠奪者任務,0.355,-1024,13536,0,18
105,掠奪者任務,0.352,9750,5760,5,5
106,掠奪者任務,0.348,10718,6512,6,4
107,掠奪者任務,0.345,9713,5232,5,2
108,掠奪者任務,0.341,-680,13488,0,12
109,掠奪者任務,0.338,9742,6416,5,6
110,掠奪者任務,0.334,8719,7056,5,4
111,掠奪者任務,0.331,8713,5296,5,2
112,掠奪者任務,0.328,1704,13504,2,8
113,掠奪者任務,0.324,9713,5376,5,2
114,掠奪者任務,0.321,7776,6752,5,9
115,掠奪者任務,0.318,8758,6960,6,7
116,掠奪者任務,0.315,2420,13440,3,16
117,掠奪者任務,0.312,-628,13472,0,11
118,掠奪者任務,0.309,10699,6272,5,2
119,掠奪者任務,0.305,-978,13440,0,18
120,掠奪者任務,0.302,2674,13440,4,10
121,掠奪者任務,0.299,-654,13440,0,11
122,掠奪者任務,0.296,9705,5152,5,1
123,掠奪者任務,0.293,9714,5440,5,2
124,掠奪者任務,0.290,9710,5184,5,2
125,掠奪者任務,0.288,-535,13456,0,15
126,掠奪者任務,0.285,8732,6048,5,5
127,掠奪者任務,0.282,2650,13440,4,11
128,掠奪者任務,0.279,1670,13472,2,12
129,掠奪者任務,0.276,1612,13472,2,12
130,掠奪者任務,0.273,9705,5584,6,2
131,掠奪者任務,0.271,-915,13504,0,15
132,掠奪者任務,0.268,1608,13440,2,12
