Game_Loop,Minerals,Vespene,Workers,Ideal,Barracks,Action_ID
16.0,50,0,12,0,0,45
48.0,50,0,12,0,0,45
64.0,50,0,12,0,0,45
80.0,50,0,12,0,0,14
96.0,50,0,12,0,0,45
112.0,50,0,12,0,0,45
128.0,55,0,12,0,0,45
144.0,60,0,12,0,0,45
160.0,80,0,12,0,0,45
176.0,95,0,12,0,0,14
192.0,100,0,12,0,0,14
208.0,105,0,12,0,0,14
224.0,110,0,12,0,0,14
240.0,115,0,12,0,0,14
256.0,115,0,12,0,0,14
272.0,130,0,12,0,0,14
288.0,145,0,12,0,0,1
320.0,65,0,12,0,0,45
352.0,70,0,12,0,0,14
368.0,75,0,12,0,0,14
384.0,80,0,12,0,0,14
400.0,100,0,12,0,0,14
416.0,105,0,12,0,0,14
432.0,115,0,12,0,0,14
448.0,125,0,12,0,0,14
464.0,125,0,12,0,0,14
480.0,135,0,12,0,0,14
496.0,135,0,12,0,0,14
512.0,140,0,12,0,0,14
528.0,155,0,12,0,0,14
544.0,165,0,12,0,0,2
656.0,215,0,12,0,0,2
784.0,270,0,12,0,0,2
880.0,160,0,12,0,0,14
896.0,175,0,12,0,0,14
912.0,185,0,12,0,0,14
928.0,190,0,12,0,1,14
944.0,190,0,12,0,1,11
976.0,130,0,12,0,1,11
992.0,135,0,12,0,1,11
1008.0,145,0,12,0,1,11
1024.0,155,0,12,0,1,11
1040.0,160,0,12,0,1,42
1072.0,165,0,12,0,1,16
1200.0,210,0,12,0,1,16
1328.0,260,0,12,0,1,16
1456.0,310,0,12,0,1,16
1584.0,360,4,12,0,1,16
1712.0,405,16,12,0,1,16
1840.0,450,28,12,0,1,16
1968.0,495,40,12,0,1,16
2000.0,415,40,12,0,1,16
2016.0,370,44,12,0,1,16
2032.0,375,44,12,0,1,45
2064.0,385,48,12,0,1,45
2080.0,390,48,12,0,1,45
2096.0,395,52,12,0,1,45
2112.0,410,52,12,0,1,45
2128.0,410,52,12,0,1,45
2144.0,415,56,12,0,1,41
2176.0,425,56,12,0,1,45
2208.0,435,60,12,0,1,45
2224.0,440,64,12,0,1,34
2336.0,485,72,12,0,1,42
2368.0,500,76,12,0,1,34
2480.0,540,84,12,0,1,34
2592.0,585,100,12,0,1,34
2704.0,625,112,12,0,1,42
2736.0,635,116,12,0,1,16
2768.0,595,120,12,0,1,42
2784.0,605,124,12,0,1,1
2816.0,510,128,12,0,1,42
2832.0,525,128,12,0,1,1
2848.0,525,132,12,0,1,1
2864.0,525,132,12,0,1,14
2880.0,530,136,12,0,1,1
2912.0,450,140,12,0,1,1
2928.0,450,140,12,0,1,1
2944.0,460,144,12,0,1,1
2960.0,465,144,12,0,1,1
2976.0,465,144,12,0,1,1
2992.0,465,144,12,0,1,14
3008.0,420,148,12,0,1,14
3024.0,390,148,12,0,1,14
3040.0,340,152,12,0,1,14
3056.0,295,152,12,0,1,14
3072.0,250,152,12,0,1,14
3088.0,255,156,12,0,1,16
3152.0,235,160,12,0,1,45
3184.0,235,164,12,0,1,45
3200.0,245,168,12,0,1,45
3216.0,245,168,12,0,1,2
3248.0,100,168,12,0,1,34
3360.0,140,176,13,0,2,34
3472.0,190,180,13,0,2,34
3584.0,235,184,14,0,2,34
3696.0,280,192,14,0,2,34
3808.0,330,196,15,0,2,34
3920.0,375,200,15,0,2,34
4032.0,415,208,15,0,2,45
4064.0,435,208,15,0,2,45
4080.0,435,208,16,0,2,45
4096.0,445,208,16,0,2,45
4112.0,455,212,16,0,2,45
4128.0,460,212,16,0,2,45
4144.0,465,212,16,0,2,45
4160.0,480,212,16,0,2,45
4176.0,480,212,16,0,2,45
4192.0,490,212,16,0,2,34
4304.0,550,220,16,0,2,34
4336.0,510,195,16,0,2,18
4464.0,585,203,17,0,2,18
4592.0,650,207,17,0,2,18
4720.0,620,190,17,0,2,18
4736.0,520,165,17,0,2,18
4752.0,425,140,17,0,2,18
4768.0,345,115,17,0,2,18
4784.0,250,90,17,0,2,18
4800.0,255,94,17,0,2,18
4928.0,325,98,17,0,2,18
5056.0,385,102,17,0,2,18
5184.0,455,110,17,0,2,18
5216.0,380,85,17,0,2,18
5344.0,450,93,17,0,2,18
5472.0,515,97,17,0,2,18
5600.0,585,105,17,0,2,18
5696.0,535,84,17,0,2,18
5824.0,600,88,17,0,2,18
5952.0,675,96,17,0,2,18
6080.0,745,100,17,0,2,18
6176.0,700,83,17,0,2,18
6304.0,770,87,17,0,2,18
6432.0,835,91,17,0,2,18
6560.0,900,99,17,0,2,42
6576.0,930,99,17,0,2,42
6592.0,930,99,17,0,2,42
6608.0,935,103,17,0,2,42
6624.0,945,103,17,0,2,42
6640.0,950,103,17,0,2,42
6656.0,955,103,17,0,2,42
6672.0,965,103,17,0,2,42
6688.0,980,103,17,0,2,42
6704.0,995,107,17,0,2,42
6720.0,995,107,17,0,2,42
6736.0,1005,107,17,0,2,42
6752.0,1010,107,17,0,2,42
6768.0,1020,107,17,0,2,42
6784.0,1025,111,17,0,2,42
6800.0,1035,111,17,0,2,42
6816.0,1050,111,17,0,2,42
6832.0,1060,111,17,0,2,42
6848.0,1065,111,17,0,2,42
6864.0,1070,115,17,0,2,42
6880.0,1080,115,17,0,2,42
6896.0,1095,115,17,0,2,42
6912.0,1095,115,17,0,2,42
6928.0,1105,115,17,0,2,42
6944.0,1115,115,17,0,2,42
6960.0,1125,119,17,0,2,42
6976.0,1140,119,17,0,2,42
6992.0,1140,119,17,0,2,42
7008.0,1150,119,17,0,2,42
7024.0,1160,119,17,0,2,42
7040.0,1165,123,17,0,2,42
7056.0,1175,123,17,0,2,42
7072.0,1185,123,17,0,2,42
7088.0,1195,123,17,0,2,42
7104.0,1205,123,17,0,2,42
