Episode,Task,Epsilon,Total_Reward,End_Loop,Marauders,Marines
1,掠奪者任務,1.000,0.9902,7680,5,7
2,掠奪者任務,0.995,-0.9051,13440,0,12
3,掠奪者任務,0.990,0.9890,8992,5,14
4,掠奪者任務,0.985,-0.7163,13440,1,14
5,掠奪者任務,0.980,0.9857,11968,5,17
6,掠奪者任務,0.975,0.9919,5536,5,1
7,掠奪者任務,0.970,0.9873,10576,5,8
8,掠奪者任務,0.966,-0.2913,13440,2,22
9,掠奪者任務,0.961,0.9876,10304,5,11
10,掠奪者任務,0.956,0.9879,10032,5,9
11,掠奪者任務,0.951,0.9903,7584,5,5
12,掠奪者任務,0.946,-0.7163,13440,1,17
13,掠奪者任務,0.942,-0.2913,13440,2,20
14,掠奪者任務,0.937,0.9882,9808,5,9
15,掠奪者任務,0.932,0.9903,7568,5,5
16,掠奪者任務,0.928,0.7163,13440,4,15
17,掠奪者任務,0.923,0.9885,9456,5,9
18,掠奪者任務,0.918,-0.7163,13440,1,17
19,掠奪者任務,0.914,0.9901,7856,5,7
20,掠奪者任務,0.909,0.2913,13440,3,17
