11504.0,6220,4,19,0,1,16
11520.0,6190,4,19,0,1,16
11536.0,6190,4,19,0,1,11
11552.0,6200,4,19,0,1,11
11568.0,6215,8,19,0,1,11
11584.0,6220,8,19,0,1,16
11600.0,6230,8,19,0,1,16
11616.0,6245,8,19,0,1,16
11632.0,6250,8,19,0,1,16
11648.0,6260,12,19,0,1,11
11664.0,6275,12,19,0,1,16
11680.0,6280,12,19,0,1,16
11696.0,6295,12,19,0,1,16
11712.0,6305,12,19,0,1,16
11728.0,6260,12,19,0,1,11
11744.0,6285,16,19,0,1,11
11760.0,6290,16,19,0,1,11
11776.0,6140,16,19,0,1,2
11792.0,6140,16,19,0,2,11
11808.0,6140,16,19,0,2,11
11824.0,6140,16,19,0,2,11
11840.0,6140,16,19,0,2,11
11856.0,6140,16,19,0,2,11
11872.0,6140,16,19,0,2,11
11888.0,6140,16,19,0,2,11
11904.0,6140,16,19,0,2,2
11920.0,6140,16,19,0,2,2
11936.0,6140,16,19,0,2,2
11952.0,6140,16,19,0,2,2
11968.0,6140,16,19,0,2,2
11984.0,6140,16,19,0,2,2
12000.0,6140,16,19,0,2,2
12016.0,6140,16,19,0,2,2
12032.0,6140,16,19,0,2,2
12048.0,6140,16,19,0,2,2
12064.0,6140,16,19,0,2,2
12080.0,6140,16,19,0,2,2
12096.0,6140,16,19,0,2,2
12112.0,6140,16,19,0,2,2
12128.0,6140,16,19,0,2,2
12144.0,6140,16,19,0,2,2
12160.0,6140,16,19,0,2,2
12176.0,6140,16,19,0,2,2
12192.0,6140,16,19,0,2,2
12208.0,6140,16,19,0,2,2
12224.0,6140,16,19,0,2,2
12240.0,6140,16,19,0,2,2
12256.0,6140,16,19,0,2,2
12272.0,6140,16,19,0,2,2
12288.0,6140,16,19,0,2,2
12304.0,6140,16,19,0,2,2
12320.0,6140,16,18,0,2,2
12336.0,6140,16,18,0,2,2
12352.0,6140,16,18,0,2,2
12368.0,6140,16,18,0,2,2
12384.0,6140,16,18,0,2,2
12400.0,6140,16,18,0,1,2
12416.0,5990,16,18,0,1,2
12432.0,5990,16,18,0,2,2
12448.0,5990,16,18,0,2,2
12464.0,5990,16,18,0,2,2
12480.0,5990,16,18,0,2,2
12496.0,5990,16,18,0,2,2
12512.0,5990,16,18,0,2,2
12528.0,5990,16,18,0,2,2
12544.0,5990,16,18,0,2,2
12560.0,5990,16,18,0,2,2
12576.0,5990,16,18,0,2,2
12592.0,5990,16,18,0,2,2
12608.0,5990,16,18,0,2,2
12624.0,5990,16,18,0,2,2
12640.0,5990,16,17,0,2,2
12656.0,5990,16,17,0,2,2
12672.0,5990,16,17,0,2,2
12688.0,5990,16,17,0,2,2
12704.0,5990,16,17,0,2,2
12720.0,5990,16,17,0,2,2
12736.0,5990,16,17,0,1,2
12752.0,5840,16,17,0,1,2
12768.0,5840,16,17,0,2,2
12784.0,5840,16,17,0,2,2
12800.0,5840,16,17,0,2,2
12816.0,5840,16,17,0,2,2
12832.0,5840,16,17,0,2,1
12848.0,5840,16,17,0,2,1
12864.0,5840,16,17,0,2,1
12880.0,5840,16,16,0,2,1
12896.0,5840,16,16,0,2,1
12912.0,5840,16,16,0,2,1
12928.0,5840,16,16,0,2,1
12944.0,5840,16,16,0,2,1
12960.0,5840,16,16,0,2,1
12976.0,5840,16,16,0,2,1
12992.0,5840,16,16,0,2,1
13008.0,5840,16,16,0,1,1
13024.0,5740,16,16,0,1,1
13040.0,5740,16,16,0,1,1
13056.0,5740,16,16,0,1,1
13072.0,5740,16,16,0,1,1
13088.0,5740,16,16,0,1,1
13104.0,5740,16,16,0,1,1
13120.0,5740,16,16,0,1,1
13136.0,5740,16,16,0,1,1
13152.0,5740,16,16,0,1,1
13168.0,5740,16,16,0,1,1
13184.0,5640,16,16,0,1,1
13200.0,5640,16,16,0,1,1
13216.0,5640,16,16,0,1,1
13232.0,5640,16,15,0,1,1
13248.0,5640,16,15,0,1,1
13264.0,5640,16,15,0,1,1
13280.0,5640,16,15,0,1,1
13296.0,5640,16,15,0,1,1
13312.0,5640,16,15,0,1,1
13328.0,5540,16,15,0,1,1
13344.0,5540,16,15,0,1,1
13360.0,5540,16,15,0,1,1
13376.0,5540,16,15,0,1,1
13392.0,5540,16,15,0,1,1
13408.0,5540,16,14,0,1,1
13424.0,5540,16,14,0,1,1
13440.0,5540,16,14,0,1,1
